token_0,token_1,token_2,token_3,token_4,token_5,label
Sr,Sr,Tg,Tr,Sr,Sr,1
Dr,Tg,Cg,Tr,Tr,Dr,0
Cg,Sg,Tr,Dr,Dg,Dr,0
Dr,Cg,Tg,Cg,Dr,Dr,0
Sg,Dr,Dg,Tg,Sr,Dg,0
Cr,Sr,Tg,Dr,Sg,Sg,1
Sg,Dg,Sr,Cg,Cr,Cg,0
Sg,Sr,Tg,Dg,Dr,Tg,0
Sg,Tr,Sr,Cg,Dr,Cr,0
Dg,Cg,Dg,Sg,Dr,Tr,0
Sr,Tr,Sr,Tr,Dg,Tg,0
Dg,Tg,Cg,Dg,Dr,Cg,0
Sg,Dr,Sg,Dg,Tr,Dr,1
Cr,Dg,Cr,Tg,Sr,Dg,1
Tg,Dg,Dg,Sg,Cr,Dg,1
Tg,Dr,Tg,Sg,Tr,Dg,1
Tg,Tg,Tg,Tr,Dg,Cg,1
Cr,Sr,Cr,Sr,Tr,Dr,0
Dr,Tg,Sg,Sg,Dg,Tr,1
Dr,Sg,Tg,Cg,Tg,Dr,0
Cg,Cr,Cg,Dr,Sg,Cg,1
Sg,Dr,Tr,Dg,Sg,Dr,1
Sr,Cr,Sr,Dg,Cg,Sg,1
Cg,Sr,Tg,Sr,Sr,Tg,0
Tg,Cg,Sr,Tr,Dr,Dg,0
Tg,Dr,Sr,Tr,Sg,Dr,1
Tg,Cr,Tr,Sg,Tr,Dr,0
Cg,Sg,Tg,Dr,Sg,Tg,0
Tg,Cr,Cg,Cr,Dr,Sg,1
Dr,Sr,Sg,Sg,Dr,Cg,0
Sr,Dg,Dg,Sr,Tr,Dr,1
Sg,Cg,Tr,Sg,Tg,Sr,1
Cr,Tr,Tr,Dg,Dg,Dg,1
Dg,Tr,Dr,Cr,Dg,Tr,1
Sg,Sr,Tr,Dr,Sg,Dr,1
Sg,Cg,Sg,Dr,Tg,Dr,1
Sg,Sg,Tg,Tg,Dg,Cr,0
Cg,Tr,Dg,Cr,Dr,Dr,1
Cr,Sr,Cr,Sr,Sr,Tg,1
Cg,Cr,Tr,Sr,Tr,Tr,1
Tg,Dr,Sg,Sr,Cr,Sr,0
Tr,Dr,Sg,Sr,Sg,Cg,1
Dr,Sg,Cr,Cr,Dg,Sg,1
Cr,Sr,Dr,Dr,Cg,Cr,1
Cg,Sr,Cg,Sr,Tg,Sg,0
Cg,Cg,Sg,Sr,Sr,Dg,1
Dr,Dr,Sr,Dr,Tr,Dr,0
Cr,Sg,Sr,Dg,Cr,Tr,1
Dr,Dr,Sg,Dg,Tg,Tr,0
Tr,Tr,Tg,Cr,Sg,Sg,1
Sg,Dr,Cr,Dr,Cr,Cr,0
Tg,Cr,Dg,Cg,Tg,Tg,0
Sr,Tg,Tr,Dr,Cg,Sg,0
Tg,Tg,Dr,Cr,Dg,Cr,1
Tg,Cr,Cg,Cg,Tr,Dr,1
Tg,Tg,Cg,Tg,Dr,Tr,0
Cg,Dr,Dg,Tr,Cr,Sr,1
Dg,Dg,Sg,Dr,Sr,Cg,1
Sr,Dr,Tg,Tg,Sg,Sg,1
Cr,Tr,Sr,Sr,Sr,Tr,1
Tg,Tg,Dr,Cg,Dg,Cg,1
Cr,Cg,Tg,Cg,Cg,Tg,1
Sr,Sr,Tg,Tg,Cr,Cr,0
Dg,Sr,Dg,Tg,Cg,Cg,1
Cg,Tg,Sr,Dg,Tr,Cr,1
Dr,Dg,Sr,Dg,Cr,Tg,0
Sg,Sr,Tr,Dr,Dr,Dg,1
Cr,Sg,Sr,Sg,Dr,Tg,1
Cg,Tg,Tg,Dr,Tr,Cr,1
Cg,Sr,Sg,Dg,Dg,Dg,0
Dr,Sr,Tr,Cg,Sr,Tr,0
Sg,Cr,Cg,Sg,Tr,Cg,0
Sr,Sg,Cr,Cr,Dr,Dr,0
Tr,Dg,Cr,Dg,Cr,Tg,1
Tg,Cr,Cg,Tr,Sg,Sr,0
Tr,Sg,Sr,Cr,Cg,Dg,0
Cg,Tr,Dr,Dr,Tg,Tr,0
Cg,Tg,Sr,Tr,Sr,Dr,0
Sg,Sr,Dr,Cg,Sg,Tr,0
Cg,Sg,Dr,Dr,Dr,Cr,0
Sr,Sg,Sg,Tg,Cg,Tg,1
Dr,Cg,Tr,Sr,Dg,Sr,0
Sr,Cr,Tr,Dr,Cr,Cr,1
Tr,Cr,Cr,Tg,Tr,Cr,1
Cr,Sr,Cg,Sr,Cr,Cg,0
Tg,Dg,Cg,Sg,Sg,Tr,0
Cr,Sr,Sg,Dg,Sg,Cg,0
Tg,Tr,Cg,Tr,Tg,Sg,0
Sr,Tr,Sg,Dr,Dg,Tr,0
Sg,Dr,Tg,Sg,Tg,Sg,1
Dr,Dg,Dr,Sg,Cr,Tg,1
Sr,Cg,Sg,Dr,Tg,Sg,0
Dr,Dr,Sr,Sr,Sg,Dg,1
Sr,Tg,Tr,Tg,Cg,Sr,0
Dr,Tg,Tg,Tg,Dr,Dr,1
Tg,Dg,Sg,Tr,Tg,Dg,1
Cr,Sg,Tg,Sr,Cr,Dr,1
Sr,Sg,Dr,Cr,Tg,Tg,0
Sr,Sr,Sg,Sg,Cr,Sr,1
Sg,Sg,Sr,Dg,Cg,Cr,1
Cr,Sr,Dr,Tr,Dr,Cg,1
Tr,Cg,Cr,Sg,Dg,Tr,1
Tr,Sg,Sr,Sg,Tg,Tg,0
Tr,Cr,Dr,Tg,Dr,Tg,0
Tg,Dr,Tg,Sg,Tr,Tr,1
Tg,Cr,Cg,Cg,Dr,Dg,1
Tr,Tr,Tr,Sr,Cr,Cr,0
Dg,Dr,Sg,Dg,Cg,Cr,1
Tr,Cg,Cr,Sg,Sg,Tg,0
Cg,Dr,Tg,Cg,Cr,Tg,1
Sr,Dr,Dr,Sr,Sg,Dr,1
Tg,Dg,Cr,Tg,Sg,Tr,0
Dr,Sr,Cg,Cg,Tr,Dg,0
Cg,Cr,Cg,Sg,Tg,Sg,1
Cr,Sr,Sr,Cr,Sr,Dg,1
Dr,Sg,Dg,Sg,Tr,Dr,1
Dr,Dg,Dr,Dr,Dg,Dr,0
Sr,Cg,Dg,Dg,Dg,Dr,1
Cr,Cg,Tr,Sr,Sr,Tg,1
Dr,Tr,Tg,Cr,Cr,Sr,0
Tg,Cr,Tr,Dr,Tr,Dr,0
Tr,Dg,Cr,Sg,Cr,Dr,1
Sg,Dr,Cr,Sr,Tr,Cg,0
Cr,Tg,Tr,Dr,Dr,Tg,0
Dr,Cr,Cg,Tr,Tr,Tr,1
Dr,Cg,Cg,Tg,Dr,Sr,1
Cg,Cg,Dg,Cr,Sg,Tr,0
Tr,Dg,Sg,Sg,Sr,Dg,1
Dr,Cr,Cg,Cr,Tg,Cr,1
Dr,Dr,Dg,Cg,Dr,Dr,1
Tr,Cg,Dr,Cg,Cg,Dr,0
Cr,Tr,Tg,Cr,Cr,Sg,1
Sr,Dr,Tg,Tr,Sr,Sr,1
Dr,Cr,Sg,Sg,Sg,Dg,0
Tg,Dr,Sg,Cg,Tg,Dr,1
Cg,Sr,Sr,Dg,Sr,Sg,1
Sg,Cg,Tg,Sg,Sg,Sg,0
Tr,Tr,Cr,Dr,Dg,Sg,0
Dr,Sg,Dg,Tg,Dr,Tg,0
Tr,Tr,Tg,Sg,Tr,Cg,1
Tr,Sr,Sg,Tr,Tr,Dg,1
Dr,Tg,Cg,Tr,Tg,Cg,1
Sg,Dg,Dr,Tr,Tg,Dg,0
Sg,Dr,Dg,Dr,Sg,Dg,0
Tr,Cr,Dr,Tr,Dr,Cg,1
Cr,Sr,Tg,Cg,Cr,Dg,1
Tr,Dr,Tr,Sr,Sg,Sr,1
Dr,Dg,Dr,Tg,Dr,Dr,1
Cg,Tr,Dr,Sr,Tg,Dg,1
Cr,Dr,Cg,Sg,Cg,Cr,1
Sg,Cr,Tr,Tr,Cr,Sr,0
Sr,Dr,Cr,Sg,Dg,Dr,0
Tr,Cr,Tg,Cr,Cg,Dg,1
Sg,Tr,Cg,Sr,Cg,Dr,1
Dr,Sg,Tr,Sg,Tr,Cr,0
Dg,Cg,Cg,Tr,Cg,Sr,0
Cr,Cg,Sg,Tr,Sr,Tg,1
Sr,Sg,Sg,Cr,Sr,Sg,1
Cg,Dr,Cr,Dg,Dg,Dg,0
Sg,Dr,Cr,Dr,Sg,Dr,0
Cr,Sg,Tg,Tg,Sg,Cr,1
Sr,Tg,Dg,Tg,Tr,Tg,1
Dg,Sg,Sg,Cg,Dg,Cg,1
Tg,Dr,Tg,Tg,Dg,Cg,1
Cg,Tg,Cg,Sr,Cr,Dg,0
Dg,Dr,Cr,Sg,Tg,Dg,1
Cg,Dg,Dg,Tr,Sg,Tr,1
Sr,Tg,Tr,Tr,Sg,Sr,0
Dr,Tg,Cr,Cg,Sg,Sr,1
Tg,Dr,Cr,Dr,Dr,Cr,1
Cg,Dg,Tg,Dg,Sr,Sr,0
Tg,Cr,Sr,Sr,Sr,Sr,1
Cr,Sg,Dg,Tg,Tr,Sr,0
Tr,Sg,Sg,Sg,Cr,Sr,1
Cr,Tr,Dg,Dg,Cr,Tr,1
Cr,Sg,Tg,Tr,Dr,Dg,0
Dr,Dr,Tr,Cr,Dr,Cr,0
Dr,Cg,Dg,Sg,Sg,Tr,0
Cr,Sg,Tg,Sr,Dr,Tr,1
Tg,Tr,Sr,Dg,Cr,Sr,0
Sr,Dr,Sr,Sg,Tr,Dr,0
Dr,Sr,Cr,Tg,Cg,Dg,0
Tg,Cg,Dg,Dr,Cr,Cr,1
Sg,Cg,Sr,Dr,Dr,Dg,1
Cr,Dr,Sg,Tr,Cg,Sr,0
Sg,Sr,Dg,Cr,Dr,Dr,0
Dr,Cg,Dg,Sg,Dr,Tr,0
Dr,Sr,Cg,Dg,Dg,Tg,0
Dg,Tr,Tr,Cg,Dg,Sg,0
Cg,Dr,Tg,Cg,Dg,Tg,1
Sr,Dg,Cg,Sg,Sr,Tr,1
Cg,Dr,Dr,Tg,Cg,Cg,1
Dg,Tg,Cg,Sr,Cg,Dr,1
Dg,Sg,Tr,Cg,Tr,Dg,0
Tr,Dr,Dr,Sr,Sg,Tr,1
Cg,Tr,Sg,Cg,Sg,Cr,1
Tg,Tr,Tg,Tr,Dg,Cg,1
Tr,Sg,Tg,Sg,Tg,Tg,1
Tr,Dr,Tr,Dr,Cr,Tr,0
Dg,Dg,Sg,Dr,Sg,Dg,0
Sg,Tg,Dg,Dr,Tr,Tr,0
Tg,Cr,Sg,Dr,Sg,Dr,0
Sr,Cr,Sr,Dg,Cr,Sg,1
Cg,Cr,Cg,Dr,Cr,Tg,0
Sg,Cg,Tg,Tr,Sr,Cr,0
Dg,Dr,Tr,Cr,Sg,Tg,0
Dr,Tg,Cg,Cr,Sr,Tr,1
Sg,Cr,Tr,Sg,Cr,Sg,0
Dr,Sg,Cr,Dg,Sg,Tr,0
Dg,Dg,Dg,Cr,Dr,Dg,1
Cg,Sr,Sg,Cr,Tr,Dr,0
Cg,Tg,Sg,Dg,Cg,Dr,1
Sg,Cr,Cr,Dr,Dg,Cr,0
Cr,Dg,Tg,Dr,Cg,Dg,0
Tr,Dg,Cg,Tg,Sg,Cg,1
Dg,Cr,Tr,Tg,Sg,Tr,0
Dr,Sg,Sg,Cg,Dr,Dg,0
Dr,Dg,Tr,Cg,Sr,Dr,1
Tr,Sg,Sg,Cg,Sg,Tg,1
Dr,Tr,Tg,Tg,Tg,Dg,0
Sg,Sg,Tr,Sg,Sr,Sg,0
Sg,Cr,Sr,Cr,Cg,Dr,0
Cg,Cg,Sg,Tg,Sr,Sg,1
Cg,Dr,Tg,Dr,Sr,Dg,1
Tr,Tg,Sg,Sr,Dg,Tr,1
Sg,Sg,Sg,Cg,Tg,Tg,0
Dg,Sr,Tg,Sr,Cr,Sr,0
Dr,Tg,Tg,Cg,Tg,Sg,0
Cr,Sr,Cr,Sr,Sr,Cr,0
Sr,Tr,Cg,Cg,Cr,Tg,0
Dg,Dr,Tr,Sg,Sg,Tr,1
Sr,Dr,Dr,Tr,Sr,Tg,1
Cr,Tg,Tg,Tg,Tr,Dr,0
Cr,Tg,Tg,Tg,Cg,Dg,1
Cr,Sg,Sg,Dg,Dr,Sr,1
Tg,Sg,Dg,Tr,Dg,Dr,0
Sg,Sg,Dr,Tg,Dg,Cg,0
Dg,Cr,Tg,Dr,Sr,Tg,1
Tg,Dr,Sr,Tr,Tr,Tg,1
Sr,Sr,Cr,Dr,Sr,Sr,0
Dr,Tg,Sg,Tg,Tg,Cg,0
Tr,Cg,Tr,Sg,Dg,Cg,1
Cg,Dg,Tg,Cr,Dg,Tr,0
Dr,Tr,Cr,Cr,Cr,Dr,0
Cr,Dr,Dg,Cg,Sg,Cr,0
Tr,Tg,Dg,Cg,Sr,Dr,0
Dg,Dr,Dg,Tr,Cg,Cr,1
Dg,Sr,Tr,Sr,Sg,Dr,1
Sr,Cr,Cr,Cr,Tr,Tg,0
Sg,Cr,Cg,Dg,Sr,Sr,0
Dr,Sg,Sr,Cr,Sg,Dr,0
Tr,Tr,Cr,Dg,Tg,Tg,0
Tr,Cg,Tr,Sg,Sg,Tg,0
Dg,Cr,Dg,Tg,Cr,Sr,0
Tg,Dg,Sg,Tg,Dg,Sg,0
Tr,Cr,Cr,Sr,Dg,Sr,1
Dr,Tr,Sr,Sg,Tg,Tg,1
Dr,Tg,Cr,Tr,Sr,Cr,1
Tr,Dr,Dg,Dr,Dg,Sg,1
Dg,Cg,Cg,Cg,Cg,Cr,1
Cr,Cr,Tr,Cr,Cg,Dr,1
Cr,Dr,Tr,Sr,Tg,Dr,0
Cr,Tg,Dg,Dg,Tr,Sr,0
Tg,Tg,Cg,Dr,Tr,Cg,0
Sr,Cr,Cr,Cg,Cr,Tg,0
Sr,Tg,Cr,Cg,Dg,Cr,1
Sg,Dg,Tg,Cg,Tr,Tg,0
Dg,Dr,Dg,Cr,Tg,Tg,1
Cr,Tg,Sr,Dg,Tg,Tg,1
Sr,Cg,Tg,Tg,Dr,Tg,0
Cr,Dg,Tg,Tg,Cr,Cg,1
Cr,Cr,Sr,Dr,Dg,Cg,0
Dr,Sg,Dg,Dr,Cg,Cr,0
Tr,Tg,Sr,Cg,Dr,Cr,1
Tr,Dg,Sr,Tr,Tr,Dr,0
Cg,Dr,Tg,Dr,Dr,Cg,1
Sg,Dg,Tg,Tr,Dg,Cg,0
Cg,Tr,Dr,Sr,Cg,Tg,1
Dg,Sg,Sg,Dr,Tr,Dg,0
Sg,Tr,Dr,Dg,Cr,Tr,0
Tr,Tr,Dr,Tg,Dr,Sg,1
Cr,Sr,Sg,Sg,Cg,Tr,0
Sg,Tg,Cr,Dg,Dr,Sg,0
Cg,Dg,Sr,Sr,Sg,Tg,1
Cg,Tr,Dg,Cg,Dr,Dr,1
Tr,Tr,Dg,Sr,Dr,Tr,0
Sr,Sg,Tg,Sr,Dr,Dg,0
Cr,Cr,Tg,Sr,Sg,Dr,0
Tr,Dr,Tg,Dg,Dg,Dr,0
Tr,Cg,Tr,Sg,Dr,Sg,0
Tr,Tg,Sr,Sg,Tr,Cg,0
Tg,Tg,Cg,Tr,Tr,Sr,0
Dg,Dr,Dg,Tr,Tr,Tr,0
Tr,Tg,Sg,Tg,Cr,Cg,0
Cg,Tg,Sr,Cg,Cr,Sg,1
Dr,Dr,Dr,Dr,Tg,Cg,1
Cr,Cg,Dg,Sg,Cr,Sr,0
Cg,Cr,Sr,Sg,Cr,Cr,1
