token_0,token_1,token_2,token_3,token_4,token_5,token_6,token_7,token_8,token_9,token_10,label
Cy,Cy,Cg,Tb,Cg,Cr,Tg,Cr,Tb,Cy,Tr,0
Cg,Cy,Cg,Cg,Sb,Ty,Cg,Tg,Cy,Cy,Sg,0
Tb,Sr,Ty,Cg,Tr,Sr,Cb,Cb,Ty,Ty,Sb,0
Cr,Sr,Tr,Tg,Sb,Sb,Tb,Sg,Tb,Cy,Tb,0
Cy,Sr,Cg,Cg,Tr,Sb,Cr,Sg,Sb,Cr,Cy,1
Sy,Sg,Tg,Sr,Cb,Tr,Sy,Cg,Tb,Ty,Cg,1
Cg,Cy,Tb,Sr,Ty,Sg,Tb,Tg,Sy,Sb,Tg,1
Tb,Sg,Sr,Ty,Sr,Tb,Cr,Ty,Cy,Tg,Sb,0
Tr,Tg,Cg,Cb,Cr,Sy,Cb,Tg,Ty,Sy,Sg,0
Sr,Ty,Tb,Tb,Tr,Tb,Sg,Sy,Cb,Tb,Cg,0
Ty,Cr,Cy,Sy,Cb,Sy,Sg,Tr,Sg,Tg,Sr,0
Tb,Cy,Ty,Tb,Sg,Sb,Sy,Sr,Sg,Tg,Sb,0
Sy,Cb,Cb,Sr,Tr,Cr,Tg,Sg,Cb,Sr,Sg,0
Cy,Ty,Cb,Sy,Tr,Sy,Cr,Ty,Sy,Sb,Cr,0
Cg,Cb,Sg,Sr,Tr,Cy,Cg,Ty,Tg,Ty,Tb,1
Tr,Cb,Cr,Cy,Sb,Cg,Sb,Ty,Tb,Sb,Sg,0
Sr,Sg,Sr,Cy,Tb,Sb,Sb,Cg,Tb,Cg,Cy,1
Cg,Ty,Sb,Ty,Cy,Sr,Tg,Cg,Ty,Cg,Cy,0
Cy,Sr,Sy,Cy,Tg,Sb,Sy,Tr,Cr,Ty,Tg,1
Cy,Sb,Tg,Tr,Tg,Tb,Tb,Cg,Sy,Cg,Tb,0
Sb,Cy,Sg,Cg,Cr,Cb,Sy,Tr,Sr,Cr,Sy,1
Cr,Sg,Tb,Cr,Cg,Cg,Sb,Sg,Cr,Sb,Sy,1
Cb,Cy,Sb,Tr,Tg,Cy,Sb,Cg,Cb,Sg,Cg,0
Sg,Ty,Sr,Tr,Tb,Ty,Sg,Cy,Sy,Sr,Cb,0
Sg,Cg,Cg,Cb,Sr,Sr,Tg,Tb,Tr,Cb,Sb,1
Tb,Sg,Cy,Ty,Sy,Cr,Sg,Sb,Cr,Sr,Cr,0
Cg,Sg,Ty,Sg,Sg,Sy,Ty,Cg,Cb,Sg,Tb,0
Tr,Tr,Cg,Tg,Cb,Tb,Sb,Cg,Cg,Cr,Cy,1
Cr,Ty,Cb,Cg,Sy,Sb,Cg,Cr,Cr,Tg,Cr,1
Tr,Cy,Tr,Cg,Cb,Cr,Sb,Ty,Cy,Sb,Sy,1
Ty,Sb,Sy,Tb,Cb,Tr,Sy,Sy,Cb,Sy,Sg,1
Tg,Tg,Sr,Sb,Cg,Cb,Cg,Cy,Cg,Sr,Cy,0
Sy,Sg,Cg,Ty,Cy,Tb,Sy,Tr,Tg,Sr,Cy,1
Ty,Sb,Sb,Sr,Sy,Sg,Sg,Sb,Sg,Sy,Cr,1
Sb,Tg,Cy,Tr,Sy,Tr,Sr,Sr,Cb,Cr,Sr,1
Cg,Sb,Sy,Cb,Cy,Cg,Sg,Cg,Cg,Sg,Sb,1
Sg,Ty,Sg,Tb,Tg,Sr,Cy,Tr,Sb,Sb,Sr,0
Sr,Sr,Cy,Sy,Sb,Tg,Tr,Sy,Tb,Cr,Cy,1
Cr,Sy,Cr,Tb,Cg,Cg,Sr,Cb,Sb,Cr,Cb,0
Tb,Tb,Sr,Ty,Sg,Cy,Cg,Sr,Cr,Cb,Cg,1
Sy,Tr,Tb,Tb,Cr,Tg,Tg,Cy,Cg,Sy,Cy,0
Cg,Cr,Tr,Sg,Tg,Sy,Cg,Tb,Sy,Sg,Tb,1
Cy,Cr,Ty,Cb,Sr,Sy,Cg,Cy,Tg,Sg,Cg,1
Sr,Sg,Cr,Sb,Sy,Tr,Cy,Ty,Sb,Sr,Sb,1
Cg,Cr,Cg,Cg,Cr,Cb,Sy,Sb,Cb,Sb,Sb,1
Tr,Tg,Sy,Tb,Tr,Sb,Cb,Sy,Cy,Tg,Sy,0
Sy,Cg,Ty,Sg,Cr,Cy,Tr,Sg,Cy,Cg,Sb,1
Sr,Sy,Sg,Tb,Cb,Sb,Cy,Sy,Tg,Tr,Cr,1
Cg,Cb,Sy,Tb,Cy,Sy,Tg,Tr,Sb,Cb,Sr,0
Cr,Tr,Cy,Sg,Tg,Cy,Cg,Ty,Cg,Sy,Tg,1
Cy,Sr,Tg,Sg,Sy,Tg,Ty,Cy,Sb,Tg,Cr,1
Tr,Sr,Cr,Sy,Cg,Cb,Sr,Tb,Cb,Sg,Sy,0
Cg,Sy,Ty,Sb,Cy,Cr,Ty,Cr,Tr,Tr,Cr,0
Cr,Cy,Cg,Sr,Tg,Ty,Sb,Tg,Tg,Sg,Ty,1
Cg,Sg,Cr,Cy,Sr,Cg,Sr,Tg,Cy,Cr,Cg,1
Cy,Tb,Sy,Cg,Sb,Cb,Sb,Sg,Cg,Cr,Sy,1
Cb,Tr,Sy,Sr,Sr,Cy,Cy,Tb,Tr,Cy,Ty,1
Tg,Cb,Sr,Sr,Ty,Tb,Cy,Sg,Sg,Cb,Tb,1
Sr,Tg,Cb,Sb,Cy,Tb,Tg,Sg,Tg,Sb,Tb,0
Sb,Sy,Sr,Tr,Cb,Ty,Cr,Tb,Sr,Cg,Sy,0
Sy,Cr,Tb,Cr,Sy,Sb,Cy,Cr,Tr,Sb,Sy,1
Ty,Cy,Sy,Cy,Tb,Cy,Cr,Sy,Cr,Cg,Tr,1
Sb,Tg,Sb,Ty,Tb,Tg,Tb,Cg,Cr,Cg,Tb,1
Tg,Cg,Cb,Cg,Cy,Tr,Tb,Tr,Sb,Cg,Sy,1
Ty,Cg,Cg,Sy,Cr,Tg,Tg,Cr,Tr,Cy,Tr,1
Tr,Cy,Tb,Sr,Sb,Ty,Cr,Tr,Sg,Ty,Sr,0
Sg,Tg,Tr,Cy,Sg,Sr,Cy,Cb,Tg,Sg,Tr,1
Sg,Sg,Cb,Sy,Sy,Ty,Tr,Cr,Ty,Cr,Cb,0
Sr,Tb,Cg,Cb,Tb,Tg,Sr,Tr,Cy,Cb,Sg,0
Cg,Sb,Ty,Sb,Sr,Tr,Sb,Tb,Cb,Sg,Tr,0
Cg,Sb,Cr,Tg,Cg,Sr,Tr,Cg,Sg,Cr,Sg,0
Sy,Sb,Cg,Sr,Tb,Sr,Sy,Sr,Sg,Cg,Sb,1
Sb,Cb,Tr,Cb,Sr,Ty,Cb,Cy,Sg,Tr,Cb,1
Cg,Cg,Sy,Cy,Tg,Ty,Tg,Tg,Cy,Sy,Cr,1
Sb,Cr,Sy,Tb,Sg,Cr,Tg,Cr,Tr,Tb,Tr,1
Cr,Cy,Sb,Cb,Cr,Cy,Cg,Tr,Cy,Tr,Tb,0
Tg,Sg,Cb,Cb,Cg,Sb,Cb,Cg,Ty,Tg,Sg,1
Sb,Tg,Cg,Tr,Tb,Tg,Tb,Sg,Ty,Ty,Sr,0
Tr,Sb,Tr,Sy,Tb,Sr,Sr,Sr,Ty,Sb,Cy,1
Sr,Tr,Sg,Sr,Ty,Cb,Sb,Sy,Tb,Cy,Cg,1
Sb,Sy,Tr,Cb,Sr,Sr,Tr,Tb,Tr,Sy,Cy,0
Sb,Cb,Cg,Cy,Tb,Sb,Cy,Sy,Cb,Cy,Ty,0
Tr,Cy,Cy,Sg,Cy,Sb,Sy,Sy,Sy,Ty,Cb,0
Tr,Tg,Sg,Ty,Sb,Sr,Cy,Tr,Cg,Cr,Sr,0
Sb,Tr,Cg,Tr,Sr,Tr,Tg,Cr,Sb,Cb,Cb,1
Cg,Tb,Tg,Cr,Cb,Ty,Tr,Tg,Tb,Cy,Cy,0
Sy,Cg,Cg,Tg,Sy,Tg,Sg,Tb,Tb,Cg,Cg,1
Sg,Tr,Sr,Cg,Sr,Sg,Cg,Cg,Sr,Cb,Cr,0
Sb,Tr,Tb,Cb,Sg,Cr,Sy,Sb,Sy,Cy,Tb,1
Cg,Sb,Tg,Sy,Sy,Cb,Tg,Ty,Sb,Cg,Cy,1
Tg,Tg,Ty,Sy,Ty,Sr,Sy,Cg,Cr,Sr,Cy,0
Ty,Sr,Ty,Cb,Ty,Sr,Cg,Sg,Cy,Cy,Tg,0
Ty,Sb,Cb,Cy,Tb,Cr,Tg,Tg,Cy,Tr,Sb,1
Cr,Tr,Sr,Cb,Tr,Sy,Cg,Cr,Tr,Sb,Sr,1
Cg,Cr,Cb,Tr,Cb,Ty,Sb,Cy,Cy,Tg,Cy,1
Cg,Sr,Ty,Sr,Tg,Cb,Sg,Cb,Tb,Cg,Cg,1
Ty,Cb,Tr,Cy,Cb,Tg,Cy,Sb,Sr,Cr,Tg,1
Tb,Ty,Sr,Tr,Cg,Tr,Sg,Cr,Sg,Sg,Tb,1
Ty,Cg,Sb,Sg,Cy,Sg,Cr,Tr,Ty,Cb,Tb,0
Sy,Cg,Cg,Tg,Ty,Cb,Tg,Sb,Sr,Cr,Tg,1
Tb,Sb,Cy,Ty,Sg,Sg,Sy,Sg,Tg,Sb,Cb,0
Cy,Tb,Sy,Cb,Ty,Sy,Cr,Sy,Sy,Cg,Cr,1
Tb,Ty,Tr,Cr,Cr,Cy,Tr,Tb,Cg,Sr,Tg,1
Tr,Ty,Ty,Tr,Cg,Sb,Sr,Tb,Ty,Tg,Sr,1
Sg,Tr,Tr,Tb,Ty,Sg,Sb,Cr,Cg,Tr,Sg,0
Sb,Tr,Ty,Tr,Cb,Sb,Cy,Sg,Ty,Ty,Tb,1
Ty,Sb,Sg,Tb,Cy,Cb,Sb,Sg,Cy,Tg,Ty,1
Cr,Sy,Cb,Tr,Sy,Sb,Tg,Sr,Tb,Sy,Tg,1
Ty,Cy,Tr,Sy,Ty,Tr,Sy,Cr,Cy,Sy,Sr,1
Cg,Sg,Tr,Cy,Sb,Ty,Sy,Tg,Tb,Tr,Tb,1
Cr,Tr,Cr,Cy,Tb,Sb,Sy,Tg,Tg,Tg,Sb,1
Tr,Tr,Cy,Sr,Tr,Sg,Tg,Cb,Tg,Sy,Sy,0
Tb,Cb,Cg,Ty,Ty,Sb,Sy,Ty,Tg,Cg,Sg,0
Tg,Sg,Cr,Cy,Tg,Tr,Sr,Sr,Tr,Sr,Cr,0
Sr,Sy,Cg,Sb,Cg,Sg,Ty,Cg,Cy,Tb,Sg,0
Tg,Tr,Cg,Cr,Sy,Cg,Tr,Sb,Tb,Sy,Ty,1
Ty,Tg,Sr,Sb,Tr,Cy,Sb,Cg,Sr,Cb,Sr,1
Sb,Tb,Cb,Tg,Tr,Cy,Cr,Tb,Sr,Ty,Sr,0
Sr,Cb,Tb,Sy,Cb,Cb,Cg,Sy,Sr,Sy,Sy,0
Cb,Cr,Tr,Sr,Sb,Cg,Tg,Sg,Sy,Sy,Tb,1
Tb,Tg,Cr,Tb,Sg,Sy,Cy,Sy,Cb,Cg,Sb,0
Cb,Tr,Tb,Cy,Ty,Cg,Sy,Sg,Tb,Ty,Tb,0
Sg,Cb,Tg,Cr,Tg,Tg,Cb,Cb,Sb,Tg,Tb,1
Sr,Sy,Sy,Cr,Tg,Cr,Sb,Tb,Cg,Sb,Sg,0
Sy,Ty,Sg,Sb,Cy,Cy,Sb,Cb,Sr,Sy,Cr,1
Sg,Sy,Sy,Tg,Tr,Sy,Tg,Tr,Cg,Tr,Cy,0
Ty,Tb,Tr,Tg,Tr,Sy,Sr,Sr,Sr,Ty,Sr,0
Cb,Ty,Cb,Cb,Ty,Tg,Ty,Cb,Tb,Ty,Tr,0
Sr,Tg,Cy,Tb,Sy,Sy,Tr,Tg,Sb,Sy,Cg,0
Cy,Cb,Ty,Cg,Cb,Tg,Cy,Cg,Ty,Sg,Tb,1
Sr,Tr,Cb,Tb,Tg,Tr,Cy,Tb,Sb,Ty,Cb,0
Sr,Cy,Tb,Sg,Sr,Tg,Cr,Cy,Cy,Cb,Tb,1
Cy,Tg,Sr,Tg,Cr,Tr,Tb,Cr,Cb,Cg,Cg,1
Ty,Cy,Cy,Tg,Tb,Sr,Tr,Sb,Sr,Cg,Cy,1
Cr,Ty,Cb,Sg,Tg,Cr,Cr,Tr,Tg,Sr,Cb,1
Cg,Cr,Ty,Sg,Tb,Sb,Ty,Tr,Tg,Sr,Ty,1
Tb,Tg,Cg,Tr,Sr,Tb,Sg,Tr,Cr,Tg,Sg,1
Ty,Ty,Tg,Cb,Sr,Sb,Cy,Sr,Sg,Cg,Tr,0
Cb,Sb,Cb,Cy,Cb,Sg,Tb,Sy,Sr,Tg,Sg,0
Sr,Cb,Tg,Tg,Sg,Cb,Cb,Sy,Sg,Cr,Sb,0
Tb,Tb,Sg,Ty,Sg,Sr,Sg,Cb,Tg,Cb,Tb,0
Ty,Tg,Cb,Cy,Ty,Cy,Sg,Tg,Tb,Sy,Cb,0
Cy,Cb,Sr,Sr,Sy,Tg,Ty,Cg,Tb,Sy,Sg,1
Tg,Tr,Cg,Tr,Sg,Cg,Tr,Cr,Cb,Ty,Sy,1
Ty,Cr,Tr,Cr,Cg,Tg,Sg,Sg,Sg,Cg,Cy,0
Tb,Cr,Cg,Sb,Sg,Tb,Sb,Sg,Cy,Tr,Cg,0
Sy,Cr,Tr,Cb,Tg,Ty,Cr,Sg,Tb,Tb,Cy,1
Sy,Cg,Cr,Tg,Cy,Ty,Tr,Sb,Cg,Cb,Cr,0
Ty,Sy,Tb,Cb,Sb,Cr,Tg,Tg,Sy,Tg,Ty,1
Sg,Cy,Cr,Sb,Cr,Cy,Tg,Sy,Cg,Sr,Cg,0
Cg,Ty,Ty,Cr,Sy,Sy,Sb,Cy,Sr,Cg,Cg,1
Sg,Cg,Cr,Ty,Sy,Sy,Sy,Ty,Tb,Ty,Cy,0
Cg,Sg,Sr,Cg,Sy,Sb,Tb,Cy,Ty,Sb,Sg,1
Cr,Cr,Sr,Tg,Sb,Cb,Cr,Sr,Sg,Tr,Sy,0
Cb,Ty,Tg,Cr,Sb,Sg,Tb,Ty,Sg,Cy,Sr,0
Tr,Cb,Cr,Tr,Cy,Tb,Sg,Tr,Sy,Tg,Sr,0
Sy,Sy,Cy,Cg,Cr,Cy,Tb,Sy,Sg,Tb,Tb,0
Sy,Sy,Tg,Cy,Cr,Sb,Cr,Sg,Tb,Sg,Tg,1
Cy,Sb,Sy,Cy,Sr,Tr,Cy,Tg,Cg,Cr,Tg,1
Tr,Tr,Sb,Ty,Sg,Sy,Cg,Sg,Sy,Tb,Sy,1
Cg,Sr,Sy,Cr,Tb,Cy,Tr,Cr,Sg,Cg,Ty,1
Cb,Sr,Ty,Ty,Sg,Cb,Cb,Cy,Tr,Ty,Cy,0
Ty,Cy,Ty,Cg,Cy,Tr,Sb,Sr,Sy,Cy,Cg,0
Ty,Tg,Sb,Cg,Cb,Tr,Tb,Tb,Sr,Tg,Sr,0
Tr,Cb,Tb,Tg,Cg,Tr,Tb,Cr,Tg,Ty,Cr,0
Cr,Cg,Cg,Cy,Sg,Tb,Cr,Sy,Sy,Tg,Tr,0
Cb,Ty,Tb,Tg,Cr,Tg,Sy,Sb,Tr,Sg,Ty,0
Cb,Sb,Sr,Sy,Cy,Tr,Cg,Cr,Sy,Ty,Cb,0
Cb,Sy,Sy,Tg,Cy,Sy,Sy,Tr,Tr,Tg,Tg,1
Sg,Cb,Ty,Tr,Ty,Cr,Cg,Ty,Cb,Tr,Sb,1
Ty,Sy,Cy,Tr,Cg,Tg,Tb,Ty,Sr,Cg,Cg,1
Sy,Sb,Sg,Cb,Tr,Sg,Cr,Tb,Sb,Ty,Cr,1
Cb,Sr,Sr,Cg,Tr,Sg,Cb,Cy,Cy,Tr,Cg,1
Cb,Sg,Tb,Cb,Ty,Tb,Sb,Cr,Tr,Sy,Tb,0
Tr,Cr,Cg,Sr,Cy,Sr,Sb,Sr,Cb,Tg,Sg,0
Ty,Ty,Tr,Cb,Cr,Sr,Cb,Sg,Cb,Cb,Sb,0
Ty,Ty,Sg,Cg,Cb,Cb,Cg,Tb,Tg,Sr,Cr,1
Cg,Sb,Cg,Sr,Cb,Cr,Sg,Sb,Sg,Cb,Sr,0
Tr,Tb,Cr,Cy,Tg,Ty,Cy,Sr,Cb,Tr,Sy,0
Cg,Sg,Ty,Ty,Sr,Tr,Sy,Sr,Sb,Ty,Cy,1
Tr,Tg,Cy,Cg,Sy,Tb,Ty,Tb,Cy,Cr,Tr,0
Sr,Cg,Tb,Tr,Tr,Sg,Cy,Tg,Tr,Sg,Cb,1
Sb,Cy,Cy,Cg,Cg,Sy,Sr,Tg,Sy,Sy,Tg,1
Cy,Sb,Cr,Cr,Ty,Tr,Tg,Tb,Tg,Sr,Tb,1
Sb,Cy,Tb,Cb,Sr,Cr,Tg,Sr,Cb,Ty,Sg,1
Sy,Tg,Cy,Sr,Sy,Cy,Sb,Cr,Ty,Tg,Tb,1
Sr,Cy,Cy,Cy,Sr,Cy,Cb,Cy,Tg,Sy,Sg,0
Ty,Sr,Sg,Ty,Cb,Tb,Tb,Ty,Tr,Tr,Tb,0
Ty,Sb,Tg,Ty,Cy,Sy,Cy,Cy,Cb,Tg,Sr,1
Ty,Cg,Cy,Ty,Cy,Cg,Sr,Cb,Tr,Sg,Tr,0
Tb,Tr,Sy,Tb,Cr,Ty,Sy,Tg,Cg,Tg,Tb,0
Sg,Cy,Cb,Ty,Cg,Ty,Tb,Tg,Tb,Sy,Cg,1
Cy,Sg,Cb,Cg,Ty,Tg,Tr,Cg,Sg,Tb,Sg,0
Cg,Tg,Ty,Ty,Ty,Sg,Sg,Cr,Ty,Cb,Sr,1
Tb,Cr,Cg,Sg,Sb,Sy,Sb,Tb,Tr,Ty,Ty,1
Cr,Sr,Cy,Sr,Sr,Sr,Ty,Sr,Cr,Tr,Tg,1
Sb,Sg,Tg,Tr,Tb,Cg,Sg,Tb,Tb,Sg,Sr,0
Cy,Cb,Cr,Tb,Tg,Sy,Sg,Cb,Ty,Cb,Tr,0
Cr,Cb,Sb,Cg,Ty,Sb,Ty,Cr,Tr,Tr,Cr,1
Sg,Sg,Ty,Cb,Sg,Tg,Tb,Sr,Cy,Ty,Cr,0
Cg,Cy,Cr,Tg,Sr,Cr,Tb,Cr,Cy,Cg,Tr,1
Sg,Cg,Tg,Cg,Tg,Tb,Cg,Cy,Sg,Ty,Sb,0
Ty,Ty,Cb,Cg,Cb,Cr,Sr,Sg,Cb,Cg,Tb,1
Sr,Tr,Tr,Cg,Sg,Tb,Cy,Sb,Cy,Ty,Tb,0
Sy,Sy,Cg,Tr,Ty,Ty,Sg,Tr,Tb,Cy,Tr,1
Cb,Cg,Cg,Sr,Cg,Tg,Tg,Cy,Tr,Sy,Tg,1
Sy,Sb,Cg,Sy,Cg,Cr,Sy,Tg,Ty,Cb,Ty,1
Ty,Sr,Cy,Sy,Cg,Ty,Tr,Ty,Sg,Ty,Cg,1
Sy,Tg,Tr,Tr,Sb,Sb,Ty,Cg,Sb,Tb,Tr,1
Tb,Sy,Sy,Tb,Cr,Tb,Cg,Cr,Cr,Sb,Tr,1
Sy,Sb,Sr,Cb,Sr,Cr,Cy,Ty,Cg,Tr,Sb,1
Cg,Sb,Cg,Tb,Sr,Ty,Cg,Tg,Sg,Ty,Tg,1
Tg,Tr,Sg,Tr,Cg,Ty,Sg,Sr,Ty,Sr,Ty,0
Cg,Tg,Tg,Tb,Tg,Sb,Cy,Tb,Tg,Sr,Ty,0
Cy,Sy,Cy,Tg,Ty,Sr,Cb,Tb,Tr,Cb,Sg,1
Cg,Tg,Tb,Cr,Tr,Tg,Sg,Cg,Cg,Cy,Cg,1
Tr,Ty,Sg,Sy,Ty,Tr,Cb,Sb,Cy,Sy,Tb,1
Sr,Tg,Cb,Cr,Ty,Sg,Sr,Cb,Sb,Sy,Ty,1
Cg,Cg,Sy,Cb,Cb,Ty,Cr,Cy,Sb,Tr,Cy,1
Sb,Tb,Cr,Sb,Tb,Sr,Tr,Sg,Cg,Tg,Sb,0
Cb,Sy,Cy,Tg,Cg,Cy,Tg,Cg,Tg,Tr,Tb,1
Sg,Tg,Cy,Cb,Ty,Tg,Tg,Cr,Tb,Tb,Sy,1
Cy,Sr,Cy,Sg,Tb,Sy,Cy,Tg,Cg,Tg,Sb,1
Tb,Ty,Sr,Tr,Cr,Sr,Cb,Sr,Sr,Cy,Cy,1
Cg,Tr,Cb,Ty,Sy,Sr,Cg,Sy,Sr,Tg,Sb,0
Sg,Tr,Cr,Sg,Tb,Cy,Sg,Sg,Ty,Sb,Tb,1
Tr,Sg,Tr,Tb,Sr,Tg,Sr,Cb,Tb,Sb,Sy,0
Sy,Sb,Cr,Cg,Ty,Cr,Cr,Cg,Cb,Tb,Sg,0
Sy,Tr,Cy,Tr,Ty,Ty,Cr,Sy,Cg,Cg,Ty,1
Tb,Cg,Cg,Tb,Cr,Cr,Cg,Sr,Sb,Sb,Ty,0
Cg,Tb,Sy,Sg,Cr,Tg,Sb,Sg,Cr,Sr,Sy,0
Sb,Sb,Tb,Sb,Sg,Tg,Cy,Sr,Sg,Sg,Tr,0
Tb,Sg,Sy,Cg,Tr,Ty,Sr,Ty,Sr,Cy,Cy,1
Sy,Cy,Tg,Tb,Tb,Cy,Tb,Cy,Cr,Ty,Tg,1
Cg,Sr,Tg,Tr,Tb,Ty,Cg,Cb,Sy,Tb,Sr,0
Sr,Sr,Cy,Sr,Tb,Tr,Sr,Sg,Tr,Cy,Sb,0
Sr,Sb,Sy,Cr,Cg,Ty,Ty,Sg,Cr,Cb,Cg,1
Tb,Tb,Sb,Tb,Tg,Sg,Cr,Tb,Cr,Tg,Ty,1
Sr,Sy,Tg,Cr,Sg,Ty,Tb,Sr,Tb,Tb,Cy,1
Cy,Cy,Sy,Cb,Tr,Cy,Ty,Sb,Sr,Tb,Cg,1
Cb,Sb,Cy,Cr,Cg,Tr,Ty,Cy,Sb,Cg,Tr,0
Cr,Tr,Ty,Cr,Tr,Ty,Cb,Ty,Cr,Ty,Ty,1
Cr,Cr,Tb,Cr,Ty,Sr,Cy,Tb,Tb,Sr,Cb,1
Cr,Sb,Cy,Sg,Cy,Ty,Sb,Tb,Tb,Cg,Cr,0
Ty,Sb,Sr,Cr,Tb,Tr,Sg,Sr,Ty,Tr,Tr,0
Tg,Tg,Cb,Sy,Cb,Sb,Tr,Tb,Sg,Cr,Tr,0
Cb,Sy,Sy,Tg,Cb,Tg,Sb,Tg,Sy,Cg,Tr,0
Cy,Sr,Cg,Ty,Tb,Tg,Tb,Ty,Ty,Sg,Tr,1
Cg,Tb,Cb,Cy,Tr,Cr,Tb,Cy,Cr,Cb,Ty,1
Ty,Tg,Cb,Tr,Sb,Cy,Sy,Cy,Sb,Tb,Tg,0
Sy,Cb,Sb,Tb,Tg,Sy,Ty,Sy,Ty,Cb,Ty,1
Tg,Tr,Sy,Sy,Sg,Sg,Ty,Cy,Tr,Tg,Sy,0
Tg,Cb,Tr,Cb,Sb,Tb,Cr,Sb,Cb,Cb,Cb,1
Tb,Cr,Tg,Ty,Sy,Sr,Cy,Tb,Cy,Sy,Cb,1
Cb,Cg,Sg,Cg,Cg,Tg,Sr,Cg,Sr,Sy,Cb,0
Sr,Tr,Cr,Cy,Tr,Cy,Ty,Tr,Sg,Sb,Cy,1
Ty,Sr,Ty,Sy,Cy,Sr,Tr,Ty,Tb,Cr,Tb,0
Cr,Sy,Cr,Sy,Cg,Sy,Cr,Ty,Tr,Cr,Sb,0
Sg,Tr,Cb,Sr,Cr,Cg,Ty,Cb,Sg,Sb,Tr,1
Sr,Tr,Cy,Tb,Tr,Tr,Cg,Sb,Ty,Sr,Sr,1
Tb,Sr,Cy,Cg,Cy,Tr,Cr,Ty,Cb,Sg,Cb,0
Cb,Sy,Ty,Tr,Ty,Cr,Cr,Cb,Cg,Cg,Cg,1
Cb,Cr,Sy,Sy,Sr,Sg,Cr,Ty,Cg,Cy,Sr,0
Tr,Ty,Cb,Cg,Tr,Tb,Cy,Sg,Sy,Sg,Sr,0
Ty,Cb,Cg,Sr,Cb,Tr,Sg,Tr,Sr,Cg,Sg,0
Sr,Tg,Cr,Tr,Cy,Cb,Cr,Tg,Cb,Tg,Cr,0
Cb,Sr,Cy,Tr,Sr,Cr,Tg,Sb,Cb,Tb,Tb,1
Sg,Cg,Tg,Sb,Sr,Sg,Tr,Tg,Sb,Cr,Cb,1
Cb,Sg,Tg,Cy,Cr,Sy,Cr,Sy,Tg,Cr,Cr,0
Sb,Cb,Tr,Cy,Sr,Tr,Cr,Sr,Tg,Cg,Sb,1
Sb,Tg,Sg,Cg,Ty,Cy,Sg,Cg,Cr,Tb,Cr,1
