token_0,token_1,token_2,token_3,token_4,label
Tg,Tr,Sg,Sg,Sg,0
Sr,Tr,Cg,Tr,Sr,1
Sr,Tr,Tr,Tr,Tr,1
Cg,Cg,Sr,Sg,Cr,1
Cr,Cg,Tr,Tg,Tg,0
Sg,Cg,Tr,Tg,Cg,0
Sr,Cg,Tr,Sr,Tr,1
Tg,Sr,Tr,Cg,Sg,1
Tr,Cg,Cr,Tg,Tg,0
Cg,Tg,Cr,Sg,Tr,1
Sr,Tg,Cr,Tg,Cg,0
Cg,Cg,Cr,Cg,Tg,1
Tr,Tr,Tg,Tr,Cr,0
Cg,Sg,Sg,Tg,Tr,0
Tg,Cr,Sr,Sg,Cg,1
Cr,Sg,Cr,Cg,Tg,0
Tg,Sg,Cr,Sg,Sr,1
Sg,Sg,Tg,Tr,Cg,1
Cr,Sr,Cg,Cg,Tr,1
Sr,Sr,Cg,Cr,Cg,1
Tr,Tg,Tg,Sg,Cg,1
Tr,Tg,Tg,Cg,Tr,1
Cr,Sg,Tr,Sg,Cg,1
Tg,Sg,Sr,Tr,Sg,0
Tr,Cr,Cr,Sr,Cg,1
Sr,Sg,Cg,Cr,Sr,0
Sr,Cg,Tr,Sr,Tr,1
Sg,Tr,Sr,Tr,Sg,1
Tg,Tg,Cr,Cg,Sg,1
Sr,Cr,Sr,Tr,Cg,1
Cr,Sg,Cr,Sr,Tr,1
Sg,Cg,Cg,Tr,Sr,0
Cg,Sg,Sg,Cg,Sg,1
Cg,Cr,Tr,Tg,Cg,1
Sg,Cg,Tr,Cr,Cr,1
Sg,Sr,Tr,Sr,Cr,1
Sg,Cr,Sr,Tr,Tg,0
Sg,Tr,Cr,Sr,Cr,1
Cr,Sr,Sg,Cg,Tr,1
Tr,Sr,Sg,Tr,Tr,0
Tr,Cg,Sr,Sr,Cg,0
Cg,Tr,Tg,Sr,Tg,1
Tr,Tr,Sg,Tg,Cg,0
Sg,Cg,Tg,Sg,Tg,0
Sg,Sr,Tr,Sr,Sr,0
Cg,Sr,Sg,Tg,Sg,1
Tr,Tg,Tg,Cr,Sr,0
Sr,Tg,Tr,Tr,Sr,1
Tg,Cg,Sr,Sr,Cg,1
Sr,Sr,Tr,Tr,Tr,1
Cg,Tr,Cr,Cg,Cr,1
Cg,Sg,Sg,Cr,Sg,1
Tr,Sr,Sg,Cr,Sr,0
Tr,Cr,Sr,Cr,Sg,0
Tg,Cr,Cg,Sr,Cg,0
Sr,Cr,Cr,Cg,Tr,1
Sr,Cg,Tg,Sr,Tr,0
Tr,Tr,Cg,Cr,Cg,0
Sg,Tg,Cr,Sg,Tr,1
Tg,Tg,Tr,Sg,Tg,1
Cr,Tg,Tr,Tg,Tg,0
Tg,Cr,Tr,Tr,Sg,1
Tg,Cr,Tg,Cg,Tg,0
Tr,Tg,Sr,Sr,Tg,1
Tg,Cg,Sr,Sr,Sr,0
Sr,Tg,Sg,Sr,Tg,1
Sr,Tr,Sr,Cg,Tg,1
Sg,Cg,Sg,Cg,Cr,0
Cr,Cg,Sg,Tg,Sg,1
Sg,Cr,Sg,Cr,Sr,0
Cr,Cr,Cr,Cg,Sr,0
Tr,Sg,Cg,Sg,Cg,1
Sg,Sr,Sr,Cg,Cr,1
Tg,Cg,Cr,Sg,Sr,0
Cg,Tg,Cg,Tr,Tr,0
Sr,Tg,Cg,Sg,Cr,0
Cg,Sg,Sr,Sg,Cg,1
Sg,Cg,Tg,Tg,Tg,1
Cg,Sr,Tg,Tg,Tg,1
Sg,Sr,Sg,Cg,Sg,1
Tr,Cr,Sr,Tr,Tg,0
Sg,Cg,Sg,Sg,Cr,1
Cr,Cr,Tg,Sr,Tr,1
Cg,Tg,Tg,Sr,Cr,0
Sg,Tr,Tg,Sg,Tg,0
Sg,Cr,Cr,Sg,Cg,0
Cr,Tg,Sg,Cr,Sr,0
Sg,Cg,Tg,Tr,Cr,0
Sr,Cr,Sr,Cr,Tg,0
Sr,Sg,Sg,Sr,Tg,1
Tg,Sg,Cg,Tg,Cr,1
Tg,Tr,Tr,Sr,Sr,1
Tg,Cg,Tr,Tg,Sr,1
Cr,Cr,Cr,Sg,Cr,0
Sg,Sr,Tg,Sg,Cr,1
Cg,Sr,Tg,Sg,Tr,1
Cr,Sg,Sg,Cr,Sr,0
Cg,Cr,Sr,Cr,Tg,1
Cg,Cg,Cg,Sg,Tg,0
Cg,Tg,Sg,Cg,Tg,0
Tg,Sr,Sg,Tr,Cg,1
Sr,Cg,Tg,Cg,Cr,1
Tr,Tr,Tg,Sg,Sr,1
Cg,Tg,Cr,Tr,Cr,1
Cr,Sg,Sg,Tg,Tg,1
Sg,Sr,Cr,Sg,Tg,0
Cr,Cr,Sr,Cr,Sr,1
Cg,Sg,Tg,Cr,Sr,0
Sg,Sr,Cr,Sg,Cr,1
Tr,Sr,Tr,Sr,Sg,0
Cg,Tr,Cg,Tg,Sg,1
Cg,Tr,Tg,Tg,Sr,1
Cr,Tg,Tr,Sr,Cg,1
Tr,Sr,Tr,Sr,Tr,0
Cg,Sr,Sg,Cr,Sg,0
Sg,Sg,Sg,Cg,Sr,1
Tr,Sg,Sg,Sr,Sr,0
Sg,Sr,Sg,Tr,Sr,0
Cg,Sg,Cr,Tr,Cr,1
Cr,Cg,Cg,Tr,Cr,0
Tg,Sr,Tr,Tg,Sr,1
Sg,Sg,Tg,Sr,Tg,1
Cg,Sg,Cg,Cr,Sr,1
Sg,Tr,Cr,Sg,Cr,0
Sg,Tr,Sg,Cr,Sr,1
Cr,Cg,Sg,Cr,Sg,1
Sr,Tg,Sg,Cr,Cg,1
Tr,Cr,Cg,Cr,Sr,0
Sr,Sr,Tg,Cg,Cr,1
Tg,Sr,Cg,Tr,Cr,1
Cg,Sg,Tg,Sr,Cr,1
Tr,Cg,Sr,Sg,Cr,0
Sg,Tr,Tr,Cg,Cr,0
Tg,Cr,Tr,Tr,Tg,1
Tg,Tr,Cr,Sr,Sg,1
Cg,Cg,Sg,Sr,Cr,0
Sr,Cg,Sr,Cr,Tg,0
Tg,Cg,Cg,Sr,Cg,0
Tr,Tg,Sg,Sr,Sg,1
Sg,Cg,Sg,Cr,Tg,0
Tg,Sr,Sr,Tr,Sr,1
Tr,Tr,Tr,Sr,Tg,0
Tr,Cg,Sr,Tr,Sr,1
Sg,Tg,Cg,Tr,Sg,0
Sr,Sg,Tr,Sr,Tg,0
Sg,Tg,Sr,Tg,Sr,0
Tr,Sr,Sg,Sr,Tg,1
Cr,Sr,Tr,Tr,Tr,1
