token_0,token_1,token_2,token_3,token_4,token_5,token_6,token_7,label
Cr,Tb,Cg,Tb,Sb,Tg,Tb,Tb,1
Tb,Sg,Sb,Tr,Cg,Tg,Tr,Sb,1
Cg,Tr,Sr,Sr,Tr,Tr,Tr,Tr,1
Sb,Cr,Sg,Cb,Sb,Cb,Cr,Sr,0
Tr,Tr,Sb,Cg,Cr,Sg,Tb,Tr,0
Tg,Cb,Tb,Sr,Tg,Sb,Cb,Sb,0
Tg,Cr,Cb,Tr,Cg,Cb,Sb,Cr,0
Sg,Cb,Cg,Tb,Sg,Sb,Cr,Sr,1
Cg,Cb,Sg,Cr,Cg,Sg,Cg,Cg,1
Cr,Tr,Tr,Cb,Tb,Tg,Tg,Tb,1
Sr,Sg,Sb,Tb,Sg,Sb,Cr,Tb,0
Tb,Sr,Cg,Sb,Sr,Cb,Sb,Tb,1
Sg,Cg,Sr,Sb,Tr,Sg,Tb,Sg,0
Tb,Sr,Sb,Sb,Tr,Tb,Sg,Sr,1
Sr,Sb,Sb,Sb,Cg,Cg,Tg,Sr,1
Tb,Sg,Cb,Sb,Cg,Sg,Cr,Cr,1
Sb,Tr,Cr,Cg,Cb,Tg,Tb,Sr,1
Cr,Sg,Cg,Tr,Cb,Tg,Tb,Sg,1
Sr,Cr,Cg,Sg,Sg,Sr,Sg,Cr,0
Sr,Cr,Sb,Tg,Sr,Tg,Sb,Cb,1
Tb,Tr,Sb,Tg,Cr,Tr,Cg,Tg,1
Cb,Tb,Cb,Tb,Cg,Tr,Sb,Sr,0
Cg,Cb,Cb,Cr,Sb,Sb,Cb,Sb,0
Tb,Tr,Sb,Sb,Tr,Cr,Tg,Sb,1
Tg,Tg,Cb,Tb,Tr,Sr,Tr,Tr,1
Cr,Cr,Cg,Sr,Tr,Cg,Sg,Tg,1
Sb,Sr,Cr,Sg,Tb,Sb,Cb,Tr,0
Sg,Cg,Cg,Tb,Cg,Tb,Sr,Sg,1
Sb,Tg,Cb,Tg,Cb,Sr,Cr,Tb,1
Sg,Tr,Sr,Sr,Sg,Sg,Cr,Sb,0
Tb,Cr,Cg,Sb,Sg,Cg,Cr,Cb,0
Tr,Sr,Sg,Sg,Tr,Tr,Cr,Sg,1
Tr,Sr,Cg,Tr,Sg,Cr,Cr,Sg,0
Cg,Sg,Tb,Tg,Sb,Cr,Tr,Tr,1
Tb,Sb,Tg,Tr,Sg,Tr,Sr,Cb,0
Tr,Cg,Tr,Cb,Tr,Tb,Tr,Cr,0
Tg,Tr,Cb,Sg,Sb,Cr,Cb,Sb,0
Sg,Tr,Cb,Cb,Cb,Tb,Sr,Tr,0
Tr,Tg,Sg,Tb,Sr,Sg,Sb,Sb,1
Tr,Sr,Tg,Cg,Tb,Cb,Sb,Sg,1
Cr,Tb,Cg,Cg,Tg,Cr,Sb,Sr,1
Tb,Cg,Tg,Cr,Tb,Sr,Tr,Tg,1
Cr,Cr,Cr,Tb,Sr,Tb,Cg,Sb,1
Cg,Cr,Sr,Tr,Sb,Tr,Sr,Cb,0
Sb,Cr,Sb,Sb,Sr,Cg,Sr,Sr,1
Cg,Sb,Sg,Sb,Cb,Cr,Sg,Sr,0
Cg,Sg,Sr,Cg,Tb,Cg,Tg,Tg,0
Sb,Tb,Tr,Sb,Cr,Tr,Sg,Tg,1
Sb,Sr,Cb,Tr,Cb,Cg,Cb,Cg,0
Tb,Tb,Sb,Sg,Sg,Cg,Sg,Cg,0
Tg,Sr,Cr,Sg,Cb,Cr,Tg,Cb,1
Cb,Tb,Sb,Sg,Cb,Tb,Tb,Cb,0
Cb,Cr,Sg,Tg,Sb,Sb,Tb,Cg,0
Tr,Sr,Tr,Cb,Tb,Cb,Cg,Cr,1
Cr,Cr,Tb,Tg,Cr,Cg,Tg,Cb,0
Tr,Tg,Cb,Cr,Tb,Tr,Sg,Cb,0
Sg,Sr,Sr,Sr,Cb,Sr,Tr,Cg,0
Cr,Tr,Cr,Cb,Tb,Sg,Cg,Sb,1
Tg,Cr,Cr,Sr,Tr,Cg,Cb,Cr,1
Cr,Sb,Tg,Tb,Cg,Sg,Sr,Sg,0
Cb,Cr,Cg,Sr,Sr,Tg,Cr,Cg,1
Tg,Tb,Sg,Cb,Cg,Sb,Cr,Sb,1
Cr,Sg,Sb,Cg,Sb,Cg,Sr,Sg,0
Cb,Cg,Sg,Cr,Cg,Cb,Tr,Tr,1
Sb,Tr,Tg,Tb,Sr,Sg,Cr,Sg,1
Cg,Tb,Tb,Cr,Cr,Tg,Sg,Tg,0
Sb,Sg,Sb,Tr,Cr,Cb,Cg,Sg,1
Tb,Cg,Sg,Tb,Tg,Cg,Sr,Cg,0
Cb,Sg,Sg,Cr,Tg,Cg,Cr,Cg,0
Sg,Sg,Tb,Cg,Sg,Tg,Cr,Sr,1
Tr,Sb,Tg,Sg,Sr,Sr,Cb,Tg,1
Cb,Cb,Tg,Cb,Tb,Sg,Cb,Tb,0
Cb,Tg,Sb,Cb,Sr,Tb,Tr,Cb,0
Cb,Sr,Cg,Cr,Tg,Tb,Tr,Cg,0
Sb,Cr,Sr,Tb,Sr,Sg,Sg,Sb,0
Tg,Sr,Tr,Sg,Sr,Sr,Sb,Cg,0
Cg,Sg,Sb,Sb,Tg,Tr,Cb,Tr,1
Cg,Cr,Sb,Sb,Cb,Tr,Tb,Sb,1
Sr,Tg,Cg,Tr,Tb,Cr,Tb,Sr,1
Cb,Sg,Cb,Sr,Sb,Cb,Sr,Sb,0
Sg,Cr,Cg,Tr,Cg,Tb,Sr,Cr,1
Tr,Cb,Sb,Sb,Tg,Cg,Tg,Tg,1
Tg,Cb,Cr,Sb,Sg,Cb,Cb,Cg,0
Cr,Tr,Tg,Cg,Cg,Tg,Tb,Sr,1
Sr,Cg,Cr,Sg,Sg,Sr,Sr,Tb,0
Sr,Tg,Sg,Sb,Sr,Sr,Tg,Cb,1
Sr,Sb,Sb,Tg,Cb,Tg,Tb,Cb,0
Cb,Sg,Cg,Sr,Tg,Sg,Tb,Sg,1
Tg,Tb,Cg,Cr,Sg,Tb,Tb,Sr,0
Cr,Cr,Cg,Tb,Cg,Tr,Cg,Cb,0
Cb,Sr,Sr,Cg,Cg,Sr,Tg,Tr,1
Sb,Sg,Tb,Sb,Cr,Sb,Tb,Sr,0
Tr,Cb,Tg,Sg,Cb,Cb,Tr,Sr,0
Cb,Sb,Tg,Tb,Sr,Sb,Sg,Sr,1
Tb,Cb,Cg,Tr,Cg,Cb,Cb,Sb,1
Tb,Tb,Cb,Cg,Tg,Cb,Sg,Sr,0
Sb,Tr,Tr,Tg,Sb,Tb,Sr,Sg,0
Sr,Cg,Cg,Sg,Cg,Cg,Sb,Sb,1
Tr,Tg,Tg,Sg,Sb,Tr,Cb,Cb,1
Tg,Cb,Tb,Tr,Tb,Tb,Tg,Sg,1
Tb,Sg,Tr,Cg,Sb,Sb,Cg,Tg,0
Cr,Sg,Sr,Sb,Tr,Tr,Tb,Tr,1
Tg,Sg,Sg,Tg,Sb,Cg,Tr,Tg,0
Tb,Sb,Tr,Tr,Cb,Cb,Cg,Cr,1
Cg,Sb,Cb,Tg,Tr,Sb,Tb,Cg,1
Cb,Cb,Tb,Tr,Sb,Tr,Tr,Tr,1
Tr,Tr,Cg,Tb,Sr,Cr,Sr,Cr,1
Cg,Cb,Tb,Cr,Sr,Tr,Cr,Sg,0
Sg,Cb,Sb,Sg,Cg,Cb,Tr,Sr,1
Cb,Cb,Tr,Cb,Cb,Cb,Sg,Cb,0
Cr,Tb,Tg,Cb,Sb,Sr,Sr,Tr,1
Tb,Tr,Tb,Cr,Cg,Sg,Sg,Cg,1
Tb,Sr,Sb,Tb,Sr,Tg,Cr,Sb,1
Sb,Sb,Sr,Sr,Cb,Cr,Tg,Tb,0
Cg,Tg,Cb,Sb,Sr,Sg,Cg,Sb,1
Sg,Sg,Sg,Cg,Tr,Cg,Tg,Cg,0
Tr,Cb,Cg,Cg,Tg,Sb,Tb,Sr,0
Tr,Tg,Tg,Sg,Cb,Sg,Sr,Sg,0
Sb,Tg,Sr,Tr,Cb,Tg,Tb,Tb,0
Cb,Tr,Sr,Sr,Tg,Sb,Tr,Sr,1
Sg,Tb,Tb,Tb,Tr,Cr,Cr,Tg,0
Sg,Tb,Cb,Sg,Tb,Cb,Tg,Sr,0
Sg,Tg,Tb,Sb,Tr,Cg,Sr,Cr,0
Tb,Sg,Cr,Sb,Cr,Cr,Tr,Cr,0
Tr,Cr,Tr,Sg,Tb,Sg,Cb,Cg,0
Cg,Tr,Tr,Sb,Tr,Cg,Sr,Tg,1
Sb,Sb,Cb,Tg,Sb,Sb,Sr,Tb,1
Sr,Sr,Sg,Sg,Tg,Cr,Sr,Cr,0
Tr,Sb,Tb,Sr,Tb,Cr,Tb,Tr,0
Cr,Tg,Tb,Sb,Tb,Tr,Tg,Tg,0
Cg,Sg,Tr,Cr,Cb,Cr,Tr,Tb,1
Tg,Sb,Sr,Cb,Sg,Sr,Sg,Sg,0
Sg,Sr,Cr,Cr,Sr,Sb,Cg,Cg,1
Tr,Sb,Sg,Cg,Cg,Cb,Sg,Sg,1
Cr,Tr,Sg,Sb,Sb,Sb,Cb,Tr,1
Sr,Cb,Cb,Cb,Sg,Sb,Sr,Tg,1
Sr,Sb,Sb,Tb,Tr,Sg,Tb,Cg,0
Sb,Sb,Cr,Tr,Cb,Cb,Cr,Cr,1
Cg,Sb,Cb,Tr,Cr,Cb,Cb,Cg,1
Tg,Tg,Cr,Tg,Cb,Sr,Tg,Cr,1
Tr,Tg,Sg,Sg,Sr,Cr,Cb,Cr,1
Sr,Sr,Cg,Cb,Tg,Cg,Tr,Tg,0
Sb,Sb,Tb,Sg,Tr,Cr,Tg,Tg,1
Cg,Sb,Sg,Tr,Cb,Tr,Tg,Tg,0
Tg,Cb,Sr,Tb,Cg,Cg,Cg,Sr,1
Sb,Tb,Cg,Cr,Cg,Cg,Tg,Sb,1
Sr,Cg,Sr,Sr,Cr,Tr,Sb,Cg,1
Cr,Cg,Sr,Sr,Cg,Tr,Sb,Sr,0
Tb,Sg,Cb,Sg,Tb,Cb,Sb,Sb,1
Sr,Sb,Tb,Cg,Sb,Cr,Sb,Tr,0
Tr,Cg,Tb,Cg,Tr,Tb,Tg,Sg,1
Sg,Tg,Cb,Sg,Sr,Sr,Sb,Tr,0
Tb,Tb,Cr,Tg,Tg,Sr,Sg,Tb,1
Tb,Cr,Cr,Tg,Sr,Sb,Cg,Cg,1
Sr,Sb,Cb,Tb,Cb,Sg,Tg,Tg,0
Sb,Sg,Sg,Cg,Sb,Sb,Tr,Cb,0
Sr,Sb,Tg,Sr,Cb,Cr,Cg,Sb,0
Sb,Tg,Tg,Sg,Tb,Tb,Cb,Cr,0
Cr,Tb,Cg,Tb,Tr,Sg,Cg,Tb,0
Cb,Cb,Cb,Tr,Cr,Cg,Sg,Cr,1
Tg,Sb,Sr,Cg,Sr,Tg,Sr,Tr,0
Cb,Tb,Cr,Cb,Tr,Tg,Cg,Tr,1
Sg,Tb,Tg,Sr,Sg,Cb,Tb,Sr,1
Sr,Tb,Cr,Tr,Cr,Tr,Sr,Sg,0
Cg,Tr,Tr,Cg,Tb,Sg,Tr,Cr,1
Cr,Tb,Sb,Cr,Cg,Tr,Sg,Tb,0
Cg,Sr,Sr,Tb,Sb,Sb,Sg,Tr,0
Tr,Cr,Tr,Cb,Sb,Cb,Sr,Cg,1
Sr,Tg,Cb,Tg,Sb,Cg,Cg,Cb,1
Sr,Tg,Cr,Cb,Cr,Tr,Tr,Tb,0
Sg,Sb,Tr,Sb,Tr,Cb,Tr,Cg,1
Sg,Cg,Cg,Cr,Cg,Tg,Sg,Tb,1
Cb,Tg,Sg,Sr,Sb,Tg,Tb,Cr,0
Sb,Tr,Cb,Sg,Sg,Sr,Tr,Cg,0
Cr,Sr,Cr,Sr,Tb,Cg,Sb,Tg,1
Cg,Sr,Cb,Tr,Tr,Tb,Tb,Sg,1
Cb,Tb,Sg,Sb,Cr,Tr,Cr,Cb,1
Tg,Tr,Tg,Tr,Cr,Cr,Sb,Sb,0
Sr,Sg,Cr,Sg,Sg,Sr,Sg,Tb,1
Tg,Cb,Cr,Sr,Tb,Tg,Cb,Tb,0
Cr,Cb,Cr,Cr,Cr,Tg,Cr,Cb,1
Tg,Sr,Cb,Cb,Tg,Cb,Sb,Cg,1
Tr,Tg,Tb,Sg,Sb,Tg,Tb,Tg,0
Sg,Tg,Cb,Cb,Tg,Sb,Cg,Cg,1
Tg,Sg,Cb,Tg,Tb,Tg,Tb,Tb,1
Tr,Tg,Sb,Sr,Tb,Tr,Sr,Cb,1
Tb,Sr,Cr,Sg,Tb,Tb,Tr,Tg,1
Tb,Sb,Tr,Sr,Cg,Tr,Sb,Cg,0
Tr,Cr,Tr,Sg,Sr,Cr,Sg,Sb,0
Tb,Cb,Tb,Cb,Tb,Cr,Tb,Cr,0
Sr,Tr,Tr,Tb,Sr,Sb,Cg,Sb,0
Cb,Cg,Cr,Tg,Tr,Cr,Cg,Tg,1
Cg,Cr,Sb,Tb,Tr,Tr,Cr,Tb,0
Cr,Tb,Cb,Tr,Tr,Tr,Sb,Cr,1
Sb,Tr,Cb,Tg,Tr,Sg,Cb,Sr,1
Cb,Cb,Sb,Tb,Cg,Sg,Sr,Sb,0
Sr,Cb,Tr,Sg,Cg,Tb,Cr,Tb,1
Cg,Cr,Sr,Sb,Sb,Sg,Cb,Cb,0
Tg,Sg,Cr,Sb,Cb,Cr,Cb,Cg,1
Cr,Tr,Cb,Cr,Sg,Tg,Tb,Sb,1
Sr,Sb,Sb,Tb,Sr,Cg,Sb,Tg,1
Sr,Tb,Tr,Cr,Tr,Sr,Sr,Sr,1
Sr,Sr,Tg,Tb,Sg,Cb,Tg,Cg,1
Sr,Cb,Tr,Cr,Tb,Cg,Cr,Cg,0
Cb,Tb,Tg,Tr,Tr,Tr,Tr,Tb,0
Tr,Tg,Tr,Sr,Sr,Cg,Tb,Tg,0
Tr,Sg,Tr,Tb,Sr,Tb,Tg,Tr,0
Sb,Cb,Cg,Cg,Sg,Tg,Cg,Cr,1
Cb,Cb,Tg,Tg,Sg,Tb,Tg,Sb,1
Sb,Sr,Tb,Sb,Sg,Sr,Cg,Sg,0
Tb,Tb,Cr,Sb,Tg,Cr,Cr,Sb,1
Sb,Sg,Sg,Tb,Sg,Cr,Tr,Tg,1
Cg,Cg,Cb,Cg,Sb,Sb,Cb,Cb,0
Cr,Sr,Cb,Sb,Tr,Cb,Cb,Tg,0
Tr,Sr,Cg,Sr,Tg,Sr,Cb,Sg,0
Sb,Cg,Cr,Sg,Tb,Tr,Cr,Tg,0
Sr,Cg,Cg,Tg,Tr,Cr,Tg,Sb,0
Tb,Cg,Cr,Sg,Sg,Tg,Sr,Cr,0
Sr,Cb,Sg,Sg,Sr,Cb,Tb,Sg,0
Cg,Cg,Cr,Sr,Cr,Sg,Tr,Sb,1
Sg,Cb,Tb,Sg,Tb,Tg,Cb,Tb,0
Cb,Tr,Cg,Cb,Tb,Sb,Sr,Tg,1
Sg,Sr,Tr,Sr,Tr,Sr,Sr,Tb,0
Sb,Tb,Tr,Cb,Sb,Sb,Sg,Cr,1
Tg,Cg,Cb,Sr,Tg,Cb,Tg,Cg,1
Cg,Tg,Sb,Cb,Tb,Tg,Cb,Tg,0
Tg,Tb,Sb,Sb,Tb,Tr,Sg,Tr,0
Cr,Sg,Tg,Sg,Tb,Tr,Tb,Tg,1
Tg,Sr,Tr,Cb,Sr,Tg,Tg,Sb,1
Cr,Cb,Sb,Sg,Cb,Cr,Cg,Cr,1
Cg,Tr,Tb,Sr,Sg,Cg,Sb,Tr,0
Tg,Sr,Tg,Cg,Tb,Tg,Sr,Sb,1
Cg,Cb,Tb,Sr,Sb,Cg,Sr,Sb,0
Sr,Tb,Sg,Tb,Sb,Cg,Cg,Tg,1
Sr,Cg,Cr,Tb,Cb,Tr,Sb,Tb,1
Sb,Sb,Tr,Cb,Sr,Tg,Cg,Sg,1
Sr,Cg,Sr,Sb,Tr,Cb,Tg,Cb,0
Sr,Cg,Tb,Sr,Sb,Cb,Cr,Sr,0
Cr,Tb,Sr,Tr,Tb,Cg,Tg,Sb,0
Cg,Tb,Cg,Tb,Sr,Tg,Tr,Cg,0
Cr,Tg,Cg,Sg,Sb,Cr,Sb,Tg,0
Sg,Tr,Sr,Tg,Sb,Cb,Tr,Sr,0
Cr,Cr,Sg,Tb,Cb,Cr,Cr,Sb,1
Sb,Tg,Sg,Sg,Sg,Cg,Sb,Sr,1
Tb,Tg,Tb,Cb,Sg,Tb,Tr,Sg,1
Cg,Tg,Tg,Tr,Tg,Tb,Sr,Tr,1
Cr,Cb,Cr,Cg,Tg,Cg,Cg,Cg,0
Cg,Cb,Sg,Tr,Tb,Cb,Tb,Sr,1
Cb,Tg,Cg,Cb,Sb,Tg,Cb,Sb,0
Tg,Tr,Sb,Tr,Sb,Cg,Sg,Sr,1
Cr,Cg,Cb,Tg,Cg,Cb,Sg,Cr,0
Sb,Cg,Tb,Cg,Tr,Tr,Sb,Sg,0
Sb,Cb,Tg,Tb,Cr,Cb,Sg,Sr,0
Tb,Tg,Tg,Tb,Tg,Cb,Tg,Sr,1
Sb,Sg,Cb,Tg,Sg,Sg,Tg,Tg,1
Cb,Tr,Cb,Cg,Tg,Cg,Tr,Sg,0
Tr,Sr,Tb,Tr,Tr,Sb,Sb,Tb,0
Cg,Cr,Sr,Tb,Sg,Sr,Cg,Cg,1
Sb,Sg,Tb,Cr,Tb,Tg,Cg,Cb,0
Cr,Sg,Sr,Cb,Cg,Tb,Sg,Sb,0
Cg,Cb,Cr,Sb,Cb,Sg,Tr,Cr,1
Sb,Tb,Cr,Sr,Sg,Sb,Sr,Sb,1
Tb,Tb,Cr,Tb,Tg,Cr,Cg,Tb,1
Cb,Cb,Cb,Sg,Sg,Sr,Cb,Cr,1
Sg,Tr,Sb,Cr,Tb,Tr,Cb,Cg,0
Tr,Cb,Cr,Sg,Tr,Tg,Tb,Sb,0
Sb,Tr,Sg,Sb,Cr,Cb,Cr,Tr,1
Sg,Tr,Tr,Sg,Sr,Sb,Tb,Sg,0
Tg,Tg,Tr,Sb,Sb,Tb,Sb,Cr,1
Tr,Sg,Tg,Tb,Cr,Tr,Sr,Sr,0
Sg,Tr,Cb,Cg,Cg,Tb,Sb,Sr,0
Cb,Sg,Sb,Cg,Sr,Cr,Sr,Sb,0
Cb,Tr,Sg,Tg,Sb,Cb,Sg,Tr,1
Cg,Sr,Sr,Cr,Sg,Sb,Tr,Sg,0
Cr,Tb,Sg,Tr,Cr,Tg,Sr,Tg,1
Cb,Sg,Tb,Tr,Sb,Cr,Tb,Tr,1
Cb,Tg,Cb,Sb,Sg,Sb,Sb,Sr,1
Tg,Tb,Tb,Cg,Tg,Cg,Tb,Cg,1
Cb,Cg,Cr,Cb,Sg,Cb,Tr,Sg,0
Sg,Sr,Cr,Cg,Sg,Sr,Sb,Cb,1
Cr,Cr,Tr,Tr,Sg,Cr,Cb,Sb,1
Sg,Cg,Tb,Cb,Cr,Cr,Cb,Sg,1
Sr,Tb,Sr,Tr,Tb,Tr,Tr,Tg,1
Tg,Cb,Sg,Cb,Sr,Tg,Sr,Cb,1
Tg,Cr,Tr,Sg,Tb,Tb,Cg,Sb,1
Cr,Cb,Cg,Tb,Cg,Tr,Tb,Tr,1
Sr,Cr,Tr,Tr,Cg,Cr,Sb,Sr,1
Tb,Sr,Sb,Cg,Cr,Cb,Tb,Tr,1
Cb,Cg,Cr,Tg,Tg,Cb,Cg,Sg,1
Cb,Cg,Sg,Cr,Tb,Tb,Sg,Sb,1
Cr,Cr,Cg,Sr,Sg,Tr,Tb,Cr,1
Sr,Cb,Cb,Tr,Tr,Tr,Cr,Sg,0
Sg,Tr,Cr,Sr,Cb,Cg,Sb,Sr,0
Cb,Tr,Tb,Sg,Sb,Tr,Cr,Tr,1
Sg,Cr,Tb,Cb,Sr,Sb,Sg,Sb,0
Tg,Cr,Cg,Tr,Sg,Tb,Tr,Cr,0
Sg,Tb,Cb,Tb,Tb,Sg,Cg,Cb,0
Sb,Cg,Tg,Tr,Tb,Cb,Sr,Cr,1
Tr,Cg,Sg,Cb,Cb,Sb,Cb,Tb,0
Tb,Sg,Cg,Cr,Sr,Cr,Cb,Sb,0
Cg,Tg,Tb,Tg,Tg,Cb,Sg,Sb,1
Cg,Cb,Tg,Tg,Sr,Tb,Sr,Cb,0
Cb,Cb,Tg,Sr,Cg,Tg,Tb,Tg,0
Cg,Cb,Sg,Cr,Cr,Cb,Cb,Sr,1
Sr,Tb,Tr,Sb,Sr,Tb,Tr,Sb,0
Sb,Tr,Tr,Tb,Tr,Cb,Sb,Sg,0
Tr,Sg,Sb,Sg,Cg,Tb,Cb,Cr,0
Sg,Sr,Sb,Tr,Tr,Sb,Tr,Sg,0
Tr,Tg,Tg,Sg,Tr,Cr,Tb,Tr,0
Cb,Tg,Sb,Tb,Tb,Sr,Cb,Sg,0
Sg,Tr,Tb,Cg,Sr,Cr,Tg,Tg,1
Cr,Cr,Cb,Cb,Sg,Sr,Cr,Cb,0
Sr,Tr,Cg,Cg,Sg,Cg,Sr,Sr,1
Cg,Cr,Cr,Sb,Sr,Tg,Sb,Sb,1
Tg,Sg,Cg,Tb,Sg,Cg,Sb,Cr,0
Sr,Sb,Sg,Tb,Tr,Cb,Tg,Sr,1
Sr,Cb,Tb,Sb,Cb,Tb,Sr,Tg,1
Cb,Tg,Cg,Sg,Tb,Cg,Tg,Sg,1
Cb,Cr,Tb,Tg,Tr,Tr,Tb,Sb,1
Sr,Tr,Tg,Sg,Sb,Tg,Sr,Cr,0
Cb,Tr,Cb,Sr,Cb,Sb,Cg,Tr,1
Tb,Tg,Cr,Sb,Sg,Sb,Tr,Tb,0
Tb,Cb,Cb,Sb,Sb,Tg,Cg,Sb,0
Cb,Tb,Cr,Tr,Sb,Sr,Sb,Cg,1
Tb,Cg,Cr,Cg,Tr,Sr,Sb,Tb,0
Sr,Sg,Tg,Cr,Cg,Tg,Tr,Cr,0
Cb,Cb,Sr,Sr,Tr,Tb,Sb,Sb,0
Cb,Tg,Tb,Sg,Tr,Tg,Tr,Sb,0
Cb,Tb,Cr,Cb,Cr,Sb,Cg,Tr,1
Cr,Sb,Tb,Cr,Sb,Cb,Cg,Cb,0
Sg,Tr,Cr,Cr,Tr,Sr,Cr,Sg,1
Sg,Tg,Tb,Sr,Tr,Cr,Tb,Cb,0
Sr,Sb,Sr,Sg,Tb,Sg,Sb,Cr,1
Sr,Tr,Tr,Tb,Cr,Sr,Tr,Tg,0
Tb,Cg,Tr,Sb,Tg,Sg,Tr,Tr,1
Tg,Sg,Tb,Cr,Cb,Sg,Cb,Cr,0
Tg,Sr,Sb,Cb,Sb,Sr,Sb,Cg,1
Sr,Tg,Tg,Tr,Sr,Cb,Tb,Sb,0
Tb,Tb,Tg,Cb,Tg,Tb,Tb,Cr,0
Cg,Tb,Sg,Cb,Cr,Sb,Tg,Tr,0
Sg,Sb,Sb,Sr,Sb,Cb,Cg,Sb,1
Tr,Cg,Cb,Cb,Sg,Sg,Sr,Sr,1
