token_0,token_1,token_2,token_3,token_4,token_5,token_6,label
Tr,Tg,Sb,Sg,Tb,Tb,Sb,1
Sb,Tr,Tr,Tr,Tr,Sg,Sg,1
Tb,Tg,Sg,Tb,Sb,Tr,Tr,1
Tb,Tb,Tr,Sr,Tr,Tr,Sg,1
Sg,Sr,Sg,Sb,Tg,Sr,Tr,0
Tr,Sg,Sg,Sr,Tg,Sg,Sr,1
Sg,Tr,Sb,Tg,Sb,Tg,Tg,1
Sg,Sb,Tr,Tr,Sg,Sg,Tb,0
Tg,Sg,Tr,Sb,Tg,Sg,Tb,0
Tg,Tr,Sr,Sg,Sr,Tb,Tg,1
Sb,Sg,Tr,Sb,Tb,Sr,Tg,1
Sb,Sg,Sg,Sr,Sb,Sb,Tg,1
Tb,Sb,Sr,Sr,Tr,Tr,Sb,0
Sg,Sg,Tb,Sg,Sg,Sg,Tg,1
Tr,Tb,Sg,Tb,Tr,Sb,Sb,0
Sb,Tb,Tb,Sg,Sr,Sg,Tb,1
Sb,Sg,Sb,Sb,Sb,Tg,Sg,1
Sr,Tb,Sb,Sb,Sg,Sr,Tg,1
Tb,Sb,Tr,Tg,Tr,Sb,Tg,0
Tb,Tg,Tb,Sg,Tg,Tg,Sg,0
Sb,Sb,Tb,Tg,Tb,Sg,Sb,1
Sb,Sg,Tb,Tg,Sg,Sg,Tg,0
Tg,Tr,Tg,Sg,Sg,Sb,Sg,1
Tr,Tg,Tb,Sb,Tr,Sr,Sg,1
Tb,Sr,Tg,Tg,Tb,Sr,Tr,1
Tg,Tb,Sg,Tg,Tg,Sg,Sg,1
Tg,Sb,Tr,Tg,Tg,Tr,Tr,0
Sb,Tb,Tr,Sb,Sr,Sb,Sg,1
Sb,Sb,Sr,Sb,Sr,Sr,Sg,0
Tr,Tg,Tg,Sg,Tr,Sb,Tg,1
Tg,Tg,Tb,Tg,Tb,Sg,Sb,0
Sg,Sr,Tr,Tg,Tb,Tg,Sr,1
Tb,Sr,Sg,Sb,Sg,Sr,Tr,1
Sr,Tr,Sb,Sb,Tb,Sr,Sg,0
Sb,Sb,Tr,Tg,Sr,Sr,Sr,1
Tb,Sr,Sg,Tr,Tr,Tr,Tb,0
Sg,Sb,Sr,Sb,Tb,Tb,Sg,1
Tr,Sg,Tb,Tb,Sb,Sr,Sg,0
Tb,Tb,Sb,Sg,Tg,Sg,Tb,1
Sg,Sb,Tb,Sr,Sg,Tb,Tr,0
Tr,Sb,Sb,Tr,Sr,Sr,Sg,0
Tb,Sr,Sr,Tg,Sb,Sg,Tb,0
Tg,Sb,Tr,Sr,Tg,Sr,Sr,0
Sb,Tg,Tb,Sr,Sg,Tr,Sg,1
Tr,Sg,Tg,Tb,Sb,Tg,Sb,0
Sb,Tg,Sb,Sb,Tb,Sr,Sb,1
Sg,Sg,Sr,Sr,Tr,Tg,Sr,0
Tb,Tr,Sg,Tr,Tr,Sb,Tr,0
Sg,Tg,Sb,Sr,Tg,Tr,Sg,0
Tb,Tg,Sg,Tb,Sb,Tg,Sb,1
Sb,Tr,Sg,Tb,Tr,Sg,Sb,0
Sb,Tb,Sb,Tr,Sr,Tb,Tg,0
Sr,Sr,Tr,Sg,Sb,Sb,Tr,1
Sg,Tr,Sg,Sr,Tg,Tr,Tb,1
Tb,Sb,Sb,Sg,Tg,Tb,Sr,1
Sg,Tr,Tb,Sg,Sg,Sr,Tb,1
Sg,Sr,Tg,Sg,Tr,Tr,Sg,0
Tg,Sg,Sr,Tg,Sg,Sg,Tb,0
Sr,Sr,Tg,Tb,Sr,Tg,Sr,0
Tr,Tg,Tb,Sr,Tr,Sr,Tr,0
Sr,Sr,Sb,Sg,Sg,Sg,Tb,1
Sr,Tb,Tb,Tr,Tb,Tg,Sb,0
Tr,Sr,Sr,Sg,Sb,Sr,Tb,0
Sg,Sb,Tg,Sr,Sb,Sb,Tg,1
Tg,Sg,Sr,Tb,Tb,Tg,Tb,1
Tb,Sg,Tg,Sb,Sg,Sg,Sb,0
Tg,Sb,Tg,Sr,Tg,Sb,Sg,0
Tb,Sb,Sr,Sg,Sg,Tb,Tb,0
Tr,Sg,Sg,Tg,Tg,Sb,Tr,1
Tr,Tg,Sg,Tr,Sg,Tr,Sb,0
Tb,Tb,Tg,Tr,Sr,Tb,Tr,0
Sb,Sg,Tg,Tb,Sb,Tg,Sb,1
Tg,Sg,Sg,Sr,Sg,Sb,Sg,0
Tr,Tr,Tb,Sb,Sb,Sb,Tb,1
Sr,Sr,Sr,Tr,Tb,Sb,Sg,0
Sr,Tg,Tr,Sg,Tg,Tr,Sr,0
Sb,Sr,Sg,Sg,Tr,Sg,Tr,1
Tr,Sb,Tg,Sb,Tb,Sb,Sg,1
Sb,Tr,Sg,Sg,Sr,Sg,Sb,1
Sb,Sr,Tr,Sg,Sb,Sg,Sg,0
Sr,Tr,Sb,Sg,Sr,Sr,Sb,1
Sg,Sb,Sr,Sb,Tg,Sg,Tb,1
Sb,Tg,Sb,Tr,Sg,Sb,Sb,0
Sr,Tr,Tg,Tb,Tg,Tb,Tr,0
Tr,Sb,Tb,Tr,Sr,Tg,Sr,0
Tg,Sb,Sb,Tg,Sb,Sg,Sg,1
Tg,Sr,Tb,Tr,Tb,Tr,Tg,1
Tb,Sg,Tr,Sb,Sr,Sr,Tg,1
Tg,Tr,Tg,Tg,Tr,Tr,Tb,1
Tb,Sb,Tg,Tg,Sr,Tg,Sb,1
Sr,Tb,Tb,Sr,Sg,Sr,Tb,0
Sg,Sb,Tg,Tg,Sg,Sr,Sr,0
Tb,Sg,Tg,Sb,Tr,Sb,Tg,0
Tb,Tr,Tg,Tg,Sr,Tr,Sr,1
Sb,Tr,Sb,Sr,Tg,Tb,Tr,0
Tb,Tr,Sb,Tr,Tb,Tb,Sg,0
Tg,Tb,Sr,Sr,Tg,Tr,Sb,0
Sr,Tr,Sr,Sb,Sr,Sb,Sb,1
Tg,Sb,Tg,Sb,Sb,Sg,Sb,1
Sb,Sg,Tb,Sg,Sb,Tr,Sg,0
Sg,Sg,Sb,Tr,Tr,Sg,Tr,1
Tb,Tr,Sg,Sr,Tr,Tb,Tr,0
Tb,Sr,Sr,Tr,Sg,Sg,Tg,0
Sb,Tr,Tr,Tb,Tg,Tb,Sg,0
Tr,Tg,Sb,Tr,Sb,Sr,Sr,1
Sg,Sg,Tg,Tb,Tg,Tb,Tr,1
Sb,Tr,Tr,Tr,Sg,Sg,Sr,1
Tb,Sb,Sr,Sb,Sg,Tr,Tg,0
Tb,Sr,Sr,Sb,Sb,Tb,Sg,0
Sg,Sg,Tr,Tg,Tg,Tb,Tg,0
Sg,Sg,Tr,Tr,Tr,Tb,Tr,1
Sg,Sb,Tg,Sg,Sr,Sr,Tb,1
Tb,Tg,Sb,Sb,Sr,Sr,Sb,0
Sb,Tb,Tg,Sg,Sr,Tb,Sb,0
Tg,Tr,Tb,Tb,Tb,Sb,Sr,0
Sb,Tb,Sg,Tb,Sb,Sr,Sr,0
Tg,Sb,Sr,Tg,Tg,Sg,Sb,1
Tg,Sg,Tg,Sg,Tg,Sg,Sb,0
Sg,Sb,Sg,Tg,Tr,Sr,Tg,1
Tb,Tb,Tg,Tr,Sg,Tr,Sr,1
Sg,Tr,Sg,Sb,Tr,Sr,Sb,1
Sg,Tg,Sb,Tb,Sb,Tr,Tb,0
Sr,Tr,Tr,Tg,Sg,Tb,Tb,0
Sg,Tb,Tb,Tg,Tr,Sr,Tb,1
Tr,Sg,Sb,Sg,Sb,Sb,Sr,1
Sb,Sg,Sg,Sb,Tg,Tg,Sr,0
Tb,Sb,Tg,Tb,Sr,Sb,Tr,1
Tg,Sr,Sb,Tg,Sb,Sr,Sb,0
Sg,Tb,Sb,Tg,Sr,Tb,Tr,1
Sr,Tb,Sb,Sr,Tr,Tr,Tg,0
Tr,Sb,Tb,Tg,Sg,Tg,Sg,0
Sg,Tg,Tr,Sr,Sr,Tg,Sg,0
Tr,Sg,Tg,Sr,Sb,Sb,Sb,1
Sg,Tr,Sg,Tb,Tr,Sg,Sg,0
Sb,Sg,Sg,Tb,Sr,Tb,Tg,0
Tb,Sg,Sr,Tg,Sb,Tr,Tg,0
Sr,Tg,Sg,Sg,Sb,Sr,Sr,1
Tr,Sr,Sg,Tg,Sr,Tr,Sr,0
Tg,Sb,Tr,Tb,Sg,Tg,Tg,0
Sb,Sr,Sr,Sg,Tb,Tg,Tb,1
Tr,Tr,Sr,Sg,Sr,Tr,Tg,0
Tb,Tr,Sb,Tr,Tg,Sb,Sr,1
Sr,Tg,Tr,Sg,Tg,Tb,Sb,0
Tb,Sr,Tr,Sb,Tb,Tg,Tg,1
Tb,Sb,Tg,Sb,Tg,Sb,Tg,1
Sr,Sg,Sg,Tg,Sb,Tr,Tg,1
Tg,Sr,Tr,Tb,Tg,Sr,Tb,1
Sb,Tb,Sr,Sg,Sg,Tg,Tr,0
Sg,Tr,Sr,Tg,Tg,Sg,Sr,1
Sg,Sg,Tr,Sr,Sg,Tb,Sg,0
Tb,Tg,Tr,Sr,Tg,Tg,Tr,0
Sr,Tr,Sg,Sr,Tg,Sg,Sr,0
Tg,Tr,Sb,Tr,Tr,Tb,Tr,1
Tr,Sg,Tb,Tr,Sr,Sg,Tr,0
Sb,Tg,Sg,Tr,Sb,Sr,Tb,0
Sr,Tr,Sb,Sb,Sb,Tb,Sr,1
Sr,Tr,Sr,Tr,Tg,Tr,Sr,1
Sr,Tr,Tg,Sb,Tg,Sb,Tr,1
Tr,Sg,Sr,Tb,Tg,Sb,Sb,1
Tg,Sr,Sb,Sr,Tg,Tg,Sg,1
Tr,Sb,Sg,Sg,Tb,Sg,Tb,0
Tg,Sb,Sb,Tr,Sg,Sg,Tg,0
Sr,Sg,Sb,Sr,Sb,Tg,Tb,1
Tb,Tg,Tb,Tg,Tg,Tb,Sb,1
Sg,Sb,Sr,Tr,Sg,Tr,Sb,0
Sg,Sr,Tb,Sg,Tr,Tg,Tb,0
Tg,Tb,Sb,Tg,Sb,Tg,Tr,1
Tg,Sr,Tr,Tb,Sg,Tg,Tb,0
Tr,Tb,Tr,Tg,Sg,Sg,Tr,1
Sr,Sg,Sb,Sb,Sr,Sb,Tr,0
Tb,Tg,Sg,Sr,Tb,Sb,Tg,0
Sr,Tg,Tb,Tr,Sg,Sb,Tg,0
Sr,Sg,Sg,Sg,Tg,Sg,Tb,0
Sb,Sr,Sb,Tg,Tb,Sb,Sr,1
Sg,Sb,Sr,Sr,Tg,Tb,Sb,1
Tr,Tr,Sb,Tg,Tb,Tr,Sr,0
Tr,Tb,Tr,Sb,Tg,Sb,Sb,1
Sg,Tg,Sr,Sr,Sg,Tg,Tg,0
Sr,Sr,Tr,Tg,Tg,Sr,Tr,0
Sr,Sr,Sg,Sg,Tr,Tb,Tg,1
Tr,Sr,Tg,Sb,Tg,Sr,Sr,0
Tr,Sb,Sg,Sb,Tg,Sr,Sg,1
Tr,Sg,Tb,Sb,Sb,Sr,Sr,1
Sb,Tb,Sb,Tg,Tr,Sr,Sb,1
Tg,Sr,Sg,Sg,Sb,Sr,Tg,1
Tr,Tg,Tr,Tb,Tg,Sr,Sr,0
Sb,Sb,Sb,Tr,Sg,Tg,Sb,1
Tg,Tg,Sr,Sg,Sb,Tg,Tr,1
Sg,Sr,Tr,Sr,Tg,Sr,Sb,1
Tg,Tr,Tg,Tr,Sg,Sb,Tb,1
Sb,Sr,Tr,Tg,Sg,Tb,Tg,1
Tr,Tb,Tg,Sr,Sr,Sg,Sb,0
Sr,Tr,Sb,Tg,Sb,Sb,Sb,0
Tg,Tr,Sb,Tg,Tb,Tr,Sb,1
Sb,Tb,Sg,Sg,Tb,Sb,Tr,0
Sb,Tg,Sg,Sr,Sr,Tg,Sr,1
Tr,Sg,Sr,Sr,Sb,Tg,Sb,0
Sb,Sb,Sb,Sr,Sr,Tb,Tg,1
Tg,Sr,Tr,Tg,Sb,Tb,Tr,0
Sb,Tr,Tg,Sr,Tb,Tr,Sr,0
Tg,Sb,Tr,Sb,Tb,Sg,Tg,0
Tg,Tr,Tr,Sb,Tg,Sg,Sr,1
Sg,Sr,Sr,Sg,Sr,Sg,Tb,1
Tg,Sr,Tb,Tr,Tr,Sr,Tb,1
Sg,Tg,Sb,Sb,Sr,Tr,Sb,0
Tb,Sr,Tr,Sg,Tg,Tb,Tg,0
Sg,Sr,Tg,Tr,Tg,Sr,Tb,0
Sb,Tg,Tb,Tb,Sg,Tb,Sb,0
Tg,Tr,Tb,Sg,Sb,Sr,Sb,1
Sg,Tb,Tb,Tr,Sb,Tr,Sr,0
Tb,Tb,Sb,Sb,Tb,Tb,Sr,0
Sb,Tg,Tg,Sg,Tg,Sb,Tb,0
Sb,Tg,Sb,Sg,Sg,Sr,Tg,0
Sb,Sr,Sb,Tb,Tb,Tr,Tr,0
Sg,Tg,Tr,Tb,Sb,Sr,Sb,0
Sr,Sg,Sb,Sg,Tb,Tr,Tb,1
Sg,Tg,Sg,Tb,Tg,Sb,Tr,0
Sb,Sb,Sr,Sb,Sg,Sr,Sb,1
Sr,Sb,Tr,Tr,Sg,Tb,Sr,0
Sr,Tg,Sr,Tb,Tb,Sb,Tr,0
Tr,Sg,Sr,Sg,Tr,Tg,Tr,1
Sr,Tb,Tg,Tb,Tr,Sb,Sg,0
Tb,Tg,Sr,Tg,Sr,Tr,Tr,0
Tb,Sg,Sr,Sb,Tr,Tb,Tb,0
Sr,Tr,Tb,Sb,Tr,Sr,Sg,1
Tb,Tb,Sr,Tg,Sr,Sr,Tg,0
Sg,Sg,Sg,Tr,Tr,Tr,Tg,1
Tg,Tr,Tr,Tr,Tg,Tg,Sb,1
Sb,Tr,Tg,Tb,Sg,Tr,Tb,1
Tb,Tb,Tb,Sb,Sb,Tb,Tg,1
Sb,Sb,Tr,Tb,Tb,Sg,Sr,0
Sg,Tr,Sg,Tg,Sg,Tr,Sb,1
Tg,Sg,Tr,Sg,Sg,Tg,Tg,1
Tg,Tg,Sg,Tg,Tb,Sb,Tg,0
Sg,Tg,Sg,Tb,Tb,Sg,Tr,0
Sg,Sb,Tb,Sr,Sg,Sg,Sr,1
Sb,Tg,Tg,Tb,Sb,Sb,Tr,1
Tb,Tg,Sg,Tg,Sg,Tr,Sg,1
Tb,Tg,Sr,Sb,Tg,Tb,Tb,1
Sr,Sr,Tr,Tg,Tg,Tr,Sb,1
Sg,Tg,Sg,Sg,Tb,Tr,Sb,1
Sg,Sr,Sr,Sr,Tr,Sr,Tr,1
Tb,Tg,Sb,Sg,Sg,Sb,Sb,1
Tb,Sg,Tr,Tr,Sg,Sr,Sg,0
Sb,Sr,Tb,Tg,Tb,Tr,Tr,0
Tr,Tr,Tb,Sg,Sr,Tb,Tb,1
Tr,Tg,Tb,Sr,Tr,Tg,Sr,1
Tb,Tb,Tg,Tr,Sg,Tr,Tb,0
Tr,Tg,Tr,Tr,Tg,Sr,Tg,1
Tb,Sb,Sr,Sb,Tg,Tr,Sg,1
Sg,Sg,Tb,Sr,Sr,Sb,Sg,0
Tg,Tr,Sb,Tr,Tb,Tr,Sg,0
Sg,Tb,Sb,Tr,Tr,Tg,Tr,0
Sg,Sg,Sr,Sb,Sb,Sr,Sb,0
Sg,Tr,Sb,Tb,Tg,Tg,Sr,1
Tg,Tr,Sg,Sg,Sb,Sr,Tb,1
Sb,Tg,Tr,Tr,Tb,Tb,Tg,0
Sg,Tr,Tg,Sg,Tb,Sr,Sb,0
Sb,Tb,Sg,Tg,Sr,Tr,Sb,0
Tb,Tr,Sg,Sg,Sr,Tr,Tr,1
Tg,Tb,Tr,Tr,Sg,Sg,Sg,1
Tg,Tr,Sb,Tb,Tr,Tr,Sg,0
Tb,Tg,Sg,Tb,Sg,Tr,Sb,1
Tr,Tr,Sg,Sg,Sb,Tb,Sg,0
Sg,Sg,Sr,Tr,Tr,Sg,Tr,0
