token_0,token_1,token_2,token_3,token_4,token_5,token_6,token_7,token_8,token_9,label
Tb,Tr,Sg,Sg,Sr,Sr,Tr,Tg,Tb,Ty,0
Tg,Sg,Sy,Tb,Sg,Tr,Tr,Tg,Sg,Tr,0
Tb,Tr,Tr,Sy,Tr,Sg,Tr,Ty,Sg,Ty,0
Tg,Ty,Sy,Tb,Tr,Tb,Sb,Sr,Tr,Sy,1
Tg,Ty,Sy,Tg,Sy,Sy,Sy,Sr,Sr,Tr,0
Ty,Tr,Ty,Ty,Sb,Tg,Tb,Sr,Sr,Sg,0
Tr,Sg,Tr,Ty,Sr,Ty,Sb,Ty,Sg,Sb,0
Tb,Tb,Sr,Sb,Sg,Sg,Sb,Sy,Sg,Tr,0
Sb,Tg,Sr,Tr,Sg,Ty,Tr,Sy,Sr,Sr,1
Sb,Ty,Tb,Sg,Sr,Ty,Sb,Sy,Sr,Sr,0
Sy,Sy,Tg,Tb,Sr,Tr,Sr,Sb,Sg,Tg,1
Tg,Sy,Tb,Sb,Ty,Sg,Sg,Tb,Sy,Tr,1
Sr,Tb,Sb,Sr,Sr,Tb,Sb,Tr,Sr,Sy,0
Ty,Ty,Sg,Ty,Tr,Sy,Tr,Tb,Tg,Sy,0
Tg,Sy,Sr,Sg,Sg,Tr,Sy,Tg,Sb,Sb,0
Ty,Tr,Sb,Ty,Tg,Tr,Tr,Tb,Tr,Sg,0
Tg,Sb,Tr,Tr,Sr,Sb,Sy,Sg,Tr,Tg,0
Tr,Tr,Ty,Tr,Ty,Sr,Tg,Sg,Sy,Ty,0
Sg,Tr,Sr,Ty,Tb,Sy,Sy,Tg,Sb,Sr,0
Sb,Sy,Ty,Tg,Sy,Ty,Sg,Sb,Sy,Sb,1
Tr,Sb,Ty,Tg,Sy,Sg,Sy,Sb,Sb,Sy,0
Tb,Sy,Sb,Tr,Sy,Tr,Tr,Tb,Tb,Tg,1
Sb,Ty,Ty,Sg,Sr,Sg,Sb,Tg,Ty,Sb,1
Tg,Sy,Sg,Ty,Tr,Sg,Sb,Ty,Sr,Sr,1
Ty,Sr,Tg,Tr,Sg,Sg,Sr,Sg,Ty,Tr,0
Sb,Tb,Sg,Sr,Tb,Sb,Tr,Sg,Tg,Sy,1
Sb,Sy,Tr,Tb,Sy,Ty,Sy,Ty,Sb,Tr,1
Sy,Ty,Sr,Ty,Tg,Sy,Sg,Tr,Sg,Tr,1
Sr,Tg,Tb,Tr,Sr,Sb,Sy,Tr,Tg,Sr,0
Sy,Sb,Tr,Sr,Tb,Ty,Sr,Ty,Sr,Ty,1
Sr,Sy,Tr,Sg,Sy,Tb,Sr,Tg,Ty,Tg,0
Sy,Tg,Sr,Tr,Sb,Sy,Sb,Ty,Sb,Sr,1
Sy,Tr,Sy,Sg,Ty,Tr,Sr,Sb,Sr,Tg,1
Sr,Sb,Sy,Sb,Sy,Sy,Tb,Tr,Tg,Sg,0
Tg,Sy,Sb,Tb,Sy,Tg,Tr,Sr,Sb,Tb,1
Sr,Sg,Sr,Sg,Tr,Tb,Sy,Sy,Sb,Ty,0
Ty,Tr,Sg,Tg,Sy,Tb,Sb,Tr,Ty,Sb,0
Tb,Tr,Ty,Sg,Sr,Tb,Sg,Tr,Ty,Tb,1
Sg,Tr,Sr,Sg,Tg,Tr,Sg,Sr,Tb,Tg,1
Sy,Ty,Tb,Sy,Sg,Sb,Sr,Sb,Sr,Tr,1
Sr,Sr,Ty,Sy,Tb,Tg,Sy,Sr,Sy,Tg,1
Sy,Tg,Ty,Tg,Sg,Sy,Tr,Sg,Sg,Tb,1
Tr,Tr,Sy,Tr,Ty,Sb,Sb,Tb,Sg,Sr,1
Ty,Tg,Tr,Tg,Sy,Tb,Ty,Tb,Sg,Sb,0
Sg,Ty,Sy,Sy,Ty,Ty,Sr,Tb,Tb,Sb,0
Ty,Sr,Sb,Tg,Ty,Sb,Sy,Tg,Tb,Ty,1
Sg,Sy,Sb,Tg,Sb,Tg,Tb,Tg,Sg,Tg,1
Tg,Tg,Tr,Sr,Tb,Tb,Tg,Ty,Sr,Sy,0
Tr,Ty,Tb,Sb,Tb,Tg,Sg,Ty,Sr,Tg,1
Sy,Tb,Sg,Tg,Tb,Ty,Sr,Sy,Sb,Ty,1
Tb,Tg,Ty,Tb,Sg,Tb,Tr,Sy,Sg,Tg,1
Tg,Tr,Sb,Tb,Sb,Tg,Ty,Sg,Sr,Ty,0
Tb,Sb,Tr,Tb,Sr,Tg,Tr,Sb,Tr,Sr,1
Tr,Sr,Tr,Sy,Tg,Sy,Tr,Sb,Sg,Tr,0
Tg,Sy,Sb,Sy,Ty,Ty,Tb,Sy,Sr,Sg,1
Sy,Sy,Tb,Sg,Sg,Sb,Sb,Sb,Ty,Tr,0
Ty,Sy,Sb,Tr,Sb,Sg,Ty,Sg,Sr,Tr,0
Tb,Sb,Sy,Ty,Tb,Sr,Tb,Tr,Sy,Sy,0
Sy,Tg,Tr,Ty,Sr,Sg,Tg,Tb,Tb,Sy,0
Sr,Tg,Tr,Tb,Sg,Sy,Ty,Ty,Tr,Sr,0
Ty,Tr,Sy,Sg,Ty,Sb,Ty,Tb,Sb,Sg,0
Tr,Tb,Sb,Sr,Sb,Tg,Sr,Tr,Tr,Sy,1
Sg,Ty,Tr,Ty,Sy,Sy,Tb,Ty,Tg,Ty,1
Tb,Tb,Sb,Tr,Sy,Ty,Ty,Sb,Sb,Tg,1
Sb,Tg,Tb,Sy,Sr,Tg,Sb,Tb,Tr,Sg,1
Tr,Sb,Sb,Sb,Sb,Sr,Sr,Tg,Sr,Sr,1
Sg,Tb,Tr,Tr,Tr,Sr,Sg,Tb,Tr,Sg,0
Tr,Sb,Sr,Sb,Sy,Sy,Tb,Tg,Sr,Tb,1
Sr,Tr,Ty,Sb,Sg,Sb,Sr,Ty,Sb,Tg,1
Sr,Tg,Tg,Sr,Tr,Ty,Tr,Sg,Tg,Sb,0
Sy,Sb,Sb,Tb,Tg,Ty,Sr,Sg,Sb,Tr,1
Sb,Tb,Ty,Sb,Sg,Tg,Tb,Sy,Sg,Tb,1
Tb,Sb,Tr,Ty,Sg,Sg,Tg,Tb,Tr,Sr,0
Sg,Ty,Sr,Sg,Ty,Tb,Ty,Sr,Tg,Ty,0
Tg,Ty,Ty,Tb,Sr,Tr,Sb,Sy,Sr,Sr,0
Tg,Ty,Sr,Tg,Tg,Sg,Sy,Ty,Tr,Tr,0
Sb,Ty,Sy,Sy,Sb,Tr,Sy,Tg,Sg,Tb,0
Sy,Tg,Sg,Tg,Sy,Sb,Sy,Tg,Sg,Sy,0
Sy,Sb,Tr,Sy,Tg,Sy,Tr,Tg,Sb,Sr,0
Ty,Sr,Sb,Tg,Ty,Sy,Tg,Tr,Tb,Sg,1
Ty,Ty,Sy,Sg,Tb,Sg,Ty,Tb,Tr,Sg,1
Sg,Sy,Sy,Tb,Tb,Tg,Sy,Sg,Sg,Tg,0
Sg,Tg,Sb,Sr,Ty,Tb,Ty,Sr,Sr,Sy,0
Sy,Tb,Tg,Tb,Ty,Tb,Tr,Sb,Sr,Ty,0
Tr,Sr,Sg,Sr,Tr,Sg,Tr,Tr,Ty,Tb,0
Tg,Sy,Sg,Sb,Tb,Ty,Tb,Tr,Ty,Sr,0
Tb,Tr,Tr,Tr,Tr,Sb,Ty,Sg,Sy,Ty,1
Sb,Sg,Sr,Sb,Tr,Ty,Tb,Sr,Sr,Sg,1
Tg,Tg,Ty,Sr,Tr,Sr,Tg,Sr,Sb,Sb,1
Sy,Ty,Tb,Sg,Sy,Tg,Tr,Sy,Tr,Sr,0
Tg,Sb,Tg,Tg,Tr,Sr,Sr,Sg,Sr,Tg,0
Tr,Sr,Sy,Ty,Tg,Sb,Ty,Sb,Tb,Sr,0
Sr,Tb,Tr,Tg,Tg,Sb,Sr,Tr,Sg,Sy,1
Sr,Tb,Tb,Ty,Sy,Tr,Sg,Tg,Tr,Tg,1
Ty,Sg,Ty,Sr,Tb,Tr,Tr,Tg,Sr,Tr,0
Ty,Sb,Sb,Sy,Sb,Sy,Sy,Tb,Tr,Sy,1
Tg,Sy,Sg,Ty,Sr,Tb,Sb,Tg,Sg,Sy,1
Tg,Sy,Sg,Sr,Tb,Sy,Tb,Tb,Ty,Tb,0
Tr,Ty,Sb,Tg,Tr,Sb,Ty,Sy,Ty,Sg,0
Tr,Sy,Tg,Ty,Tr,Sr,Sg,Sy,Tb,Ty,1
Sr,Ty,Tg,Sy,Sg,Tb,Ty,Sr,Tg,Tb,0
Sr,Sg,Sr,Ty,Sb,Tr,Tb,Tb,Sb,Tr,1
Sr,Tg,Tg,Sb,Ty,Tb,Tr,Sy,Tg,Sy,1
Sb,Ty,Ty,Sb,Tg,Tb,Tr,Sg,Sb,Tg,1
Tg,Tg,Sb,Tr,Tg,Tb,Sb,Ty,Ty,Sg,1
Ty,Ty,Sr,Tb,Sr,Sg,Sb,Tr,Ty,Tg,1
Sb,Sy,Sb,Tr,Sy,Sy,Sr,Ty,Sy,Sg,0
Tg,Sb,Sg,Sb,Ty,Sr,Tb,Sy,Sr,Sb,0
Sg,Tg,Tb,Tr,Tg,Tr,Tg,Tr,Sb,Ty,1
Tb,Tb,Sb,Sy,Tb,Sb,Tg,Tb,Sb,Tr,1
Sb,Sy,Tr,Ty,Sb,Tg,Ty,Sb,Tb,Sy,0
Tb,Sg,Tg,Tr,Sr,Tb,Sg,Tr,Sr,Sr,0
Ty,Sr,Ty,Tg,Tg,Tr,Sy,Ty,Sr,Sy,1
Tr,Tb,Sy,Ty,Tr,Tg,Sg,Ty,Tb,Sy,0
Tb,Sg,Tb,Tb,Tr,Tr,Sg,Sb,Sg,Sr,1
Sr,Tb,Tr,Tb,Sg,Sy,Tb,Sr,Tb,Ty,1
Sy,Tr,Tg,Sr,Ty,Tg,Sy,Sb,Sb,Sb,0
Sb,Tg,Sg,Sr,Tr,Tb,Ty,Ty,Ty,Sr,0
Sy,Sg,Sb,Tb,Ty,Tr,Tg,Sg,Tr,Ty,1
Sy,Sb,Sy,Tr,Ty,Tr,Tr,Sy,Sg,Tb,0
Sy,Tb,Sr,Sb,Sg,Sr,Tb,Ty,Tb,Tg,1
Sg,Tb,Sg,Tg,Tb,Ty,Sg,Tb,Ty,Tr,1
Sg,Tg,Sr,Sy,Sy,Ty,Sy,Sg,Tr,Tb,1
Tr,Sg,Tb,Sg,Tb,Sy,Sb,Sy,Tb,Sy,1
Tb,Sb,Sg,Tb,Ty,Tg,Sr,Sb,Sy,Ty,0
Tr,Tr,Tb,Tg,Sr,Tr,Tb,Tg,Tg,Sg,0
Sg,Tb,Sy,Sy,Tr,Tg,Sr,Ty,Tg,Sg,1
Sr,Sb,Sb,Tr,Sr,Sb,Sb,Sg,Sg,Sy,0
Sr,Ty,Ty,Sg,Sb,Ty,Ty,Ty,Ty,Sy,0
Sy,Sy,Tg,Tg,Ty,Sy,Sr,Tr,Sb,Sy,0
Sr,Sy,Sy,Ty,Sg,Tg,Sy,Sy,Sb,Tr,1
Sr,Tb,Tg,Sy,Tr,Ty,Tg,Sg,Sg,Sy,0
Sy,Tg,Tg,Tg,Tr,Sg,Sb,Sy,Sg,Sr,0
Tr,Sr,Sr,Sr,Ty,Sb,Ty,Sb,Sy,Sg,1
Sg,Tb,Sy,Tr,Sy,Tb,Ty,Sr,Sg,Tr,0
Ty,Sr,Tr,Sy,Sg,Tr,Ty,Ty,Tr,Ty,1
Ty,Sb,Tg,Sb,Tr,Tg,Sb,Sb,Tb,Tg,1
Tb,Sb,Tg,Sg,Tg,Ty,Tg,Ty,Sy,Sb,1
Tb,Tr,Tr,Tr,Sr,Tr,Sg,Sr,Tb,Tr,0
Sy,Tr,Ty,Tb,Tb,Tg,Sb,Sy,Tb,Tg,1
Sy,Sr,Sb,Tb,Ty,Sb,Tg,Sy,Sr,Tb,0
Tb,Tg,Tg,Tg,Tb,Sb,Sb,Tb,Sb,Tr,1
Sr,Ty,Sr,Sy,Tr,Sg,Tr,Ty,Tg,Sr,1
Sg,Sg,Tb,Ty,Sy,Tr,Ty,Tb,Sy,Tr,1
Tg,Sg,Tr,Sy,Sg,Sg,Sr,Sr,Tb,Sg,0
Tb,Tb,Sy,Tr,Sg,Ty,Ty,Sg,Sr,Sg,1
Sy,Sb,Tg,Sb,Sb,Sg,Ty,Tr,Sg,Tr,1
Sg,Sy,Tg,Ty,Sy,Sr,Tg,Sr,Sy,Sb,0
Ty,Sb,Sy,Tr,Tr,Sy,Sb,Tb,Tb,Sg,1
Tb,Sr,Sy,Sy,Tb,Tr,Tb,Ty,Sb,Sg,0
Sb,Tr,Tg,Tb,Tb,Tb,Sy,Tr,Ty,Sy,0
Sr,Tr,Ty,Tb,Sy,Sy,Tr,Ty,Tr,Ty,0
Sr,Tb,Tg,Sr,Tr,Sr,Sr,Sb,Tg,Sr,1
Sy,Tg,Sr,Sy,Ty,Sg,Sy,Sr,Ty,Sb,0
Sy,Sy,Sr,Sb,Sy,Tg,Sr,Sg,Sr,Ty,1
Ty,Tg,Sg,Tb,Tr,Tb,Sb,Sb,Sy,Sy,1
Sb,Sg,Sg,Tr,Ty,Sg,Sg,Tg,Tg,Ty,0
Tb,Ty,Sy,Sb,Sy,Tr,Tg,Sr,Tr,Sb,1
Sy,Sy,Sr,Tb,Tr,Tg,Tr,Sy,Tg,Tg,1
Tr,Tg,Sg,Tr,Sr,Sy,Sr,Sy,Tg,Sg,1
Ty,Tb,Tb,Tg,Sb,Tg,Tb,Ty,Tg,Sg,1
Sg,Sy,Tr,Tr,Sb,Sy,Tr,Sb,Sg,Tr,0
Tb,Sr,Sg,Tr,Ty,Sr,Sy,Sr,Sg,Sr,0
Sg,Tb,Sy,Sg,Tr,Sr,Sr,Sg,Sb,Sr,0
Tg,Tb,Sy,Sb,Sy,Tg,Sb,Sr,Tb,Tb,1
Sg,Tb,Sg,Ty,Tg,Sr,Tr,Sg,Sb,Sy,0
Sr,Ty,Ty,Sy,Tg,Sb,Tg,Sb,Tg,Sy,1
Sg,Ty,Tb,Sr,Ty,Ty,Sr,Tb,Sr,Sr,0
Ty,Sy,Sy,Tb,Sy,Ty,Tr,Tg,Tg,Tb,1
Sg,Sb,Sy,Sr,Tr,Tb,Sb,Sy,Sy,Tr,1
Tg,Sb,Tr,Sb,Sy,Sr,Sr,Sr,Tb,Ty,1
Tb,Tb,Sr,Tb,Sg,Sy,Tr,Sg,Sg,Tr,1
Sg,Ty,Sy,Sb,Sr,Sr,Sb,Ty,Sr,Sg,1
Tb,Tr,Sg,Sr,Sy,Sr,Sb,Ty,Tr,Tg,0
Sr,Sb,Tg,Tg,Sb,Ty,Tg,Sb,Tb,Sg,1
Sb,Tr,Sg,Tr,Sy,Sb,Tr,Tr,Sg,Tg,0
