token_0,token_1,token_2,token_3,token_4,token_5,token_6,token_7,token_8,token_9,token_10,token_11,label
Dr,Db,Dy,Dg,Tr,Ty,Dr,Sb,Cg,Sb,Sg,Tg,1
Cg,Dg,Cr,Cr,Dg,Sr,Dy,Tb,Cy,Tr,Sr,Dg,0
Cy,Dr,Ty,Db,Tr,Cy,Sr,Sb,Sr,Sg,Sr,Tb,0
Sr,Sb,Cg,Tg,Cg,Cr,Tb,Dy,Tg,Tb,Db,Tr,0
Sb,Dr,Cy,Dg,Sr,Sg,Sg,Cg,Tg,Dg,Dg,Ty,1
Sr,Cb,Cb,Ty,Cr,Sr,Tg,Dg,Dy,Cr,Cy,Ty,0
Dy,Dg,Sg,Sy,Cb,Ty,Sr,Tg,Sy,Dy,Tb,Tb,0
Cb,Tr,Cg,Ty,Db,Dr,Tr,Dr,Ty,Dy,Tr,Dr,1
Sy,Tg,Ty,Sb,Dr,Sg,Cr,Dy,Cr,Cy,Sg,Cg,1
Sr,Sb,Cb,Db,Tg,Dy,Cr,Db,Tr,Sb,Sb,Tr,0
Dy,Sb,Cb,Sr,Sg,Cg,Sy,Tb,Cb,Sy,Cr,Cg,1
Cr,Sg,Sb,Ty,Cb,Tb,Tb,Sr,Tg,Cy,Db,Cg,1
Cb,Sb,Sy,Dr,Dg,Cy,Tg,Dg,Sb,Sb,Cb,Sr,0
Dg,Sg,Tg,Sb,Cy,Sr,Sg,Sg,Tr,Sb,Sr,Cy,1
Sr,Cb,Cy,Db,Dy,Ty,Sr,Cy,Dg,Ty,Ty,Ty,0
Ty,Ty,Dg,Dy,Dr,Tr,Sy,Dg,Dr,Tb,Cb,Sg,0
Cr,Dg,Sb,Sb,Dr,Dr,Sg,Sb,Cg,Sr,Tg,Cy,0
Db,Dr,Tr,Db,Sg,Tb,Dy,Tg,Tg,Cb,Sb,Cr,0
Sg,Ty,Db,Sb,Db,Tg,Dy,Db,Sg,Cg,Cg,Sr,1
Cg,Cr,Dg,Tg,Sy,Cy,Ty,Tr,Tb,Sr,Dg,Tg,1
Dy,Sb,Sr,Tr,Dy,Cy,Sy,Dr,Sy,Cg,Tb,Dg,1
Cy,Dy,Sr,Ty,Sb,Tg,Tb,Tr,Tg,Ty,Sr,Tg,0
Sg,Dg,Cr,Tg,Sr,Tr,Tb,Dg,Cb,Sg,Dy,Sb,0
Cg,Sr,Cg,Db,Tg,Sr,Cg,Tr,Cy,Cy,Db,Cr,1
Tr,Cg,Dg,Cb,Dy,Cr,Tb,Sg,Db,Sy,Sg,Cy,0
Tb,Tr,Tr,Cb,Tg,Cg,Tg,Cr,Sr,Dg,Cg,Dg,1
Cg,Tb,Tb,Sy,Db,Ty,Cb,Sg,Dr,Tg,Dr,Dg,0
Db,Sb,Sb,Cb,Cg,Tb,Tg,Sy,Ty,Sy,Cy,Ty,1
Sr,Sy,Tb,Tr,Db,Cg,Dg,Cy,Sg,Ty,Tg,Dr,1
Cg,Sr,Dy,Dg,Sg,Cb,Tr,Sg,Tg,Cy,Ty,Sy,0
Cy,Tr,Cr,Sy,Sr,Ty,Sr,Sg,Db,Tg,Cg,Ty,1
Tr,Tb,Cr,Db,Ty,Cr,Dy,Dy,Db,Cr,Tb,Tb,1
Cg,Sb,Sb,Sb,Dg,Cy,Dy,Tg,Ty,Cr,Sr,Sb,0
Dg,Dy,Cb,Tr,Db,Ty,Sb,Sr,Sr,Cb,Dy,Sy,0
Cy,Sr,Tg,Tg,Tb,Cy,Cg,Sr,Sg,Cg,Cy,Cb,0
Cr,Tb,Dg,Ty,Sr,Tg,Ty,Dr,Cb,Dy,Cy,Tg,1
Tr,Sr,Tb,Ty,Sg,Sg,Sr,Sb,Dg,Cr,Tb,Tb,1
Cb,Cr,Cb,Tg,Cr,Cb,Tr,Cb,Dr,Tr,Sr,Tg,1
Sy,Sg,Dg,Cy,Ty,Tr,Sr,Sr,Tg,Sy,Dg,Sy,1
Dr,Cb,Tb,Cr,Db,Tr,Cy,Dy,Sy,Cg,Tr,Sr,1
Tg,Db,Tb,Sg,Cb,Cy,Cg,Cr,Tb,Dy,Dg,Dy,1
Ty,Cg,Sr,Sb,Dg,Dr,Cy,Cy,Sg,Db,Dg,Sb,0
Cr,Sy,Sb,Cb,Sr,Dy,Dr,Tg,Sg,Tg,Cy,Dr,0
Cg,Sg,Cb,Sb,Cb,Cr,Tb,Sb,Cr,Sr,Sy,Cr,0
Cb,Sb,Dg,Tr,Sg,Cb,Sg,Sy,Cy,Ty,Ty,Tb,1
Sb,Sy,Dr,Sg,Tb,Cb,Sb,Sr,Cg,Db,Ty,Sy,1
Sy,Sg,Ty,Sr,Cb,Tg,Sb,Ty,Sg,Dr,Dg,Sr,0
Cg,Dg,Sg,Cr,Sy,Sg,Cb,Dy,Cr,Sg,Cy,Dy,0
Dr,Db,Tg,Sg,Sg,Sr,Tr,Cb,Sr,Sg,Dg,Tb,0
Cg,Sb,Cb,Db,Sr,Cb,Sg,Cb,Cg,Ty,Db,Tr,1
Cy,Dg,Cb,Dg,Dr,Cb,Tb,Sg,Tg,Sr,Dr,Dg,1
Cy,Tr,Dr,Db,Tr,Sr,Ty,Cb,Tr,Sr,Tb,Ty,1
Ty,Cr,Tg,Sb,Tg,Sb,Sg,Tg,Tr,Sg,Cg,Tg,0
Db,Sr,Dy,Sy,Dr,Tg,Cg,Cb,Sr,Db,Cy,Dy,0
Cg,Cg,Sy,Sb,Cr,Tb,Tg,Dg,Tg,Cb,Cg,Db,0
Db,Cy,Dg,Db,Sb,Sr,Ty,Cg,Cb,Dg,Sb,Cy,1
Tr,Cr,Dg,Dy,Dy,Dg,Ty,Cg,Cb,Sg,Dy,Cy,0
Tb,Tg,Ty,Dr,Tg,Cb,Cb,Cr,Sy,Sg,Sr,Cr,0
Cg,Cr,Cb,Cb,Dy,Sr,Tr,Dr,Dg,Tb,Db,Cb,1
Cg,Cg,Tg,Tg,Ty,Sg,Cy,Sg,Cg,Tb,Dy,Ty,1
Dg,Sy,Cy,Tg,Dy,Sr,Dg,Tr,Tg,Cb,Sg,Tg,0
Ty,Cr,Dr,Ty,Cy,Sr,Dr,Dr,Sb,Dg,Dg,Db,0
Cg,Dr,Cb,Cb,Tg,Ty,Tb,Sy,Tg,Sb,Sy,Tr,1
Sg,Sb,Sr,Tg,Dy,Dr,Dy,Sg,Sr,Sg,Sr,Tg,1
Tb,Dg,Cg,Sb,Sy,Sb,Ty,Dr,Dr,Cb,Sy,Ty,1
Dg,Dy,Sg,Db,Dy,Db,Cg,Cy,Tg,Tg,Tb,Dy,0
Cr,Ty,Cb,Cg,Ty,Dy,Cy,Tr,Sr,Sb,Sg,Db,1
Sg,Cb,Sb,Sy,Dr,Cr,Dg,Cy,Db,Sy,Dr,Sb,1
Dg,Sb,Sr,Dr,Sr,Cy,Dr,Dg,Dy,Sr,Tb,Sy,0
Cy,Tb,Sb,Sy,Dg,Cg,Sr,Tb,Tb,Tb,Db,Dy,0
Sg,Tg,Db,Sy,Sg,Dg,Sb,Dg,Sg,Sy,Cr,Sr,1
Sy,Cr,Cr,Sg,Cr,Dg,Tg,Sr,Cy,Dr,Tr,Sy,1
Db,Db,Cg,Sg,Db,Sy,Tg,Tg,Cb,Dg,Tb,Cy,0
Dr,Dg,Cb,Cy,Dr,Dy,Cg,Db,Sy,Cg,Tb,Dr,0
Dy,Sg,Dg,Tb,Sr,Cy,Sr,Dy,Ty,Sy,Dy,Dy,1
Sr,Sg,Sb,Sg,Sr,Sr,Cr,Sy,Sr,Tb,Cy,Tg,1
Tr,Ty,Cg,Cb,Sg,Tb,Cb,Tg,Cb,Sr,Sb,Sb,1
Db,Db,Sg,Dg,Cb,Tr,Cb,Cg,Dr,Dr,Tr,Tg,1
Db,Ty,Ty,Tb,Ty,Ty,Db,Tr,Ty,Cb,Sy,Tg,0
Sr,Tr,Cr,Tg,Ty,Tr,Sg,Cr,Db,Db,Sg,Cy,0
Sr,Dy,Dy,Tb,Sb,Ty,Cb,Sb,Dy,Sg,Sb,Cr,1
Tr,Tb,Sg,Dg,Cg,Cb,Sb,Sg,Sb,Tb,Cr,Cb,1
Tg,Dy,Cr,Sy,Dr,Dg,Cb,Sr,Ty,Dr,Sr,Cg,0
Cb,Dr,Ty,Tb,Tb,Sr,Sg,Cy,Sg,Sy,Sg,Cy,0
Dy,Sb,Tg,Tr,Tr,Sg,Tb,Cb,Sb,Tb,Cy,Sg,1
Tr,Db,Cy,Dy,Sg,Sy,Cb,Dy,Cb,Sb,Dy,Tb,0
Sy,Dg,Dg,Cr,Ty,Ty,Cb,Cr,Ty,Cy,Dr,Cb,0
Dr,Sy,Sr,Sb,Sr,Ty,Sb,Tg,Db,Dr,Tb,Tg,1
Dg,Tb,Sy,Sb,Db,Cb,Sb,Ty,Tg,Tr,Sy,Sg,0
Dg,Cy,Tg,Cb,Cy,Sg,Cg,Ty,Dy,Tb,Db,Sb,0
Cg,Sb,Cg,Sy,Tb,Sb,Sb,Sb,Tr,Tb,Sb,Sr,1
Dy,Dy,Dr,Dg,Sg,Sb,Sy,Dg,Dy,Dr,Db,Dg,0
Sb,Dr,Dy,Cb,Ty,Sg,Cr,Sb,Dg,Ty,Ty,Db,0
Tg,Dg,Db,Tr,Tr,Sg,Sy,Sb,Sr,Cb,Cr,Ty,1
Sb,Cy,Ty,Ty,Tg,Dr,Tb,Sr,Dr,Sg,Cr,Cg,1
Ty,Dr,Sg,Cg,Dy,Dr,Sg,Cg,Cr,Dy,Tb,Sy,0
Db,Dr,Sy,Dy,Cb,Cg,Cb,Sb,Dg,Tb,Ty,Sy,0
Cb,Cb,Sr,Tr,Tb,Tr,Cr,Db,Cy,Dr,Dr,Cy,1
Tg,Ty,Cg,Tb,Sb,Sr,Dg,Dr,Tg,Tb,Cb,Tg,0
Sb,Cg,Tg,Sr,Ty,Dg,Sy,Tb,Cg,Dr,Dy,Tb,1
Ty,Cy,Sy,Db,Sb,Cy,Sr,Sg,Tg,Cr,Ty,Sr,0
Sy,Tb,Cg,Dy,Cb,Sy,Dr,Cy,Sb,Tr,Sb,Sb,1
Dr,Sy,Tg,Ty,Sr,Tb,Tr,Tb,Sb,Sr,Sr,Cb,0
Tb,Sb,Cr,Tb,Tr,Sb,Tr,Dr,Sb,Sr,Dy,Db,1
Cg,Cg,Cr,Sb,Sy,Sr,Dr,Tb,Ty,Tb,Cy,Tr,0
Tb,Cy,Tg,Cy,Ty,Tg,Db,Sb,Cr,Dr,Cg,Ty,0
Sb,Sr,Tg,Dy,Cr,Db,Cr,Tr,Dr,Dy,Db,Sy,1
Dy,Tr,Tb,Sb,Cg,Sg,Cg,Cg,Cg,Sb,Ty,Sb,1
Ty,Cb,Dg,Ty,Sb,Cr,Cg,Sr,Db,Cb,Sy,Dy,0
Dr,Dy,Sg,Sb,Sb,Dy,Db,Tr,Db,Cy,Sg,Sr,1
Sg,Cb,Dy,Sr,Tb,Tg,Sr,Cb,Dy,Tg,Ty,Cr,0
Tb,Tg,Tg,Db,Tr,Sr,Cg,Dy,Sy,Cr,Cy,Sb,1
Dy,Tr,Cy,Db,Ty,Dy,Ty,Cb,Dy,Sg,Cr,Cr,0
Tb,Sy,Cr,Sb,Cr,Cr,Sy,Dr,Dg,Tg,Cr,Db,0
Cy,Db,Sy,Dg,Tb,Cb,Sg,Ty,Dr,Tb,Sg,Cy,0
Sb,Ty,Cy,Tr,Tg,Cr,Cg,Ty,Sr,Cg,Tg,Tb,1
Db,Dr,Dr,Sg,Cb,Cr,Sb,Cy,Tr,Dr,Cg,Sr,0
Tr,Cr,Dg,Dg,Tr,Dr,Tr,Tr,Sg,Tg,Sg,Sy,1
Sr,Dg,Tb,Dg,Sr,Cy,Ty,Tr,Tg,Cg,Sy,Sg,1
Cy,Sb,Dg,Db,Sg,Sr,Tg,Sy,Tg,Sb,Sg,Tr,0
Sy,Cy,Cb,Sb,Sb,Sy,Sg,Sy,Dg,Db,Sy,Sr,1
Sg,Sg,Tr,Dg,Sy,Sb,Cy,Dr,Db,Cy,Sr,Sr,0
Cb,Db,Sb,Dy,Cr,Tg,Dy,Dr,Cg,Sg,Db,Dy,0
Ty,Sb,Dg,Tb,Cb,Tb,Sg,Dy,Tg,Tg,Tg,Sr,0
Dr,Cb,Sy,Cb,Tg,Tg,Sr,Sg,Sg,Db,Ty,Ty,0
Ty,Sy,Dg,Cr,Sr,Sy,Cr,Sg,Tr,Sg,Dy,Cb,1
Cr,Dy,Sg,Tb,Cy,Sr,Sb,Tr,Sg,Tr,Tb,Dy,1
Dy,Db,Db,Db,Cr,Sb,Db,Sg,Cr,Cy,Sy,Dy,0
Dg,Tb,Cg,Cy,Cr,Sy,Dy,Db,Cy,Cg,Cg,Cg,0
Tg,Cr,Sg,Tg,Cy,Ty,Db,Tr,Dy,Dy,Db,Tb,0
Cy,Cb,Dg,Sb,Dr,Cg,Db,Dr,Ty,Db,Cg,Tg,0
Ty,Sg,Dg,Sg,Ty,Tb,Tr,Dr,Cg,Sg,Tb,Tr,0
Db,Cb,Dr,Dr,Db,Cb,Sg,Cy,Dg,Sg,Tb,Tb,0
Cb,Dy,Cb,Cr,Sb,Tb,Sy,Cy,Cy,Sg,Cg,Dy,1
Db,Dr,Dg,Cr,Tg,Cg,Cg,Sg,Dg,Tb,Sy,Cb,1
Ty,Tg,Db,Cg,Ty,Cb,Sb,Tg,Tr,Cb,Cy,Sy,1
Cg,Sg,Sb,Dy,Dy,Sb,Tb,Cr,Dr,Ty,Ty,Sr,0
Sr,Cy,Sg,Dg,Db,Dr,Sr,Ty,Dr,Db,Cr,Cb,1
Dr,Dy,Sg,Tb,Dr,Sy,Cb,Sg,Sg,Tg,Cr,Cr,0
Ty,Sy,Sr,Dy,Sg,Sr,Dg,Ty,Dg,Ty,Ty,Cb,1
Cb,Dg,Db,Db,Sb,Dr,Cg,Tg,Ty,Cr,Dr,Sg,0
Tg,Sg,Cg,Sr,Tr,Sg,Db,Ty,Dy,Sy,Dg,Ty,1
Sy,Ty,Dy,Cr,Sy,Cg,Cg,Cg,Dr,Sy,Tr,Cy,1
Db,Cb,Sr,Dr,Cy,Cg,Cb,Dy,Sr,Sr,Dg,Db,0
Cr,Cy,Tg,Cr,Dr,Tr,Sg,Sg,Cb,Tr,Tg,Sr,1
Tr,Sg,Sg,Cg,Sy,Sr,Sy,Sg,Cy,Dr,Tg,Dg,0
Dg,Sb,Dg,Tg,Tr,Cb,Cb,Sg,Cb,Sr,Cr,Sy,1
Ty,Cr,Sr,Sb,Cb,Sr,Dg,Cg,Sb,Db,Ty,Sy,1
Tr,Cr,Tr,Sg,Cg,Tr,Cy,Dg,Cy,Dy,Tg,Dr,1
Sb,Tb,Sb,Dr,Dg,Cg,Db,Cy,Cg,Tb,Dr,Ty,0
Tr,Cy,Dr,Db,Ty,Cy,Cr,Sr,Dg,Dg,Db,Db,0
Cr,Cb,Tb,Cb,Tr,Sy,Tb,Tb,Db,Tr,Sr,Cr,1
Sg,Dy,Tr,Cr,Tg,Dr,Db,Dg,Dr,Sy,Cg,Sb,0
Cy,Cg,Sy,Sb,Cb,Cg,Cy,Sb,Tg,Dr,Sy,Cy,0
Cb,Tb,Ty,Dy,Cb,Ty,Dy,Sr,Tr,Tr,Db,Dg,1
Ty,Dr,Cb,Cg,Cg,Cg,Cy,Cy,Sy,Cg,Dr,Tr,0
Sr,Cr,Sb,Cy,Db,Tb,Cg,Dg,Db,Cb,Sb,Sy,1
Sy,Cy,Tb,Sy,Sb,Dr,Sb,Dg,Cy,Sb,Sb,Sg,1
Cg,Sg,Cr,Cb,Cy,Sb,Cb,Dr,Sy,Db,Tr,Sg,0
Cg,Tg,Sb,Cy,Cr,Tr,Cy,Cy,Dy,Cg,Tg,Tg,0
Tg,Sy,Sg,Tr,Dg,Tg,Sr,Dg,Sg,Sy,Db,Tb,0
Tb,Dy,Tr,Tb,Cy,Cg,Cg,Tb,Ty,Tg,Dr,Sg,0
Cb,Dy,Cg,Db,Ty,Dy,Ty,Tb,Ty,Tg,Cr,Cr,0
Tg,Cy,Dr,Ty,Cy,Sb,Dr,Dg,Cy,Dy,Cy,Cr,0
Tg,Db,Dg,Tg,Tr,Tr,Cr,Db,Dg,Cr,Sy,Dr,1
Tg,Cy,Db,Tg,Tb,Dr,Tr,Dr,Sg,Db,Sr,Cg,1
Dg,Tb,Cb,Cy,Cy,Tb,Cg,Tg,Sy,Dr,Tg,Cr,0
Sg,Dy,Sr,Tr,Dr,Dy,Tb,Cg,Dg,Tb,Ty,Dy,1
Dr,Tr,Tg,Cy,Cy,Ty,Cg,Tg,Db,Sy,Dr,Ty,0
Dg,Db,Tg,Sr,Cy,Tb,Dr,Cb,Tb,Sg,Dg,Sr,0
Ty,Cg,Sg,Cy,Cr,Cb,Db,Tr,Cy,Cr,Sy,Cg,1
Dg,Sy,Cy,Cg,Cr,Sy,Sb,Dg,Db,Dy,Cb,Cg,1
Sy,Dr,Ty,Tr,Cr,Ty,Db,Cr,Cg,Cg,Dg,Tr,0
Cb,Dy,Cr,Db,Dg,Dg,Dy,Dy,Ty,Cg,Tb,Sb,0
Dy,Tr,Cg,Dr,Ty,Dy,Sb,Cr,Cy,Tb,Cb,Tb,1
Dg,Cb,Dr,Cr,Sg,Sr,Db,Ty,Sg,Tb,Sb,Sb,0
Cg,Cy,Dy,Dr,Cb,Cy,Cy,Dy,Ty,Cr,Tb,Tb,1
Cb,Dr,Sb,Tb,Sb,Cb,Db,Cy,Sb,Tb,Dy,Cr,0
Cg,Cr,Tg,Sb,Cb,Tr,Ty,Sr,Dy,Cy,Db,Dr,1
Tg,Cy,Tr,Sb,Dg,Sr,Sg,Sy,Dy,Sy,Dg,Dr,0
Dr,Ty,Sg,Cg,Cg,Dr,Sr,Sy,Dg,Tb,Cy,Dr,0
Tg,Dg,Sy,Dg,Ty,Tr,Sr,Ty,Sg,Cy,Cr,Cy,1
Db,Sb,Cr,Cr,Cg,Tg,Dy,Tb,Sr,Tr,Cr,Sy,1
Tb,Dy,Cg,Ty,Tr,Ty,Tr,Ty,Dg,Tr,Tg,Cy,0
Tr,Db,Sy,Ty,Ty,Dg,Cb,Cr,Tb,Ty,Dr,Cr,1
Dr,Tg,Dy,Db,Tg,Tb,Tr,Cg,Dy,Sy,Dr,Tb,1
Dg,Dy,Tg,Sy,Dr,Tr,Tr,Dg,Cy,Cb,Tg,Cb,1
Tb,Cb,Sg,Tb,Db,Dr,Sr,Cg,Dr,Sb,Dg,Cr,1
Sg,Tr,Ty,Dr,Sy,Cy,Dg,Tg,Cb,Dy,Ty,Sr,0
Sg,Dy,Sb,Ty,Dg,Cb,Tb,Sy,Dy,Sr,Cy,Tb,0
Tr,Ty,Ty,Cy,Tr,Ty,Cb,Cb,Cy,Db,Sg,Dy,1
Sg,Tr,Dr,Cy,Db,Sr,Tb,Tg,Ty,Sr,Sr,Dg,1
Sg,Db,Sb,Cg,Dg,Dy,Cg,Sb,Sy,Sb,Cb,Tb,1
Sb,Cr,Tr,Db,Dr,Sg,Dr,Sr,Cr,Sg,Cb,Sr,0
Dg,Sg,Cy,Sy,Dy,Tb,Cy,Dy,Sy,Dr,Tb,Sy,0
Sb,Tr,Ty,Sr,Ty,Tb,Dr,Cy,Cy,Sb,Sg,Tr,0
Cg,Cb,Sb,Tg,Sy,Dr,Cr,Cg,Sg,Cr,Sb,Cy,0
Db,Tr,Dy,Sb,Tr,Cr,Cb,Tb,Cg,Sg,Tr,Dy,0
Cb,Sy,Cg,Cy,Dr,Sr,Tb,Sy,Dg,Dy,Db,Ty,1
Tb,Tb,Tb,Cb,Sb,Tr,Dg,Cr,Sy,Sb,Sy,Cy,1
Cr,Dy,Cb,Cy,Cy,Tr,Cr,Tb,Tb,Sy,Tr,Sb,0
Sb,Sg,Dr,Sr,Cb,Db,Tr,Sb,Dr,Cg,Dg,Ty,0
Dy,Tg,Cr,Db,Cg,Tb,Tb,Ty,Sr,Tr,Sr,Cr,1
Dg,Ty,Dr,Dy,Cy,Sb,Ty,Dy,Sb,Sy,Dr,Sg,1
Sr,Db,Sg,Dy,Sg,Dg,Tb,Ty,Sr,Sb,Cy,Dy,0
Tg,Tr,Cb,Cg,Dr,Dy,Cg,Dr,Cb,Tb,Ty,Cr,1
Dg,Dr,Tg,Sg,Cb,Ty,Cb,Cy,Sy,Dy,Db,Ty,1
Dr,Tr,Dr,Ty,Sg,Cg,Cg,Cr,Tb,Cr,Sr,Sg,1
Dy,Sg,Dr,Cy,Dr,Tr,Cr,Cr,Dy,Sb,Tb,Dy,0
Db,Ty,Sb,Sg,Sy,Tb,Cb,Sy,Cr,Tr,Cy,Sr,1
Sg,Cg,Cr,Sy,Db,Sb,Ty,Tb,Dg,Cb,Cg,Sg,0
Sg,Tg,Tr,Dy,Cy,Tg,Tg,Sg,Cb,Tr,Dg,Ty,1
Sr,Sg,Sg,Sg,Cb,Sb,Sr,Sr,Sr,Cr,Tr,Dg,1
