token_0,token_1,token_2,token_3,token_4,token_5,token_6,token_7,token_8,label
Tr,Tb,Sg,Sr,Cb,Cg,Cb,Cr,Dg,0
Sb,Dg,Cr,Tb,Tg,Cr,Tr,Cb,Dg,0
Db,Dr,Sg,Db,Tb,Cb,Sg,Tg,Tb,1
Sg,Cb,Db,Dr,Tr,Sr,Sg,Cr,Db,0
Tg,Dg,Sb,Sb,Tg,Cg,Cg,Dr,Cb,0
Cr,Dr,Dr,Dr,Sb,Cb,Tr,Tb,Cg,1
Tr,Tg,Dr,Tg,Sb,Cr,Cb,Cr,Dr,0
Tr,Cb,Dr,Cr,Tg,Dr,Cb,Cb,Tr,1
Sr,Sg,Db,Dr,Cr,Cg,Tg,Sg,Tr,0
Cg,Sg,Sg,Tg,Dg,Sr,Cb,Tg,Dr,1
Cg,Cr,Sr,Db,Cr,Cr,Sr,Tr,Sr,0
Tb,Sb,Sg,Cr,Db,Dr,Dg,Tb,Sb,0
Cr,Tb,Dr,Dg,Tr,Db,Dg,Cg,Cb,1
Tg,Tb,Cr,Sb,Tb,Db,Tg,Sb,Dg,1
Tg,Dg,Tr,Tr,Db,Cr,Db,Sg,Cg,1
Sg,Dg,Cg,Tg,Db,Db,Cg,Dr,Dr,1
Tr,Sg,Cr,Sr,Dg,Db,Sg,Dg,Dg,1
Dr,Sg,Sb,Cg,Db,Sr,Tg,Sb,Tr,1
Db,Cg,Cg,Cb,Dg,Db,Cb,Db,Dg,0
Dr,Db,Sb,Cg,Sr,Sb,Dr,Dr,Tg,0
Sg,Cb,Cg,Sb,Tb,Cg,Dg,Sb,Cg,0
Tr,Db,Sb,Dr,Db,Sr,Sg,Tb,Sb,0
Sg,Cg,Sr,Dr,Cb,Cr,Cb,Dr,Tb,1
Tr,Sb,Tb,Tr,Tg,Tr,Dr,Tr,Dr,1
Cg,Cg,Tr,Tg,Tr,Sg,Cg,Tg,Sb,1
Cr,Cr,Dg,Dr,Tb,Sr,Db,Cb,Sg,1
Db,Tg,Tg,Cb,Sg,Tb,Tr,Dg,Db,1
Dg,Cg,Cr,Cg,Sr,Cr,Cr,Tg,Tg,1
Tb,Dr,Tr,Cg,Tb,Cg,Sg,Sb,Tr,1
Tg,Sg,Tb,Cg,Tg,Sr,Tg,Sb,Sb,1
Tb,Tr,Sb,Sr,Sg,Tg,Cr,Dg,Tr,0
Dr,Cg,Cg,Dr,Cr,Dg,Sb,Sg,Tg,1
Dg,Db,Tr,Sb,Sb,Dr,Cb,Cg,Cg,0
Cb,Sr,Cg,Tr,Cr,Sg,Cg,Sg,Cb,0
Cg,Tr,Sg,Tb,Cg,Sg,Dr,Tg,Db,0
Cr,Dr,Tb,Sb,Cb,Sr,Sg,Cr,Tb,1
Dr,Dr,Cb,Cb,Cr,Sb,Sr,Cg,Cb,1
Tb,Db,Cr,Tr,Sr,Dg,Sg,Tr,Cg,0
Sg,Db,Sg,Dr,Cb,Tr,Tg,Tb,Cr,1
Sg,Tg,Tg,Cg,Cg,Tg,Sb,Tr,Cr,0
Tb,Sr,Tg,Tg,Dr,Tg,Dg,Sb,Dr,1
Tr,Sg,Dg,Sr,Cr,Tg,Sg,Sb,Cg,1
Cr,Cb,Dg,Sg,Sg,Cb,Sb,Cr,Tr,0
Db,Tg,Dg,Sb,Cr,Tg,Tg,Tg,Sb,1
Tb,Tr,Dg,Dg,Cr,Cb,Tr,Tg,Dr,1
Cb,Tr,Cg,Cb,Cb,Dr,Sb,Cb,Sb,1
Dr,Cr,Cb,Cb,Dr,Dr,Db,Sg,Cr,0
Sb,Sb,Db,Sr,Db,Sb,Sg,Cg,Sb,1
Db,Cb,Cr,Cg,Tb,Dg,Dg,Tg,Tg,1
Dg,Tg,Dr,Dg,Db,Tr,Sb,Dr,Cb,1
Db,Tr,Sg,Sb,Tr,Sb,Cg,Sg,Db,1
Db,Cr,Sg,Tb,Tr,Sr,Sg,Cg,Dg,0
Cr,Cb,Sr,Tg,Cr,Sg,Sr,Sb,Tg,1
Tg,Tb,Sr,Cg,Dg,Db,Tg,Cg,Cr,1
Dr,Tr,Tr,Db,Dr,Tg,Sr,Db,Tb,1
Sb,Dg,Dg,Sr,Sb,Sr,Tg,Dg,Tg,0
Tb,Db,Tg,Cr,Sr,Tg,Cr,Cb,Sg,1
Tb,Dr,Dr,Dr,Cr,Cb,Tb,Cg,Db,1
Tb,Sb,Cr,Cg,Tg,Cb,Tb,Cg,Tb,1
Sr,Tg,Sg,Dg,Tg,Sr,Sb,Db,Cb,1
Tb,Sr,Tb,Cg,Dg,Sb,Tb,Cr,Tb,1
Cg,Tr,Sg,Sb,Dr,Cr,Cb,Tr,Cr,0
Sb,Dr,Tb,Cg,Cg,Dg,Dr,Dg,Sr,0
Dg,Cg,Sg,Tg,Sb,Cb,Tr,Sg,Tb,0
Cr,Tb,Cg,Cb,Dg,Cg,Sg,Sg,Cr,0
Tg,Cr,Tr,Cr,Cg,Dg,Cb,Cg,Tb,0
Tg,Cg,Cr,Dr,Sr,Tb,Tg,Db,Dg,1
Sb,Cb,Tb,Tg,Db,Dg,Tg,Cb,Tg,1
Tg,Db,Tg,Db,Db,Tg,Cg,Sg,Sr,1
Cr,Sb,Cg,Sb,Dg,Cr,Db,Db,Sr,1
Db,Cb,Tb,Dr,Dr,Tr,Cg,Cb,Cb,0
Sb,Cr,Tb,Tr,Tb,Cb,Sb,Sb,Cg,1
Cr,Cb,Sb,Dg,Dg,Tr,Dg,Sb,Db,0
Dr,Cb,Cg,Sg,Db,Sg,Tr,Cb,Cr,0
Cg,Dg,Dr,Cb,Cr,Cb,Dg,Tb,Tr,0
Cr,Dg,Tb,Sr,Db,Cb,Cr,Dg,Sb,1
Sr,Db,Cb,Sg,Tb,Cb,Cg,Cg,Dg,0
Sg,Cb,Cb,Tr,Sg,Tb,Cr,Dr,Sb,0
Tb,Cg,Sg,Db,Cr,Dr,Tb,Dg,Dg,1
Cr,Cr,Sg,Cb,Dg,Sr,Cr,Dg,Cg,0
Db,Tr,Dg,Cr,Cr,Sb,Tb,Cb,Cr,0
Dg,Cg,Sb,Sr,Cg,Dr,Dr,Sr,Dg,1
Dg,Db,Tg,Dr,Dr,Tg,Db,Tr,Cg,0
Sr,Sb,Tg,Sr,Dg,Sr,Sb,Sr,Cr,0
Dg,Sr,Cg,Sb,Cg,Sg,Dr,Cb,Sb,1
Db,Tg,Sg,Dg,Tr,Cr,Sg,Cr,Db,0
Dr,Sg,Cb,Cb,Tb,Sr,Sr,Dr,Cg,0
Db,Dr,Sr,Dr,Tr,Sg,Cb,Tb,Cg,1
Tb,Sg,Cg,Tg,Sg,Sr,Sb,Db,Sb,0
Dg,Sg,Cr,Cg,Sr,Cb,Cg,Tb,Tb,1
Dg,Tg,Dr,Cb,Tr,Tr,Tr,Db,Cb,0
Cb,Dr,Sg,Cr,Tr,Db,Sr,Sg,Sb,0
Tb,Sg,Sr,Dg,Dr,Dr,Sg,Cr,Tr,0
Cr,Tr,Dg,Cg,Cg,Tg,Cg,Tr,Db,0
Cb,Cr,Sb,Cg,Dr,Sb,Dr,Sg,Sb,0
Db,Tg,Dr,Tb,Cb,Dr,Sr,Sg,Dg,1
Dr,Dg,Sb,Db,Tb,Cg,Sg,Tb,Tb,0
Cr,Cg,Cg,Sr,Tg,Tg,Tb,Tr,Tb,1
Dr,Dg,Dg,Cg,Sb,Sr,Cb,Sb,Sr,0
Cg,Cr,Cr,Db,Sb,Db,Db,Sb,Db,1
Cg,Cb,Tb,Cb,Dr,Cg,Sb,Sr,Db,1
Sg,Sr,Sg,Cg,Sb,Db,Db,Sg,Dr,0
Tb,Cb,Dg,Sb,Dr,Tr,Cg,Tr,Dr,0
Sg,Tr,Cg,Cg,Cr,Tg,Sr,Sg,Tg,0
Dg,Cg,Cg,Cb,Sg,Tg,Tr,Tg,Cg,1
Cb,Cb,Sr,Db,Dg,Tg,Cb,Cr,Tr,0
Tg,Db,Tb,Cr,Dg,Tb,Db,Db,Cr,0
Dr,Sr,Dg,Tr,Tg,Tg,Dg,Tb,Cb,1
Dg,Sb,Cr,Db,Tb,Cg,Tg,Sg,Sb,1
Db,Cr,Tb,Tg,Db,Sg,Dg,Tb,Sr,1
Dr,Sr,Dr,Dg,Cr,Dr,Dr,Cg,Tg,0
Sg,Sb,Dr,Cb,Tb,Sr,Tg,Dg,Tr,1
Sr,Db,Db,Dg,Sr,Cr,Db,Sr,Dr,0
Cr,Cb,Dg,Sg,Sb,Sg,Sg,Tg,Cb,1
Cg,Sg,Sb,Tb,Tr,Tb,Tb,Tb,Sg,0
Db,Dg,Cb,Cg,Dg,Dr,Sb,Sr,Tg,1
Tg,Sb,Dg,Tg,Sg,Dg,Cg,Sr,Sr,1
Sr,Cr,Cb,Db,Cr,Cb,Sb,Cr,Dr,1
Cg,Cg,Cb,Cb,Cg,Sr,Sb,Tg,Cr,0
Sg,Cg,Tg,Sb,Db,Tb,Dr,Tb,Cg,1
Cr,Tr,Tr,Sr,Db,Sg,Sr,Cb,Sb,1
Dr,Cr,Tg,Db,Sb,Dr,Tg,Cr,Sr,0
Tb,Cb,Tg,Sg,Sb,Sg,Dr,Dr,Sr,1
Cr,Cr,Db,Sr,Cb,Cb,Cr,Db,Cg,1
Sg,Dg,Db,Sg,Db,Cr,Sg,Db,Tb,1
Tr,Db,Cb,Cb,Cg,Sr,Sb,Sb,Sr,0
Tg,Dr,Sb,Db,Tr,Tg,Tg,Cg,Tg,1
Tb,Sr,Sr,Tg,Dg,Tb,Sg,Sg,Tr,0
Cr,Sg,Db,Tg,Tg,Sg,Cr,Sb,Sg,0
Tg,Dr,Db,Db,Dg,Dr,Cb,Tb,Sg,1
Cr,Tg,Sr,Dg,Dr,Tb,Tb,Dr,Db,1
Tg,Tg,Dg,Tr,Tb,Sg,Cr,Cb,Dr,1
Tr,Sg,Tb,Dr,Cg,Cg,Dr,Cr,Cr,1
Cr,Sb,Sg,Tg,Tb,Dr,Dg,Tr,Tg,1
Dr,Sr,Cb,Tb,Tg,Dg,Tb,Sb,Cb,0
Sg,Dr,Tg,Dg,Cr,Tb,Tg,Dr,Sg,0
Cb,Cg,Tb,Db,Sr,Sb,Sb,Cb,Tb,0
Tr,Cg,Tg,Dr,Cg,Cb,Dg,Dg,Tr,1
Db,Dr,Db,Sb,Dg,Dg,Sr,Tg,Sg,0
Dg,Dg,Tg,Sb,Cg,Tb,Dg,Sr,Cb,0
Sb,Dr,Cb,Cg,Tr,Sg,Dr,Cb,Cb,1
Cg,Dg,Dr,Sg,Cb,Sg,Dr,Cr,Tr,0
Tg,Tb,Cb,Sr,Tb,Dg,Sg,Cb,Dr,1
Dr,Db,Sr,Cb,Sg,Sg,Db,Cb,Db,0
Tr,Sr,Sg,Tb,Db,Tb,Tr,Tg,Cg,1
Dr,Cg,Tr,Tg,Sb,Tb,Cb,Sb,Dg,0
Tr,Cg,Tb,Sr,Tb,Cr,Tb,Db,Dg,0
Tg,Dr,Sr,Sg,Tb,Tb,Tb,Dr,Tr,1
Tr,Db,Sr,Cb,Sb,Tb,Cg,Db,Sr,1
Dg,Sg,Cb,Sb,Cg,Tb,Db,Dr,Dg,1
Db,Tg,Db,Tb,Cb,Db,Sg,Sb,Sg,1
Dr,Sb,Tb,Tb,Sr,Cb,Tr,Db,Cg,0
Tr,Cr,Sb,Cb,Cr,Sr,Cr,Sr,Tr,1
Tr,Cg,Dg,Tb,Tr,Dg,Cg,Sg,Cg,0
Sb,Cg,Cg,Sr,Db,Dg,Cg,Sr,Sb,0
Sg,Dr,Cg,Cb,Dg,Tb,Sr,Cg,Db,1
Db,Tb,Sb,Sg,Sb,Cg,Tb,Cb,Cb,0
Cg,Sb,Dr,Cr,Sb,Dr,Sr,Cb,Cr,1
Db,Tb,Cb,Db,Cg,Cg,Dr,Cb,Tr,0
Sb,Tg,Tb,Tg,Db,Tr,Tr,Tb,Cb,1
Cr,Tb,Cg,Cg,Cb,Db,Cg,Sg,Cg,0
Cr,Tb,Dg,Cb,Sr,Tb,Tr,Cb,Sr,1
Cg,Cg,Tg,Sr,Sg,Sb,Cr,Sg,Sg,1
Tg,Sg,Sb,Cg,Db,Tr,Db,Tb,Tg,0
Db,Dr,Dg,Tb,Tb,Tr,Tg,Cb,Sr,1
Db,Db,Tr,Sb,Cb,Dg,Tr,Tr,Cg,1
Db,Sr,Sg,Cb,Cr,Dg,Cb,Cb,Sg,1
Cr,Sr,Tb,Sg,Sr,Sr,Tb,Tb,Sb,0
Cb,Tr,Sr,Dr,Tb,Cg,Tg,Sb,Cr,0
Dg,Cr,Sg,Sg,Cb,Cg,Dg,Sg,Cg,0
Tb,Sr,Dg,Tg,Sb,Sr,Cg,Cr,Tb,0
Sr,Dr,Cg,Sb,Sg,Cr,Tr,Sb,Tb,1
Cb,Sb,Tg,Cg,Tb,Dr,Db,Cg,Cb,0
Tg,Sg,Sr,Db,Cg,Tb,Tr,Sb,Cg,1
Sb,Tb,Cb,Tb,Db,Sr,Tg,Cr,Sr,0
Cr,Tb,Cb,Db,Cb,Sr,Cg,Cr,Cb,0
Db,Cb,Sr,Sb,Db,Sr,Db,Sr,Sg,0
Sb,Dg,Cb,Sg,Cb,Sr,Cr,Db,Cg,0
Tb,Tr,Sb,Cr,Cg,Tr,Cg,Dr,Tr,0
Dg,Tb,Cr,Sr,Tb,Cr,Sr,Dg,Db,1
Dr,Cg,Db,Cb,Cr,Tr,Dg,Tb,Sb,0
Cg,Dr,Sg,Cb,Tb,Dg,Tg,Tb,Tr,0
Cb,Tr,Dg,Tb,Sr,Tr,Tb,Cr,Dr,1
Cg,Sr,Sr,Tr,Tr,Sb,Sg,Cr,Cb,1
Sg,Dg,Cg,Cr,Tr,Dr,Cr,Sg,Cg,1
Dg,Sg,Sb,Sg,Dg,Db,Tg,Sb,Cg,0
Sr,Tb,Sb,Db,Dg,Sg,Cr,Cb,Db,1
Sg,Cb,Tr,Db,Dg,Sg,Tg,Dr,Sb,1
Sb,Cr,Cb,Dr,Sg,Cb,Tr,Tr,Sb,1
Tb,Tr,Dr,Cr,Dg,Sb,Tr,Tg,Dg,0
Db,Dr,Sg,Sb,Tg,Db,Cg,Dr,Tg,0
Sr,Sg,Tr,Tb,Cr,Dr,Cb,Db,Tg,0
Sg,Dg,Cb,Cr,Dr,Cr,Tr,Sg,Dr,1
Cg,Sg,Cr,Sg,Dr,Tb,Sg,Tg,Sg,0
Sr,Dg,Cb,Sg,Sb,Cg,Dr,Cr,Tg,1
Sg,Dr,Db,Sg,Tb,Tb,Dr,Sg,Sg,1
Dg,Sg,Cg,Tr,Sb,Tr,Tb,Dg,Sg,0
Db,Dg,Sg,Cb,Cg,Sb,Tb,Tr,Tg,1
Sg,Tb,Cb,Sr,Dg,Tb,Dg,Cg,Dg,0
Db,Sr,Sr,Tr,Tb,Tg,Tb,Db,Cr,0
Cb,Tr,Sr,Cb,Cg,Dg,Tr,Cr,Sb,0
Cg,Sr,Sr,Tg,Sg,Dr,Cg,Sr,Dr,1
Dg,Cg,Sb,Sr,Cr,Db,Sg,Dg,Dr,0
Db,Tg,Dr,Sb,Cb,Tg,Sr,Dg,Cr,1
Sr,Tb,Db,Dg,Sb,Tg,Sr,Sr,Sg,1
Db,Dg,Db,Tb,Sb,Cr,Dr,Db,Dg,0
Dg,Tb,Sr,Sb,Sg,Cr,Tr,Dr,Cr,1
Sb,Tb,Cb,Dr,Dr,Sb,Cr,Dg,Sr,1
Sb,Tb,Sg,Dg,Cr,Sb,Sr,Tr,Db,1
Db,Dr,Dr,Sg,Cb,Dg,Cr,Sr,Tr,0
Tg,Cr,Tg,Sg,Sg,Sb,Cg,Tg,Dg,1
Tr,Sg,Cr,Cr,Dg,Tg,Dg,Cg,Dr,1
Cr,Cb,Sr,Dg,Cb,Cb,Cg,Db,Cb,1
Tb,Cb,Dg,Dg,Sg,Cg,Tg,Sr,Tg,0
Cg,Cg,Tr,Db,Sb,Dr,Sg,Sb,Dg,0
Tr,Tb,Cr,Tg,Db,Cg,Dr,Dr,Tg,0
Tr,Cb,Sr,Tg,Dg,Sr,Cb,Tr,Cg,0
Dr,Dg,Dr,Db,Dg,Db,Tb,Tb,Tr,0
Sb,Tg,Sr,Cg,Cg,Sb,Cb,Cr,Tb,1
Dr,Cb,Db,Tg,Sg,Cr,Tg,Dg,Db,0
Sg,Db,Db,Tb,Dg,Tr,Sr,Sb,Cr,1
Sg,Dg,Sg,Sb,Tb,Cb,Sb,Sg,Sb,1
Sb,Sb,Sr,Cb,Cb,Sb,Db,Db,Sg,1
Cg,Cb,Sr,Cr,Sr,Cr,Sb,Tg,Cg,0
Sb,Dr,Cr,Tr,Tg,Tr,Tb,Sr,Sb,1
Dr,Tb,Tr,Sr,Sr,Tg,Dr,Tr,Sb,0
Cg,Dr,Cg,Tg,Tg,Cr,Dr,Db,Db,1
Cb,Cr,Sb,Dr,Tg,Cb,Sb,Cb,Db,1
Sr,Sb,Cr,Dr,Cg,Cb,Cr,Dg,Tr,0
Cb,Dg,Db,Dg,Tr,Dg,Sr,Db,Dg,1
Cg,Cb,Tr,Tb,Cr,Dg,Db,Tr,Sg,1
Tg,Tr,Tb,Tg,Sb,Cb,Tr,Tg,Tr,1
Db,Dg,Dr,Cg,Sg,Cb,Db,Sr,Dr,0
Dr,Sb,Cb,Tg,Tb,Tb,Sr,Tr,Sb,0
Db,Dr,Cr,Sr,Cg,Sr,Tb,Tb,Sb,1
Cr,Tb,Sr,Sr,Sg,Sb,Sg,Sg,Db,1
Sr,Tr,Cr,Cr,Cg,Sr,Tb,Tr,Cg,0
Tr,Tr,Dg,Cb,Cr,Cb,Sr,Tb,Sr,1
Sb,Cr,Sr,Tr,Tg,Cr,Cr,Sr,Dr,0
Sb,Cr,Dg,Tg,Cr,Sb,Sg,Sg,Cg,1
Sr,Cb,Tr,Sg,Sb,Cb,Sg,Cr,Cr,0
Sb,Tb,Sb,Dr,Sb,Sb,Tg,Sr,Tg,1
Tg,Cg,Dg,Sb,Cr,Cb,Tg,Cr,Sg,0
Dr,Sb,Cg,Sr,Db,Cr,Tb,Db,Sr,0
Tb,Db,Dr,Cr,Tr,Cr,Sb,Dr,Dr,0
Tg,Sg,Dr,Dr,Cb,Cr,Dr,Tg,Cb,1
Tg,Cr,Dr,Tg,Sb,Tb,Tg,Dr,Dg,1
Dr,Tb,Dr,Cr,Tg,Tr,Sb,Cr,Db,1
Sr,Cg,Cb,Dr,Db,Db,Cb,Dg,Tb,1
Tb,Dr,Tr,Sg,Cb,Dr,Sr,Cb,Tr,1
Cr,Dr,Sb,Dr,Sb,Db,Tb,Tb,Tg,0
Sr,Sb,Tr,Sr,Sb,Tr,Tr,Sr,Db,1
Cb,Tg,Cb,Cr,Dr,Dg,Sg,Cb,Cg,0
Tb,Sr,Sg,Sb,Cr,Sb,Sg,Tg,Db,1
Sg,Dr,Tg,Sg,Db,Tb,Db,Cb,Cr,0
Tg,Cb,Dg,Db,Tg,Cg,Tr,Dr,Db,0
Cg,Cg,Dr,Db,Cr,Cg,Cg,Cg,Tb,0
Cb,Tg,Dg,Tb,Db,Cg,Cg,Cb,Sb,1
Cb,Db,Cg,Sb,Sg,Cg,Cg,Sb,Tg,1
Sb,Dr,Dr,Cb,Sb,Cg,Sr,Db,Db,1
Cg,Cr,Tr,Cg,Tb,Cr,Tb,Tg,Cb,0
Dg,Tb,Dg,Dr,Tr,Dg,Cb,Dg,Sr,1
Sr,Cr,Cb,Sb,Cg,Dg,Tg,Tr,Sb,1
Sg,Dg,Cg,Db,Sr,Tg,Dg,Tr,Tg,0
Sb,Sb,Sg,Tr,Sr,Sr,Sb,Tb,Sr,1
Sb,Dg,Tb,Cb,Tg,Dg,Tr,Dr,Tg,0
Tr,Sb,Cg,Tr,Tr,Sg,Db,Tg,Dg,0
Dg,Db,Cb,Dg,Cr,Tb,Tr,Cb,Tr,0
Sb,Dg,Tb,Cg,Tb,Sr,Dg,Dr,Cg,1
Tb,Dg,Cb,Cg,Tb,Tr,Tr,Dr,Cr,1
Cb,Tg,Sr,Sr,Dr,Cg,Cb,Sr,Cr,0
Cr,Cr,Sr,Sg,Sg,Tr,Dg,Sg,Sg,1
Cr,Sb,Dr,Sb,Dg,Dg,Tg,Db,Cr,1
Cg,Tb,Tb,Cr,Cr,Cr,Sb,Tg,Tg,0
Sr,Sg,Sb,Sb,Tb,Tr,Cr,Tg,Sr,0
Sr,Sg,Cg,Sb,Cg,Dg,Cb,Tb,Tb,0
Sb,Cr,Sb,Dr,Cr,Sr,Cg,Db,Tr,0
Dg,Db,Tg,Dr,Sr,Sb,Sb,Tr,Db,0
Cr,Sr,Sg,Cb,Tg,Dr,Cr,Cr,Tr,0
Dr,Sr,Cr,Cr,Dg,Sb,Sb,Sr,Cg,0
Tg,Sg,Tg,Tr,Dg,Cr,Db,Db,Tb,0
Dg,Sb,Sr,Cb,Sr,Cr,Dr,Cr,Dr,0
Tg,Db,Sb,Tr,Db,Cg,Dr,Sr,Tr,0
Tr,Dr,Tg,Db,Sg,Tr,Sg,Cg,Sb,1
Cb,Dg,Tr,Cr,Sr,Sb,Dr,Sb,Cg,1
Sg,Sr,Tg,Sg,Dg,Tb,Cr,Sg,Cb,1
Sg,Db,Sr,Tb,Dg,Cg,Dg,Dr,Cg,0
Sr,Dg,Sr,Sg,Dr,Tb,Cg,Cg,Cr,0
Cg,Sg,Cg,Db,Tr,Cb,Cb,Tb,Db,1
Cr,Sr,Sg,Tg,Sg,Sg,Cr,Tg,Sr,0
Sr,Cb,Sb,Cb,Dr,Sg,Cg,Cr,Cg,0
Tr,Sr,Cr,Sg,Tg,Tg,Db,Cg,Cb,1
Sg,Tb,Tg,Sg,Cb,Cg,Tg,Sr,Dr,0
Sg,Tg,Db,Cg,Db,Tb,Sb,Dg,Cg,0
Cg,Db,Sr,Sg,Sr,Dr,Dg,Cg,Sb,1
Cg,Sr,Cr,Sr,Dr,Tb,Cg,Cb,Tr,0
Cg,Sb,Tg,Tr,Sg,Cr,Dr,Dg,Dg,0
Sb,Cb,Tb,Dg,Tg,Dg,Dr,Cg,Cb,1
Tr,Db,Tr,Sr,Db,Sg,Sg,Dg,Dr,1
Dg,Dg,Tg,Tr,Sg,Sb,Cg,Tb,Db,1
Tg,Sr,Dr,Cb,Dg,Sb,Sb,Db,Cr,0
Sr,Cg,Db,Cb,Cb,Dr,Tg,Cb,Sb,0
Tb,Cb,Tg,Cr,Tr,Cr,Cr,Dr,Cr,0
Cr,Cb,Tg,Sr,Tb,Dg,Sr,Dg,Cb,1
Dg,Cg,Tb,Tb,Sb,Sg,Cb,Tb,Cg,1
Cb,Sb,Sg,Db,Cr,Sr,Tb,Cb,Tr,0
Cb,Cg,Dr,Tr,Sb,Db,Cr,Tb,Db,0
Sg,Tg,Sr,Sb,Sr,Tg,Cb,Sb,Tg,1
Tr,Sb,Cb,Tb,Tg,Sb,Dr,Cb,Sb,1
Cr,Dr,Cr,Dr,Sr,Sb,Cg,Sg,Cr,1
Tg,Cr,Sr,Tr,Tg,Dr,Sg,Tr,Sb,0
Sr,Tg,Cr,Cr,Tb,Tg,Sg,Dg,Dr,1
Cr,Cr,Cr,Cr,Tr,Tb,Cb,Sg,Sb,1
Tb,Sb,Cb,Sb,Sb,Sb,Sg,Tg,Cg,1
Tb,Db,Tr,Sg,Dg,Sb,Sr,Sr,Tb,0
Db,Tr,Sr,Dg,Cb,Tg,Dr,Tr,Sr,0
Sr,Cg,Sr,Cg,Cg,Cr,Dg,Dr,Cr,0
Cr,Db,Sg,Sr,Sg,Dg,Cb,Sb,Db,0
Dr,Sr,Sg,Sb,Db,Dr,Sb,Cr,Cg,1
Tg,Sr,Tb,Sr,Cb,Dr,Sb,Sg,Dr,1
Dr,Sb,Tb,Sr,Sb,Cr,Sr,Sb,Cr,0
Db,Tg,Tr,Sr,Dr,Dg,Sb,Sb,Dr,1
Cr,Db,Cg,Sg,Dr,Sb,Db,Cb,Cg,0
Cr,Sb,Tb,Sb,Tr,Tb,Sg,Cg,Sg,0
Sb,Cg,Dg,Sg,Db,Sb,Tb,Cr,Dr,1
Sg,Dg,Sg,Cr,Db,Db,Sr,Cb,Sg,0
Dr,Tb,Tr,Sr,Tr,Sr,Dg,Sg,Cr,0
Sr,Cr,Sb,Sr,Tr,Dg,Tg,Db,Tr,0
Sg,Sg,Dg,Cg,Cb,Cr,Cg,Cb,Sg,1
Tb,Db,Sr,Cr,Cr,Sg,Sb,Tb,Sr,0
Db,Sg,Db,Dr,Sb,Cg,Cr,Tg,Dg,0
Dr,Tg,Cb,Dr,Tr,Dr,Cb,Cg,Sb,0
Cb,Tb,Db,Sr,Sg,Sr,Sg,Tr,Sr,0
Cg,Cr,Tr,Cr,Cr,Sr,Sg,Sg,Sr,0
Sr,Dg,Tg,Sr,Dg,Tb,Tb,Tr,Tg,1
Dg,Dr,Sb,Sr,Dg,Cr,Dr,Sg,Tb,1
Dr,Sg,Cr,Cb,Cb,Sr,Tr,Sb,Sr,1
Cg,Dr,Cg,Db,Cb,Cb,Cg,Sg,Dg,0
Sb,Db,Sb,Dr,Cb,Cb,Cb,Tb,Tg,0
Dg,Tb,Cg,Db,Dr,Sg,Tb,Dg,Dr,1
Tr,Sb,Tb,Dr,Cr,Cr,Tr,Tb,Db,0
Tb,Cb,Cr,Dg,Cg,Cg,Cb,Db,Dg,0
Sb,Sb,Cb,Sr,Cg,Cr,Sb,Tb,Tg,1
Cr,Dr,Tg,Tg,Dr,Dr,Cg,Db,Sg,1
