token_0,token_1,token_2,token_3,token_4,token_5,token_6,token_7,label
Sg,Sg,Sb,Cr,Sb,Sg,Tg,Cr,1
Tr,Cb,Cb,Tb,Tb,Cg,Sg,Cr,0
Sb,Cb,Cg,Cr,Sb,Cr,Tg,Sg,0
Cb,Sg,Cb,Sr,Cr,Tg,Cg,Tg,1
Cg,Cg,Sr,Tg,Tg,Sr,Sg,Sr,0
Cg,Cg,Sg,Cr,Tr,Tg,Tg,Cr,0
Cg,Tg,Sr,Tg,Cb,Tg,Tr,Sr,1
Cg,Tg,Tr,Tb,Cb,Cg,Cr,Tg,0
Sb,Sg,Sb,Tb,Cb,Tg,Tb,Sg,1
Sb,Tb,Sg,Cr,Sg,Cb,Cr,Cb,1
Cg,Tb,Cr,Tr,Tb,Sb,Cb,Tb,1
Sb,Tb,Tb,Sg,Tr,Tg,Tr,Tb,1
Sg,Tb,Sr,Tb,Cr,Sr,Tg,Cb,0
Tr,Cb,Tr,Sg,Cg,Tb,Cb,Sg,1
Sr,Tg,Tg,Tg,Tr,Cr,Sr,Tb,1
Cb,Tr,Tb,Cr,Cb,Sb,Sb,Cr,1
Tb,Tr,Sr,Sr,Sg,Sr,Cg,Cr,0
Tr,Tb,Tb,Sb,Cb,Cr,Sg,Cg,0
Cb,Sb,Tr,Cg,Tg,Sr,Sb,Tr,1
Sb,Sb,Cb,Tg,Tg,Sr,Sb,Cr,1
Sb,Sr,Tr,Cb,Tr,Sr,Cb,Cr,0
Tr,Sb,Tb,Sb,Sb,Tb,Tb,Tb,0
Cg,Cr,Sr,Cb,Sg,Cr,Tr,Tb,1
Tr,Cr,Tr,Sr,Sg,Tb,Sg,Tb,1
Sg,Sg,Tb,Cg,Cg,Tr,Sg,Tb,1
Sg,Cr,Cr,Cb,Tb,Sg,Tg,Sb,0
Sg,Sr,Tg,Sg,Sg,Cg,Sb,Tr,0
Sb,Tr,Sr,Sg,Cg,Cb,Cr,Tb,0
Sr,Cg,Sb,Sb,Tb,Sr,Cg,Tg,0
Tg,Tg,Cg,Cr,Sg,Sr,Tg,Tr,0
Tr,Cr,Tg,Tg,Sg,Sr,Cr,Sg,1
Cr,Sb,Tb,Cr,Sr,Tg,Cb,Tb,1
Tb,Sr,Sg,Cg,Cr,Tr,Cb,Sr,0
Tg,Sr,Tb,Sg,Cb,Tg,Sr,Tb,1
Tg,Cg,Tg,Tr,Cb,Cr,Cr,Sr,1
Sb,Sg,Cg,Tb,Sr,Cr,Tg,Sb,1
Sr,Cb,Cg,Tb,Cb,Tr,Tg,Tr,0
Tr,Sg,Tb,Sg,Tb,Sg,Sb,Tg,0
Tb,Tr,Tr,Cg,Tg,Sb,Tr,Sb,1
Cg,Sr,Cb,Sb,Tr,Sr,Cg,Cr,0
Tb,Sb,Sg,Sr,Tg,Cg,Sr,Tr,1
Tr,Cb,Sg,Tb,Cr,Tr,Sb,Sb,1
Sr,Sg,Cg,Tb,Sr,Sb,Tr,Sr,0
Tr,Sg,Sr,Sr,Tb,Tg,Tr,Tg,1
Cr,Cg,Cr,Tg,Cb,Tb,Cg,Cr,1
Sg,Cr,Cg,Cg,Sg,Sg,Sr,Sr,0
Cr,Cg,Sr,Tr,Cr,Sr,Cr,Cg,0
Sg,Cg,Cr,Sg,Cg,Sg,Cb,Cb,0
Cg,Sr,Cr,Sg,Cg,Tg,Sg,Tg,0
Tr,Cg,Sg,Cr,Cb,Sg,Cr,Sg,0
Cr,Tr,Tb,Tr,Cr,Sg,Sr,Tr,1
Cb,Sr,Tg,Cr,Sg,Tb,Cb,Cg,0
Cg,Tb,Cg,Tr,Tg,Sr,Tr,Tr,0
Sg,Sr,Sr,Tg,Cb,Sg,Sr,Sr,1
Sg,Sr,Cg,Tg,Tr,Cr,Tb,Cg,0
Sr,Tb,Cb,Sb,Tr,Tg,Cb,Tr,0
Cr,Tb,Tb,Tr,Sb,Cr,Cg,Cr,1
Cg,Cr,Sr,Cr,Sb,Tb,Cr,Cb,0
Tb,Cr,Sb,Cb,Tb,Sb,Cr,Tb,0
Cb,Tb,Tg,Cr,Sr,Sg,Cb,Sr,0
Sr,Sr,Cg,Cr,Sr,Sb,Tr,Sg,1
Tb,Tb,Sr,Sg,Tb,Tg,Tg,Sr,1
Sb,Tg,Cr,Cr,Cg,Tr,Sg,Tb,1
Tg,Sb,Sb,Tg,Sr,Cg,Cg,Tr,1
Cg,Cb,Sg,Cr,Cb,Tb,Tg,Sr,0
Tr,Cb,Cr,Tg,Sb,Tb,Cr,Tb,0
Cg,Tb,Sg,Tb,Tb,Sr,Sb,Cb,1
Sr,Tb,Cg,Sg,Sr,Tr,Cb,Cb,1
Sg,Sr,Sg,Sg,Cr,Sg,Tg,Cb,1
Tb,Cb,Sr,Sg,Cr,Sb,Cb,Tr,1
Cb,Sr,Tb,Sr,Cg,Tr,Cg,Tb,0
Sg,Cr,Tb,Cg,Tb,Tg,Sb,Tb,0
Cb,Tr,Cg,Sr,Cb,Tg,Sb,Sr,0
Sr,Cg,Sb,Tb,Sb,Sb,Cb,Cr,1
Sb,Tb,Cb,Tr,Sb,Sr,Sr,Cb,1
Tb,Sr,Cb,Tb,Tr,Sr,Cg,Sb,0
Cg,Sg,Sg,Cr,Sg,Cg,Sb,Tg,0
Sg,Cr,Cg,Tb,Tg,Tb,Cr,Tg,1
Cb,Tg,Tg,Cg,Cg,Tb,Sb,Tg,0
Sg,Tg,Cb,Cg,Sr,Tr,Tr,Cg,0
Tg,Sr,Sg,Cg,Tg,Tb,Sr,Sb,0
Sb,Tr,Cg,Tg,Tg,Cb,Sb,Sr,1
Sr,Tb,Cg,Cr,Sg,Sr,Tr,Cr,1
Cg,Tb,Cg,Tb,Tg,Cr,Sr,Sr,0
Cr,Cr,Tg,Tg,Sg,Sb,Sg,Cg,0
Sg,Tb,Cb,Cb,Cr,Tb,Sb,Cb,0
Sg,Sb,Tb,Tr,Cg,Sr,Sg,Tb,0
Cg,Cg,Cg,Sb,Cg,Cg,Cr,Sr,0
Sr,Sg,Sr,Sr,Sr,Tr,Cg,Tg,1
Cg,Tg,Sb,Sr,Sg,Tg,Tg,Tg,1
Tr,Sb,Sg,Sr,Cb,Tg,Tb,Tr,1
Tb,Sg,Tb,Tr,Tb,Sr,Sb,Cg,0
Sb,Sb,Tb,Cb,Tg,Tg,Tb,Sr,1
Cb,Cr,Cg,Sb,Sg,Sg,Sb,Tb,1
Tb,Sr,Tr,Sr,Sb,Cr,Sr,Cg,1
Cg,Sg,Tg,Tg,Cr,Tg,Tg,Cb,0
Cb,Cg,Sg,Sr,Cg,Sb,Cb,Tr,0
Sb,Sb,Cr,Cg,Sb,Cg,Cg,Sb,1
Tg,Sg,Sg,Cr,Tr,Cb,Cr,Cb,0
Cb,Sr,Sr,Cb,Tg,Cb,Sr,Cg,1
Sr,Tg,Cr,Cb,Cb,Cr,Tr,Sg,1
Tb,Sr,Tg,Tg,Cr,Cr,Sb,Sr,0
Cg,Sb,Cb,Tg,Sr,Sr,Sr,Tb,0
Tb,Cr,Tr,Sb,Sg,Sb,Tg,Cg,1
Tr,Sb,Tg,Tb,Tb,Cb,Sg,Cb,0
Cr,Cg,Cb,Sr,Sg,Tb,Sr,Tg,1
Tg,Cg,Sr,Sg,Cb,Tr,Cb,Cr,1
Cb,Sg,Sb,Sg,Sb,Sb,Tr,Cg,1
Cg,Cr,Sb,Tg,Cr,Sr,Tb,Sb,1
Tr,Cr,Tr,Cg,Sb,Cb,Sr,Tr,0
Cg,Sg,Tg,Sb,Sr,Tb,Sb,Sb,0
Tb,Tg,Tg,Tr,Sg,Sr,Sg,Sr,0
Tb,Tb,Cg,Cg,Tr,Tg,Tb,Cg,1
Cr,Sb,Sg,Sb,Tb,Tb,Tb,Sg,1
Tr,Tg,Cg,Cb,Tb,Tr,Tr,Sb,1
Sg,Cr,Cg,Tb,Cr,Sg,Cb,Tr,0
Cb,Tg,Cb,Cb,Sb,Sr,Cg,Sb,0
Sr,Tb,Tr,Cg,Tr,Sg,Cr,Cg,1
Tr,Tb,Cr,Sb,Sg,Sb,Cr,Tb,1
Tg,Tb,Sg,Sb,Sr,Cr,Cg,Tr,0
Sr,Cr,Tb,Tb,Cr,Tb,Tb,Sr,0
Cr,Sg,Sr,Cb,Sr,Tg,Tg,Sg,0
Cb,Tr,Sg,Cg,Cb,Tb,Cg,Cr,1
Cr,Cg,Sr,Tg,Sr,Sb,Tb,Sg,0
Tr,Cg,Cg,Cg,Cg,Sb,Cb,Cr,0
Sg,Tg,Tb,Tg,Sg,Sr,Tr,Cg,1
Cg,Sb,Tr,Tg,Tb,Cg,Cr,Cr,0
Tg,Sb,Cg,Tg,Cr,Sr,Sr,Sg,0
Sb,Tg,Sr,Sb,Sr,Tr,Sr,Cb,1
Tr,Tr,Tg,Tb,Sb,Sr,Sg,Sb,0
Sr,Tg,Sr,Sg,Tr,Sb,Tr,Sg,1
Cr,Cb,Sr,Sg,Cg,Sg,Cb,Cb,1
Cg,Sr,Tb,Cg,Sg,Tg,Cr,Cb,0
Sb,Sg,Cr,Cr,Cg,Cg,Sg,Cb,0
Sg,Tb,Sr,Cb,Sg,Tb,Tr,Cg,0
Sg,Tb,Sr,Cr,Sg,Tb,Cg,Tb,0
Cb,Cb,Tb,Sb,Tg,Tr,Sr,Sb,1
Tg,Tr,Tr,Tg,Sr,Tb,Tg,Cr,1
Tr,Cg,Tb,Tb,Sr,Tg,Tg,Tb,0
Sr,Sg,Tg,Sb,Cg,Tr,Sr,Cb,1
Tb,Tr,Cb,Cg,Cr,Cb,Tr,Sr,0
Tr,Cb,Sg,Sg,Cr,Cg,Sg,Tr,1
Cr,Cr,Sr,Sr,Sr,Cg,Sb,Sb,1
Cr,Cr,Sb,Sb,Cb,Tr,Tb,Tb,0
Sr,Cr,Tg,Tb,Cb,Tb,Sr,Sb,1
Sg,Tr,Cg,Cg,Sb,Sb,Cg,Tb,0
Cg,Tr,Sr,Sb,Cb,Tg,Sg,Tb,1
Sg,Cb,Cb,Sg,Cr,Cg,Tr,Sb,1
Tb,Tr,Cg,Sb,Tr,Sg,Tg,Tr,1
Sb,Cb,Sg,Sb,Tb,Tg,Sg,Tr,1
Cg,Cr,Tb,Cg,Tg,Sr,Cg,Tb,0
Cb,Cr,Sb,Cb,Cr,Tg,Tr,Tg,1
Tb,Sb,Cr,Cg,Tb,Tr,Cr,Cr,0
Tg,Tg,Cb,Cr,Sg,Sr,Sr,Cg,1
Cb,Cg,Sg,Cg,Sb,Tg,Tg,Sg,1
Tb,Cr,Tr,Tg,Cb,Tg,Tb,Sb,0
Sb,Tg,Cb,Sb,Cr,Cr,Tg,Tb,0
Tr,Tg,Cb,Sb,Cg,Cr,Cg,Cr,1
Tb,Cr,Tr,Cb,Cr,Sg,Sg,Tg,0
Tr,Cg,Sr,Cg,Tr,Cr,Cg,Tb,0
Tr,Cb,Cr,Tg,Sr,Tr,Cr,Tb,1
Sb,Tg,Tg,Cr,Cr,Cr,Cg,Cr,0
Tb,Sr,Cr,Tg,Cg,Cg,Cb,Cg,1
Sg,Tb,Cr,Tg,Sb,Sb,Tb,Cb,0
Tg,Tr,Tg,Cr,Tr,Tg,Tr,Tg,0
Sr,Tr,Sb,Cg,Tr,Sb,Tb,Cg,0
Cb,Sg,Cg,Sr,Tg,Tr,Cg,Sr,0
Sg,Cg,Tg,Tg,Cb,Cb,Sg,Tr,0
Sb,Sb,Cg,Tr,Tb,Tg,Tg,Tb,0
Tg,Sr,Tg,Sr,Cr,Sb,Sb,Sr,1
Sr,Sb,Cg,Sg,Cg,Cb,Tb,Cg,1
Sb,Sr,Tb,Sg,Tr,Cb,Cr,Sg,1
Cg,Cg,Cg,Sg,Sb,Sg,Tg,Cb,0
Sb,Cb,Cb,Tb,Cb,Tb,Sg,Tr,0
Tr,Cr,Cr,Sb,Tg,Sb,Tr,Sg,0
Sb,Sb,Cg,Cb,Sr,Tg,Cr,Sr,1
Sr,Sr,Sb,Tr,Sg,Tb,Cb,Sr,0
Sr,Tr,Tb,Sb,Cr,Tg,Cr,Cr,0
Sb,Cg,Sb,Cb,Sg,Cb,Cg,Cg,0
Sg,Tg,Sb,Sg,Sg,Tr,Tg,Cg,0
Tg,Cb,Sr,Cb,Cr,Cr,Sr,Tb,0
Cb,Sg,Cr,Tr,Tg,Tr,Sg,Cg,1
Tb,Cr,Sb,Sg,Sb,Sr,Sb,Cb,1
Cr,Cg,Sr,Cg,Sg,Sr,Sb,Cb,0
Cr,Tr,Sb,Sr,Cr,Cg,Tb,Tr,0
Cb,Cr,Sr,Sb,Tb,Cg,Sr,Cg,1
Sg,Cg,Sr,Sg,Sg,Tr,Cb,Cr,0
Cg,Cr,Tb,Tg,Tr,Tb,Cr,Tr,1
Tb,Tg,Cr,Cg,Sr,Sr,Tb,Sb,1
Tb,Sr,Sb,Sr,Sr,Sg,Sg,Cb,0
Sr,Sb,Cb,Sr,Sr,Cr,Tb,Tb,1
Tg,Sg,Cg,Cg,Sr,Tg,Tg,Sb,0
Cb,Cg,Cb,Sr,Sr,Cg,Cb,Tg,1
Sb,Sg,Cb,Cb,Sg,Sg,Cg,Tb,0
Tg,Tb,Sg,Tr,Sb,Tr,Cr,Sb,0
Sr,Cr,Cb,Cr,Sr,Tr,Tb,Tg,1
Tg,Tb,Tg,Tr,Tg,Cg,Tr,Cr,1
Tb,Cr,Cb,Tr,Sr,Cb,Sg,Tb,0
Sg,Cg,Sg,Tr,Sg,Tr,Sg,Sb,0
Cg,Tg,Cg,Cb,Sg,Cb,Cb,Sg,1
Tb,Cg,Sg,Sg,Cb,Sr,Cb,Sr,1
Tr,Tr,Tr,Cg,Tr,Cr,Sr,Tb,0
Sb,Sg,Tg,Sg,Sg,Cg,Tr,Sr,1
Sr,Tg,Cr,Cg,Cr,Tr,Cb,Sb,0
Tg,Sb,Sr,Cb,Cb,Sr,Cg,Cg,0
Sr,Sg,Sg,Cr,Cr,Tb,Sg,Sb,1
Tb,Sg,Tr,Cr,Tr,Cg,Cg,Tr,1
Cr,Cr,Tb,Tg,Sg,Cg,Cg,Sb,1
Cg,Sg,Cr,Tr,Sb,Sg,Sg,Sb,0
Cr,Tb,Tg,Tr,Sr,Sg,Cb,Sg,1
Tr,Sb,Sg,Cr,Cg,Tg,Sr,Tg,1
Sb,Sb,Sb,Cr,Cb,Tr,Tg,Cb,1
Sg,Sg,Cb,Tb,Cr,Sr,Tg,Tg,0
Cr,Tr,Cg,Cb,Sr,Tg,Tr,Tb,0
Cb,Cb,Sb,Sb,Tg,Tr,Cg,Sr,1
Sb,Cr,Cg,Cr,Cg,Tr,Cb,Tb,1
Sr,Tg,Tr,Tr,Cg,Tg,Sg,Tr,1
Sb,Sg,Sr,Sr,Cb,Tr,Sr,Cg,1
Tr,Tr,Cr,Tg,Sb,Tr,Cg,Tb,0
Sb,Cb,Tb,Cg,Cb,Sg,Cg,Cg,1
Sb,Sb,Tb,Cg,Cr,Cb,Tb,Cr,0
Tb,Tb,Cb,Sb,Tg,Sb,Cr,Tr,0
Cb,Cb,Cr,Sg,Tg,Sg,Tb,Tb,0
Cg,Sg,Sb,Sg,Cr,Tg,Cg,Tr,1
Tg,Cr,Tb,Sb,Cg,Cr,Cr,Sb,1
Tr,Tr,Sb,Sb,Sg,Tb,Tb,Sr,1
Cg,Cr,Cg,Sg,Sr,Tr,Tb,Tr,0
Tr,Tr,Cg,Tr,Sg,Cb,Tr,Tg,0
Cb,Tb,Tr,Sr,Cg,Sg,Sr,Tg,1
Sg,Cb,Cb,Sr,Sr,Tg,Tg,Cr,1
Cr,Cr,Tr,Cr,Cb,Cr,Cb,Sg,1
Sg,Tr,Cb,Tg,Cg,Tr,Sg,Tb,0
Sr,Cb,Tb,Sb,Tr,Cr,Cg,Sr,1
Sb,Tb,Sg,Tb,Tg,Sg,Sb,Tb,0
Cr,Cg,Tr,Sr,Sr,Cg,Sg,Tr,1
Tr,Sr,Cg,Cg,Sr,Tb,Cb,Cr,0
Tr,Sb,Sb,Cg,Sg,Sr,Tr,Sr,0
Cb,Sr,Tr,Cb,Cr,Tb,Sr,Sg,0
Sg,Sr,Cb,Tr,Sg,Sr,Sr,Cb,0
Cb,Sb,Cr,Cg,Tr,Sb,Tr,Tr,1
Sg,Cg,Tg,Tr,Sg,Cg,Sb,Sr,1
Cr,Sb,Cg,Tg,Cg,Cb,Cr,Tg,0
Tg,Tr,Cg,Cr,Tr,Tr,Cr,Tg,0
Cg,Tg,Cb,Sr,Sg,Tg,Cb,Sb,0
Sr,Sb,Tg,Cg,Sb,Tr,Cb,Cr,0
Tg,Cr,Cg,Cg,Tr,Sr,Cr,Cr,1
Tb,Tr,Cg,Sb,Sg,Sr,Sb,Tb,1
Tg,Cr,Tg,Sb,Sg,Cg,Cr,Sr,1
Sg,Tb,Cb,Tg,Cr,Sg,Cg,Cg,0
Tb,Cb,Cb,Sr,Sb,Sb,Tg,Tb,1
Tg,Cr,Tb,Tb,Sg,Cb,Tb,Sb,1
Tr,Cg,Sb,Cb,Tg,Sb,Cr,Tg,1
Tr,Tr,Tr,Tg,Sr,Sb,Sb,Tr,0
Tr,Sr,Sr,Sb,Tr,Sb,Sg,Tb,0
Sr,Tb,Tr,Cr,Sr,Sr,Cr,Cr,0
Cb,Sr,Cb,Tr,Tb,Cr,Tb,Cb,0
Tg,Tb,Tg,Tg,Tb,Tr,Sr,Tg,1
Sb,Cg,Tr,Cg,Tg,Cg,Tb,Tg,1
Sb,Sb,Sb,Sb,Sb,Sr,Sg,Tg,0
Tb,Sr,Cr,Cr,Tb,Cb,Tb,Tr,0
Tr,Tg,Sb,Cg,Cb,Tb,Sg,Sb,0
Sr,Tg,Tb,Cg,Cr,Tb,Tr,Sr,1
Cb,Tb,Cr,Tg,Sg,Cb,Cr,Tr,1
Sr,Tg,Sg,Tb,Sr,Cg,Tg,Sr,1
Tg,Cb,Sg,Tb,Cb,Tr,Tb,Cg,1
Tg,Cb,Sr,Tg,Tg,Cb,Tr,Cb,0
Tr,Sg,Sg,Sg,Sg,Tr,Tr,Tb,0
Sr,Cr,Tb,Sb,Cg,Cr,Cg,Sr,1
Sr,Tr,Tb,Sb,Tr,Cg,Tb,Cr,0
Tr,Sb,Sb,Sb,Cg,Tb,Cb,Sg,1
Cg,Cr,Sg,Tr,Cr,Tg,Cr,Cb,1
Sb,Tb,Tr,Tg,Sb,Tg,Tb,Sb,1
Tb,Tg,Tb,Tg,Sb,Tr,Cr,Cr,1
Sr,Cb,Tg,Cg,Tr,Sr,Cr,Sb,1
Cg,Cb,Sb,Cr,Sg,Tr,Cg,Tb,1
Tr,Sr,Sg,Sr,Cg,Sg,Cg,Cg,1
Tr,Cg,Cb,Cb,Cb,Cg,Tg,Sb,1
Sg,Cr,Sg,Sr,Cb,Cg,Tb,Tg,0
Tb,Sg,Tg,Sb,Cr,Cr,Sg,Tr,0
Tb,Cr,Cr,Cg,Sr,Sb,Tg,Tr,0
Tr,Tg,Tb,Sb,Sg,Sg,Cr,Cb,1
