token_0,token_1,token_2,token_3,token_4,token_5,label
Dr,Tr,Dr,Sg,Tg,Cg,0
Dg,Sr,Sr,Dg,Cg,Dr,1
Cg,Sr,Sr,Tr,Cr,Sg,0
Tg,Sg,Sr,Sr,Dg,Cr,0
Cr,Cr,Dg,Tr,Dg,Tg,1
Tg,Dg,Cr,Cg,Cr,Tg,0
Cg,Sr,Cg,Cr,Cg,Sr,1
Tg,Cr,Dr,Dg,Cr,Cr,0
Dr,Sg,Dr,Sg,Tr,Tr,1
Dr,Tr,Dg,Cr,Sg,Sr,0
Tg,Sg,Dr,Cg,Cr,Sg,0
Sg,Tr,Dr,Dg,Dg,Sg,1
Dg,Dg,Sr,Tr,Tg,Dg,0
Tr,Sg,Dg,Tr,Cr,Dg,0
Tg,Tr,Cg,Sr,Sg,Sr,1
Sr,Sg,Cr,Cg,Tr,Sr,0
Sr,Dg,Cg,Dg,Cg,Cr,0
Cg,Tr,Dg,Sg,Tg,Tg,0
Tg,Cr,Dr,Tg,Sg,Cr,0
Cg,Cg,Cr,Cr,Tg,Sr,1
Cg,Dg,Dg,Cr,Cg,Cg,0
Dg,Cg,Sg,Dg,Sr,Tg,0
Dr,Cg,Sg,Cg,Dg,Sg,0
Cr,Cr,Tr,Dg,Cr,Sg,1
Cg,Dr,Dr,Sr,Dr,Dg,1
Sr,Dr,Dr,Tg,Dr,Dg,1
Sg,Dr,Dg,Tg,Sg,Sg,0
Cg,Dg,Dg,Cr,Dg,Sr,1
Dg,Tr,Cr,Sg,Dg,Sr,0
Sg,Dr,Tr,Sr,Cg,Cg,0
Cr,Dr,Sr,Dg,Cr,Dr,1
Dg,Sg,Sr,Sg,Cr,Sg,0
Sg,Tr,Dg,Tg,Dg,Dr,0
Cr,Dg,Dg,Sg,Tr,Tg,1
Cg,Dg,Cr,Sr,Cg,Cg,1
Sr,Dg,Cr,Cg,Cr,Tg,0
Tr,Dg,Cr,Dr,Cr,Sr,1
Cg,Cr,Dg,Cg,Tr,Tr,1
Cg,Tr,Sg,Cg,Sr,Sr,0
Sr,Tg,Sr,Dg,Tg,Sr,1
Tr,Dg,Sg,Tg,Cr,Tr,1
Cr,Dg,Dr,Sr,Tg,Tr,1
Sr,Tg,Cr,Cg,Cr,Sg,1
Sr,Cg,Dg,Dg,Sr,Cg,1
Cg,Cg,Dg,Sg,Tg,Cr,1
Cr,Cg,Tg,Cr,Cr,Sg,1
Cr,Sg,Sr,Tr,Cr,Cr,1
Tg,Dg,Cr,Cg,Cg,Sg,0
Tr,Sg,Cr,Sg,Tr,Tr,1
Dg,Dg,Dr,Cr,Sr,Tg,0
Tg,Tr,Tg,Cr,Tg,Tg,0
Cg,Tr,Tg,Sr,Sg,Cg,0
Cr,Dg,Tg,Tr,Dg,Cr,1
Sr,Sr,Dg,Dg,Cg,Tr,1
Sr,Cg,Tr,Tr,Dg,Dr,1
Dr,Cg,Sg,Cg,Tg,Dg,0
Dg,Tr,Tg,Tg,Cr,Dr,1
Sr,Dr,Cr,Sr,Tr,Dg,1
Sr,Dr,Dg,Tg,Cr,Sg,0
Cr,Dg,Sr,Dr,Dg,Tr,0
Dr,Sg,Dg,Tg,Sr,Cr,1
Cg,Tr,Cg,Tr,Sr,Dg,0
Tg,Dg,Tr,Tr,Tr,Dr,0
Sr,Tg,Dg,Sr,Cr,Cr,1
Dr,Tg,Cr,Dg,Cg,Dr,0
Tr,Sr,Cg,Dr,Dr,Tr,1
Dg,Sr,Sg,Cg,Dr,Cg,1
Dg,Cr,Tr,Tg,Tg,Tr,1
Sg,Dg,Tr,Dr,Tg,Dr,0
Sr,Cr,Sg,Dr,Cg,Tr,0
Dg,Tr,Dg,Dg,Dr,Tr,1
Cg,Dg,Sr,Dr,Cg,Sr,1
Sg,Sg,Cg,Dg,Tg,Cg,1
Sr,Sg,Tg,Cr,Sg,Sr,1
Sr,Sg,Sg,Dr,Dr,Cr,1
Tr,Dr,Dr,Dr,Cr,Sg,1
Sg,Tr,Cg,Dr,Sg,Sg,1
Tr,Dg,Sr,Sr,Sg,Tg,1
Cg,Tg,Cg,Dg,Cr,Tg,1
Sg,Tr,Sg,Cr,Dr,Dr,0
Cg,Sg,Sg,Tg,Tr,Tr,1
Cr,Tr,Dg,Tr,Cr,Sg,0
Tr,Sg,Cr,Dg,Dg,Dr,0
Cr,Cg,Sg,Cr,Dg,Cr,0
Tg,Sr,Tr,Tg,Tr,Tg,1
Tg,Sr,Sg,Cr,Sg,Sg,1
Tr,Cg,Dg,Sr,Tg,Cr,0
Tr,Dg,Cg,Sr,Sg,Tr,0
Dg,Sg,Sr,Cr,Tr,Tg,1
Dr,Sr,Sr,Sg,Tg,Dg,1
Cr,Tr,Sr,Sg,Sg,Tg,0
Sg,Tr,Tr,Sg,Tg,Dr,0
Tr,Sr,Dg,Sg,Cr,Tg,0
Sr,Cr,Dr,Dg,Tg,Sr,0
Sr,Sg,Tr,Dg,Cg,Dr,0
Sg,Cg,Dg,Sr,Cg,Dr,0
Sr,Tr,Tr,Dr,Dr,Cr,0
Cg,Tg,Tr,Dr,Dr,Sg,0
Sr,Cr,Sr,Sg,Tg,Cr,0
Dg,Cr,Tg,Sg,Cr,Dg,0
Sr,Dr,Sg,Tg,Dg,Tg,1
Sr,Dr,Dg,Dr,Dg,Tg,1
Sg,Cr,Dr,Sg,Dg,Tg,1
Cg,Cg,Sg,Sr,Cg,Sr,1
Cr,Sr,Tr,Tr,Tg,Cg,0
Dr,Dr,Sr,Cr,Cr,Tg,1
Dr,Sg,Tr,Sr,Dg,Cg,0
Sg,Tr,Tr,Sr,Cr,Sg,0
Dg,Dg,Dr,Tr,Dg,Tg,1
Tg,Tg,Tr,Tg,Cr,Cg,0
Dg,Dr,Dr,Cg,Tg,Sr,1
Sr,Sg,Dr,Cr,Tg,Sg,0
Cg,Sr,Tr,Sr,Sr,Tr,1
Tg,Sr,Cr,Cg,Tg,Cg,1
Sr,Sg,Tr,Cg,Tr,Dg,1
Dg,Sr,Cr,Cr,Cg,Dg,0
Cr,Sr,Tr,Dr,Cg,Sr,0
Sg,Tr,Tr,Tr,Dr,Cr,1
Dg,Sg,Tr,Cr,Sg,Dr,1
Tr,Dg,Dr,Tg,Sr,Cg,1
Tg,Cg,Cg,Sr,Sg,Dg,1
Dr,Cg,Sg,Cr,Cr,Cg,1
Tr,Cr,Cr,Dr,Cr,Dg,0
Tr,Sr,Sr,Dg,Tg,Sr,1
Sg,Tg,Cg,Tr,Tg,Dg,0
Sg,Cr,Cr,Sr,Sr,Sg,0
Dg,Sg,Tg,Cr,Dr,Dr,0
Cg,Dr,Cr,Dg,Dr,Cg,1
Tr,Dg,Tg,Cr,Tg,Cg,0
Dr,Dg,Tr,Sg,Cr,Tg,0
Tr,Cr,Cg,Cg,Tg,Sg,1
Sr,Dr,Sg,Sr,Sg,Sr,0
Sg,Dg,Tg,Cr,Cg,Dg,1
Dr,Dg,Dr,Dg,Cg,Cr,1
Tg,Sg,Cg,Cr,Tr,Sr,1
Dr,Dr,Dg,Sg,Tr,Cr,0
Dg,Sg,Cg,Sr,Cg,Sr,1
Dg,Dr,Tr,Tr,Tr,Sr,1
Dg,Cr,Tr,Sr,Tg,Dr,1
Dr,Sr,Cg,Dg,Cg,Dr,0
Sg,Sr,Cr,Dg,Sg,Sg,1
Dg,Dg,Dr,Sg,Sg,Dg,1
Dg,Dg,Tg,Cr,Cg,Dg,0
Cg,Sr,Sg,Dr,Dg,Tr,1
Cg,Sg,Cr,Tr,Cg,Tg,1
Dr,Dg,Cr,Cg,Cg,Dr,0
Dr,Dg,Cr,Tg,Tg,Dr,0
Dg,Tg,Cg,Sg,Tg,Dg,1
Dr,Dr,Tr,Tr,Tg,Dg,1
Cr,Cg,Dr,Cr,Tg,Tr,0
Cr,Sr,Dr,Dr,Cr,Tg,1
Dr,Tg,Dr,Tg,Cr,Sr,1
Dr,Cg,Tr,Cg,Cr,Sr,1
Sr,Tg,Dg,Cr,Dr,Cr,1
Cg,Sr,Cg,Cg,Tg,Dg,1
Sg,Sr,Dr,Sg,Cr,Sr,1
Tg,Sg,Sr,Tg,Tr,Tr,1
Tr,Cg,Sr,Tg,Tg,Dr,0
Dg,Cr,Dr,Tr,Tg,Tg,0
Dr,Cr,Sg,Dg,Dr,Dr,1
Cr,Dg,Dg,Tg,Dg,Tr,1
Dg,Cr,Sg,Tr,Tr,Tg,0
Tg,Dr,Sr,Cr,Cr,Dr,1
Cg,Cr,Dg,Cg,Cg,Sg,1
Cr,Tg,Cr,Cg,Tg,Dr,0
Tr,Sr,Cg,Cg,Tg,Cr,1
Cg,Dg,Sr,Tg,Tr,Sr,0
Sr,Sr,Tg,Dr,Dr,Tr,0
Dg,Sr,Cg,Dg,Sg,Cr,1
Sr,Dg,Tg,Cr,Tg,Dr,1
Sg,Cr,Tg,Dg,Tg,Sg,1
Sg,Cr,Dr,Dg,Dr,Dg,1
Dr,Dg,Cr,Dr,Tg,Tr,1
Sr,Tr,Dr,Dg,Tr,Cr,0
Tr,Cr,Sg,Sr,Sr,Sr,0
Cg,Cr,Tr,Tr,Dr,Sg,1
Dg,Sr,Cg,Dg,Dr,Tg,1
Cg,Cg,Tr,Cr,Sr,Tr,1
Sr,Sg,Cr,Cg,Sr,Dr,0
Sr,Cr,Dg,Dr,Dg,Tr,1
Dg,Tr,Dr,Cg,Dr,Cg,1
Tg,Dr,Sg,Tr,Cr,Cr,1
Tg,Dr,Sg,Cg,Dg,Cg,1
Sr,Sg,Cg,Cg,Dr,Cg,1
Cg,Cg,Sr,Cg,Sr,Cg,1
Dr,Tr,Tg,Tr,Cr,Cg,1
Tg,Dg,Dg,Sr,Sg,Dg,1
Sg,Tg,Cg,Tr,Sr,Tr,1
Tr,Cg,Dg,Cr,Sr,Cg,0
Cr,Cr,Tg,Cr,Sr,Tg,0
Cg,Sr,Cg,Tg,Cr,Sr,1
Tr,Tr,Tr,Cg,Dg,Cg,0
Tg,Sr,Dr,Sr,Dg,Dg,1
Sg,Tg,Tg,Sr,Sr,Cr,0
Tr,Cr,Tg,Cg,Sg,Tg,0
Cr,Cr,Dg,Sr,Cr,Cg,0
Dg,Sr,Dr,Tr,Tr,Sr,0
Tr,Sr,Tr,Sr,Tr,Sr,1
Tg,Sr,Tr,Dr,Dr,Sg,1
Tg,Dg,Dg,Dr,Sr,Dg,0
Sg,Dr,Tr,Dg,Cr,Cr,1
Cg,Cr,Cr,Tg,Cr,Cr,0
Cg,Tr,Tg,Cg,Sr,Dg,0
Tr,Tg,Cg,Dg,Tr,Dg,1
Tg,Dr,Dg,Cr,Cg,Cg,0
Cr,Cg,Dg,Cg,Sg,Cg,1
Sg,Cg,Tr,Dr,Dg,Dr,1
Tg,Dr,Cg,Tr,Dg,Sr,0
Tg,Sg,Dg,Cr,Sr,Cr,0
Tg,Cg,Tg,Cr,Dg,Dr,0
Sr,Tg,Sr,Dr,Cr,Tg,0
Sr,Dg,Dr,Tr,Sg,Sr,1
Cr,Dr,Sr,Tr,Sg,Cr,1
Cg,Sr,Sg,Cr,Sg,Dr,0
Sr,Tg,Tg,Dg,Dr,Tr,0
Tg,Sg,Tr,Cg,Sr,Tg,1
Sr,Sg,Cg,Tg,Cg,Sg,0
Cg,Cr,Sr,Sg,Dr,Sr,0
Sg,Tg,Sg,Cg,Cg,Cg,1
Sr,Tr,Tg,Dg,Dr,Sg,0
Cg,Sr,Cr,Cg,Sr,Cr,1
Cg,Tr,Tr,Tg,Dg,Cg,0
Cg,Cg,Dg,Tr,Cr,Tr,1
Tr,Tg,Tg,Sr,Dg,Dg,0
Dg,Sg,Sg,Dr,Tr,Tr,1
Sr,Tg,Cg,Sr,Tg,Cg,1
Sg,Cr,Cg,Dg,Cr,Cg,1
Cg,Cg,Sg,Tr,Sg,Tg,1
Dg,Sg,Tg,Dg,Sg,Tr,1
Tr,Dg,Dg,Cg,Sg,Sg,1
Sg,Sg,Sr,Cr,Tr,Dg,0
Cg,Tr,Dg,Cg,Tr,Sr,1
Sr,Tg,Dg,Tg,Tr,Tg,0
Cg,Sg,Tr,Dr,Tr,Cr,0
Cr,Cg,Sg,Sr,Cg,Sr,0
Cg,Sg,Sg,Cr,Tg,Cr,1
Dr,Sr,Cg,Tr,Cr,Cg,1
Tr,Dr,Cr,Sr,Dr,Dg,0
Dr,Sg,Dr,Sr,Cg,Dg,1
Sg,Cg,Dr,Cr,Dg,Dg,1
Dr,Cg,Dr,Dr,Sr,Cr,0
Tg,Dg,Tg,Sr,Cg,Tr,0
Dr,Cr,Tr,Cg,Dr,Cr,0
Sg,Tg,Sr,Cr,Cg,Sg,1
Sg,Tg,Tr,Sr,Sg,Dr,0
Sr,Dg,Dg,Sg,Sr,Cg,0
Sg,Cr,Cg,Cr,Cr,Cr,0
Tr,Dg,Cr,Sg,Cr,Dr,0
Sr,Cr,Tg,Sr,Sg,Tr,1
Tr,Sg,Cg,Sr,Tr,Cg,0
Cr,Dg,Tg,Tg,Sg,Dr,1
Cg,Dr,Sg,Tr,Dr,Dg,0
Tg,Dr,Tg,Tr,Dr,Dr,0
Dg,Cr,Tr,Dg,Tr,Tr,0
Cr,Tg,Cg,Cr,Sg,Tg,0
Tg,Tg,Dg,Sg,Sg,Sg,1
Dr,Dr,Dg,Dg,Tg,Sr,1
Dr,Tg,Dr,Cg,Dg,Dg,1
Sg,Tg,Tr,Sg,Tg,Sg,1
Sg,Cr,Sg,Dr,Dr,Tr,0
Tg,Tg,Dg,Sg,Tg,Cr,1
Sg,Cg,Cr,Cr,Cr,Cr,0
Dr,Dr,Cg,Cg,Cr,Cr,1
Sg,Dr,Tr,Dr,Dr,Cr,1
Cr,Tg,Cg,Dr,Sr,Tr,0
Cg,Sr,Tr,Tg,Tg,Sr,0
Tr,Sr,Cr,Sr,Cg,Sg,0
Dg,Dg,Sg,Cr,Dr,Cg,1
Dr,Sg,Tg,Dg,Sg,Tg,1
Cg,Sr,Tg,Tr,Tg,Tr,0
Dg,Dg,Sr,Dr,Tr,Tr,1
Sr,Dr,Tr,Cg,Sg,Sg,0
Sr,Sg,Sg,Sr,Cr,Dr,1
Dg,Tr,Cr,Sg,Dr,Cg,0
Dg,Cg,Cr,Cr,Dg,Sr,1
Sr,Cg,Cg,Cr,Cg,Sr,1
Sg,Tr,Sr,Dg,Tg,Tr,0
Cr,Dg,Cg,Dg,Dr,Dr,1
Sr,Tr,Dg,Sg,Cg,Cr,0
Dg,Sr,Tg,Tr,Dg,Sg,0
Sg,Sr,Dr,Dr,Dr,Cr,1
Tr,Dr,Sr,Sr,Dr,Cg,1
Cr,Cg,Tg,Tr,Dr,Cg,1
Tg,Tg,Cr,Cr,Cr,Sg,1
Cr,Sg,Dr,Dg,Tr,Cr,0
Tg,Dg,Tg,Tg,Sr,Sr,1
Dr,Sr,Cg,Sr,Sr,Dr,0
Cg,Dr,Cg,Dg,Dg,Tr,0
Tg,Tg,Dr,Tr,Dr,Cg,1
Sg,Dr,Cr,Tg,Sg,Dg,1
Dg,Sr,Sg,Sg,Cg,Sr,1
Cg,Sr,Sr,Tg,Cg,Tg,0
Tg,Sg,Tg,Cg,Tr,Cg,1
Dg,Tr,Sg,Dg,Sr,Dr,0
Cr,Tr,Sg,Dr,Cg,Sg,1
Sr,Cg,Sr,Cg,Cr,Tr,0
Cr,Sr,Tr,Tg,Sg,Cr,1
Sg,Dg,Tg,Dr,Dg,Dg,1
Dr,Dr,Sg,Sg,Cr,Dr,1
Dr,Sr,Cg,Sg,Cg,Tg,0
Tr,Tg,Cg,Cr,Cg,Dr,0
Cg,Tr,Tr,Sr,Cr,Dg,1
Dr,Sr,Sg,Dr,Dr,Cg,0
Tr,Cg,Cg,Sg,Dr,Dg,0
Dr,Dr,Sr,Cr,Tr,Cr,0
Sr,Cr,Dg,Tr,Cr,Cr,1
Sr,Tr,Tr,Dg,Cr,Cr,1
Tr,Dr,Cr,Dr,Sg,Tg,1
Sr,Tr,Tr,Tr,Dr,Tr,0
Cg,Cr,Dg,Sg,Tr,Tg,0
Cr,Dg,Tg,Sr,Dg,Cg,0
Sr,Cr,Dr,Tr,Cr,Cg,1
Tg,Tg,Sg,Cr,Dr,Dr,0
Tr,Tr,Tg,Tg,Cr,Cg,0
Cg,Dr,Sr,Dr,Tr,Tg,1
Cr,Cr,Cr,Dr,Cg,Tr,1
Dr,Dr,Cg,Sg,Sr,Cg,0
Cr,Tr,Dr,Tr,Cg,Dr,1
Cg,Sr,Cr,Sr,Tr,Sg,1
Tr,Tg,Tr,Cr,Dr,Tr,1
Tg,Sg,Dr,Cr,Sg,Sr,0
Cr,Dr,Sg,Dg,Dr,Tg,1
Dr,Dr,Sg,Tg,Tr,Dg,1
Cr,Tr,Sr,Cr,Sg,Cg,0
Cg,Dr,Sg,Cg,Sg,Tg,1
Cg,Tr,Tr,Dr,Cr,Cr,0
Tg,Sg,Dg,Tr,Sg,Sr,0
Cg,Dr,Tr,Tg,Dr,Sr,1
Cg,Sr,Sg,Sr,Tg,Sr,1
Cg,Sr,Sr,Dr,Cg,Tr,1
Dg,Dg,Dr,Sr,Sr,Cg,1
Tg,Dr,Sg,Sg,Sg,Tg,1
Tr,Tr,Dr,Cg,Cr,Cg,0
Tr,Dr,Sg,Tg,Dg,Cr,0
Tr,Sg,Cr,Dg,Tg,Dr,1
Cg,Cg,Tg,Cr,Sg,Cg,0
Tg,Cg,Tg,Dr,Tg,Dg,0
Dr,Dr,Tg,Sg,Dg,Tg,0
Dg,Tg,Tg,Sg,Dg,Tg,1
Cr,Cg,Sg,Tg,Tg,Cg,0
Dg,Sr,Dg,Cr,Dg,Sr,1
Dr,Dr,Tg,Cg,Sr,Tr,0
