token_0,token_1,token_2,token_3,token_4,label
Tr,Tg,Sr,Sr,Sg,1
Cr,Tr,Cg,Sg,Cg,1
Sr,Cg,Sg,Cr,Tg,1
Cr,Sg,Sg,Cr,Cg,1
Cg,Tr,Tg,Sg,Sr,1
Cr,Sg,Sg,Cg,Sg,1
Tg,Cr,Sr,Sg,Sg,1
Cg,Tr,Sr,Cr,Sg,0
Sg,Sg,Tr,Cr,Tr,1
Tr,Sg,Tr,Sg,Sg,1
Cg,Tg,Sr,Sr,Tr,0
Tr,Tr,Tr,Cr,Tr,1
Sg,Cr,Tr,Cr,Cg,1
Tg,Tr,Sg,Sg,Tr,1
Sg,Sr,Cr,Tg,Sr,0
Cr,Sg,Tr,Sg,Cg,0
Tg,Sr,Sr,Tr,Sr,1
Tr,Cr,Cr,Cg,Sg,1
Sg,Cg,Tg,Tr,Tg,1
Tr,Cg,Cr,Cr,Tg,0
Sr,Cr,Sg,Tr,Sg,0
Tg,Tg,Cr,Tr,Tg,0
Tr,Tg,Sr,Cg,Sr,0
Tg,Tr,Sg,Sg,Tg,1
Cg,Sg,Cg,Tg,Cr,1
Tg,Cg,Sg,Sr,Sr,0
Tr,Tg,Sr,Sr,Tg,0
Cr,Tr,Cg,Sr,Sr,1
Sg,Tg,Tg,Tg,Sr,1
Cr,Tr,Sr,Sg,Sr,0
Sg,Tr,Sg,Cg,Cr,0
Sg,Sr,Sg,Cg,Tr,1
Sg,Tr,Sr,Cr,Cr,0
Sg,Tg,Tr,Tr,Sg,0
Sr,Cr,Sr,Cg,Sg,0
Tg,Cr,Tr,Cg,Cr,0
Cg,Sg,Tr,Sr,Cg,1
Cg,Cg,Tg,Cg,Tr,1
Sg,Cr,Tg,Sg,Tr,0
Cg,Tg,Cr,Tr,Tg,1
Cr,Sg,Sr,Tr,Cr,0
Sg,Cr,Sg,Tr,Sg,1
Sg,Sr,Sg,Cr,Sg,1
Sg,Sg,Cg,Sg,Sr,1
Cg,Sr,Cg,Tg,Cg,1
Sr,Tr,Cg,Sg,Cr,0
Cr,Cr,Cr,Tg,Tg,0
Cg,Tr,Sr,Cg,Sr,0
Tr,Cg,Cr,Tr,Cr,1
Tr,Tg,Tr,Cg,Cg,0
Tr,Cg,Tg,Tg,Cg,1
Cr,Sg,Sg,Sg,Sg,1
Tr,Cr,Tg,Sg,Cg,0
Sr,Cg,Tr,Cg,Cr,1
Tr,Sg,Cg,Cg,Cr,0
Sg,Sg,Cr,Sr,Cr,0
Cr,Cg,Cg,Tr,Sr,1
Tg,Cr,Tg,Tr,Cr,1
Sr,Tg,Tr,Sg,Cg,0
Cr,Sg,Sr,Sg,Cg,0
Cr,Sr,Cr,Sr,Tg,1
Sg,Tr,Cr,Sg,Tr,1
Cg,Cg,Cg,Cg,Sg,0
Sg,Sg,Tr,Cg,Sr,0
Tg,Sr,Cr,Tr,Cg,0
Tg,Sg,Cr,Cr,Tr,1
Tg,Cr,Cg,Tr,Cg,1
Tg,Tg,Tg,Tg,Sr,1
Cg,Sg,Tr,Cr,Tr,0
Cr,Tg,Tr,Sg,Tr,0
Sg,Sg,Cr,Sr,Tg,0
Sg,Tr,Tr,Cg,Cr,0
Cg,Cr,Cg,Cg,Cg,1
Cg,Sg,Cr,Tg,Tr,1
Cr,Tr,Tg,Cr,Tg,1
Cg,Cg,Sr,Cr,Tg,1
Tr,Tg,Tr,Cg,Sr,1
Cg,Cr,Cr,Cg,Cg,1
Tr,Cr,Cg,Cr,Tg,0
Cr,Tg,Cr,Cg,Cr,0
Tg,Cr,Cr,Cr,Tg,1
Cr,Tg,Sr,Cr,Tg,0
Sr,Tr,Sr,Cg,Sg,1
Sr,Tr,Sr,Sg,Cr,0
Sr,Sg,Cg,Tg,Sr,0
Tr,Cg,Cg,Tg,Sg,0
Cr,Cg,Sg,Tr,Cg,0
Sr,Sg,Cr,Cr,Cr,1
Sg,Cg,Sr,Cg,Sg,0
Sg,Tg,Sr,Tg,Tr,1
Tg,Sr,Cg,Tr,Tg,0
Tr,Tr,Tr,Cr,Tg,1
Sg,Cr,Cg,Cg,Tg,0
Sr,Tg,Tg,Sr,Sr,1
Cg,Cr,Sr,Sr,Cg,0
Tg,Cg,Cr,Tg,Sr,0
Tr,Sr,Sg,Sg,Sg,1
Sr,Sr,Tr,Tg,Cr,1
Tg,Tr,Tr,Sr,Tr,0
Cr,Sg,Tr,Tr,Cg,1
Sr,Cr,Sr,Tr,Cr,0
Sr,Sr,Cg,Tg,Cg,0
Tr,Sr,Tg,Tr,Tr,1
Cr,Cr,Sg,Tr,Sg,0
Sg,Cr,Cr,Cr,Tr,1
Cg,Cr,Tg,Tg,Cg,1
Sr,Sg,Cr,Sr,Tg,0
Sr,Sg,Cg,Sr,Cr,1
Tr,Cr,Cr,Tr,Cg,1
Cr,Sr,Tr,Tg,Cr,0
Cr,Cg,Sr,Sg,Tr,1
Cr,Sg,Sr,Sg,Cr,0
Cr,Sg,Sg,Sr,Sg,1
Tg,Tg,Cg,Sg,Cg,0
Tr,Sg,Tg,Tr,Tr,1
Cg,Sr,Sr,Tr,Cg,1
Tg,Sg,Tr,Sg,Tg,0
Sg,Cg,Cr,Tr,Cg,1
Cr,Cg,Sr,Sg,Sr,0
Sg,Cg,Tg,Sg,Cg,1
Tg,Cg,Sr,Tg,Cr,0
Tg,Cr,Cg,Tg,Cr,1
Sr,Tg,Cg,Sg,Sr,1
Sg,Cg,Tr,Sg,Sg,0
Cg,Cg,Sg,Tg,Sg,1
Sr,Cr,Cg,Cr,Sg,1
Sr,Tg,Cg,Tg,Tg,1
Sr,Sg,Cr,Sr,Tg,0
Sg,Sr,Sr,Sg,Tg,1
Cr,Tg,Tr,Cr,Cr,1
Sr,Cr,Cr,Tr,Cr,0
Cr,Tg,Tr,Cr,Cr,1
Cr,Cg,Tr,Tr,Cg,1
Sg,Tg,Tr,Sr,Cg,0
Sg,Sr,Sr,Cr,Sr,0
Tr,Sg,Tr,Tg,Tr,0
Tr,Tr,Tg,Sr,Sg,0
Sr,Sr,Cg,Tr,Tg,1
Cg,Sr,Tg,Sr,Cg,0
Sr,Tr,Tg,Tr,Cg,1
Tr,Tr,Cr,Sr,Cr,1
Sg,Cr,Cr,Sr,Sr,1
Sr,Cr,Tr,Tr,Tg,1
Tr,Cr,Tg,Sr,Cr,0
Cr,Tg,Sg,Tg,Sr,1
Tg,Cr,Sg,Cr,Tg,1
Cr,Sg,Cr,Cr,Cg,0
Cg,Sg,Sg,Sg,Sg,0
Tg,Sr,Tg,Tg,Sr,0
Cr,Tr,Sr,Tg,Sr,1
Sr,Sr,Sg,Sr,Tg,1
Cr,Sg,Cg,Sr,Cr,0
Sr,Sr,Cr,Tr,Tr,0
Tg,Cg,Cg,Tr,Sr,0
Sr,Tr,Sg,Sr,Cr,1
Cr,Tg,Sg,Tr,Sg,0
Cg,Sr,Sr,Tg,Sr,0
Cg,Cr,Tg,Tg,Cr,0
Sg,Sg,Tr,Cg,Sr,0
Cg,Tg,Sr,Sr,Tr,0
Tg,Sr,Tg,Cr,Sg,1
Cg,Tr,Sr,Cg,Sr,0
Sg,Sr,Tr,Tg,Sg,1
Sr,Tr,Cr,Sg,Cg,0
Cr,Sr,Tg,Cg,Tr,1
Sg,Sg,Tr,Tg,Tg,1
Tg,Tg,Cg,Cr,Tr,0
Cg,Cr,Sr,Cr,Sg,0
Tr,Cg,Tg,Sr,Cr,1
Tg,Sr,Cg,Sg,Cr,1
Cg,Tg,Sr,Sr,Sr,0
Sr,Sg,Tg,Sg,Tg,0
Cr,Sr,Tr,Sr,Tg,0
Sg,Cg,Sr,Tr,Cr,1
Tr,Tr,Sr,Cr,Tg,0
Cg,Cr,Tr,Sr,Cr,0
Cg,Sg,Cr,Sg,Tr,0
Cr,Sg,Sr,Sr,Tg,1
Sr,Tr,Tg,Sr,Tg,0
Cr,Tg,Tr,Tr,Sg,1
Tr,Sr,Cg,Tr,Cg,0
